model,k_needed,mu_on_disk_present,date_present_600phd,mu_LZ_untouched_600,date_LZ_600phd,mu_LZ_1000,date_LZ_1000phd
L10,2.9004099745466503,2.1658999999999997,2027.6013847824015,0.8179599999999999,2032.8785771928867,1.76836,2028.5543303593136
d300,2.9004099745466503,1.1277,2030.841902138654,0.42588,2040.7882270839543,0.89628,2033.1236263906383
d350,2.9004099745466503,3.1861999999999995,2026.71,1.20328,2030.1273613115595,4.44808,2026.71
d366,2.9004099745466503,4.9046,2026.71,1.85224,2028.0811246821895,14.869839999999998,2026.71
d380,2.9004099745466503,4.9762,2026.71,1.87928,2028.0265338368617,100.01048,2026.71
