E_keV,lambda_cm,theta_12keV_deg,theta_77keV_deg,KN_frac_T_10_14keV,KN_frac_T_70_84keV,P_interact_3mm,P_traverse_54cm,P_traverse_75cm,P_traverse_generic_21cm,suppression_vs_generic_54cm,suppression_vs_generic_75cm
352,2.425,18.42,53.59,0.02351,0.06119,0.1164,2.308e-10,3.15e-14,0.0001468,1.572e-06,2.146e-10
500,3.7,12.87,35.52,0.01376,0.04174,0.07788,4.843e-07,1.421e-09,0.003077,0.0001574,4.618e-07
609,4.377,10.54,28.53,0.01018,0.03241,0.06624,4.594e-06,3.323e-08,0.00753,0.0006101,4.413e-06
1000,6,6.387,16.79,0.004799,0.01625,0.04877,0.0001276,3.5e-06,0.02825,0.004517,0.0001239
1461,7.484,4.362,11.32,0.002738,0.009439,0.03929,0.0007552,4.227e-05,0.0573,0.01318,0.0007376
1764,8.3,3.61,9.328,0.002083,0.007215,0.0355,0.001531,0.0001138,0.0759,0.02017,0.001499
2615,9.8,2.432,6.242,0.001191,0.004149,0.03015,0.004129,0.0004567,0.1126,0.03666,0.004055
