variant,label,k_ml,ul68_LR,ul90_LR,ul95_LR,ul68_Bayes,ul90_Bayes,ul95_Bayes
all_wall,all 6 wall bins (sci+prompt),0.619,0.848,1.362,1.642,1.085,1.648,1.949
science_only,3 wall science bins,0.000,0.174,1.304,2.148,1.807,3.648,4.740
prompt_only,3 wall prompt bins,0.769,1.053,1.691,2.040,1.348,2.047,2.421
prompt_contam_0p1,"all wall bins, +0.1 non-MSSI per prompt bin",0.098,0.311,0.808,1.084,0.685,1.219,1.511
prompt_contam_0p3,"all wall bins, +0.3 non-MSSI per prompt bin",0.000,0.057,0.396,0.629,0.492,0.958,1.225
split_20pct,"all wall bins, 20% wall/RFR split nuisance profiled",0.620,0.860,1.435,1.765,1.181,1.888,2.304
pessimistic_obs_misclass,20% of observed RFR events re-assigned to wall (extreme),2.044,2.439,3.239,3.645,2.662,3.491,3.910
