b,k_exposure,pi_DM,pi_U,L_U,mu_U,n_new,P_DM,P_U,P_known
0.0002,1.0,0.01,0.0,0.1,0.10536051565782628,0,0.5581343343415658,0.0,0.44186566565843427
0.0002,1.0,0.01,0.0,0.1,0.10536051565782628,1,0.9998416883417789,0.0,0.00015831165822118468
0.0002,1.0,0.01,0.0,0.1,0.10536051565782628,2,0.9999999788883792,0.0,2.111162085618931e-08
0.0002,1.0,0.01,0.0,0.1,0.10536051565782628,3,0.9999999999978888,0.0,2.1111911309240033e-12
0.0002,1.0,0.05,0.0,0.1,0.10536051565782628,0,0.8681013487424161,0.0,0.13189865125758393
0.0002,1.0,0.05,0.0,0.1,0.10536051565782628,1,0.9999696130671247,0.0,3.038693287536413e-05
0.0002,1.0,0.05,0.0,0.1,0.10536051565782628,2,0.9999999959482747,0.0,4.0517252839462215e-09
0.0002,1.0,0.05,0.0,0.1,0.10536051565782628,3,0.9999999999995948,0.0,4.0517809583459067e-13
0.0002,1.0,0.01,0.1,0.1,0.10536051565782628,0,0.027855425764199655,0.9523194402871378,0.01982513394866261
0.0002,1.0,0.01,0.1,0.1,0.10536051565782628,1,0.2169649484844932,0.7830041680486317,3.0883466875179985e-05
0.0002,1.0,0.01,0.1,0.1,0.10536051565782628,2,0.7974659249416098,0.20253405992317736,1.5135212890495397e-08
0.0002,1.0,0.01,0.1,0.1,0.10536051565782628,3,0.9867724196257596,0.013227580372367513,1.8728343542396576e-12
0.0002,1.0,0.05,0.1,0.1,0.10536051565782628,0,0.12541493053889022,0.8575354580144061,0.017049611446703673
0.0002,1.0,0.05,0.1,0.1,0.10536051565782628,1,0.5807853202287525,0.41919888872102734,1.5791050220182825e-05
0.0002,1.0,0.05,0.1,0.1,0.10536051565782628,2,0.9516609396094846,0.048339056940527515,3.4499877899213515e-09
0.0002,1.0,0.05,0.1,0.1,0.10536051565782628,3,0.9973261894904321,0.00267381050920636,3.6155843939608995e-13
