b,prior_s,B10,pi_DM,P_DM
0.0002,"uniform[0,3]",1335.7528775475737,0.001,0.5721174563667953
0.0002,"uniform[0,3]",1335.7528775475737,0.01,0.9309985701724321
0.0002,"uniform[0,3]",1335.7528775475737,0.05,0.985975301979506
0.0002,"uniform[0,3]",1335.7528775475737,0.2,0.9970143747649028
0.0002,"uniform[0,10]",500.7503003863063,0.001,0.3338891149128777
0.0002,"uniform[0,10]",500.7503003863063,0.01,0.8349313040173003
0.0002,"uniform[0,10]",500.7503003863063,0.05,0.9634439845712871
0.0002,"uniform[0,10]",500.7503003863063,0.2,0.9920752895105984
0.0002,"uniform[0,30]",167.66666666618318,0.001,0.14371428571393083
0.0002,"uniform[0,30]",167.66666666618318,0.01,0.6287499999993269
0.0002,"uniform[0,30]",167.66666666618318,0.05,0.8982142857140222
0.0002,"uniform[0,30]",167.66666666618318,0.2,0.976699029126148
0.0002,"log-uniform[0.01,30]",619.2890214467383,0.001,0.3826813463104992
0.0002,"log-uniform[0.01,30]",619.2890214467383,0.01,0.8621724723000782
0.0002,"log-uniform[0.01,30]",619.2890214467383,0.05,0.9702329205710999
0.0002,"log-uniform[0.01,30]",619.2890214467383,0.2,0.9935824314846499
0.0002,"Gamma(k=2,theta=0.5) mean 1",1482.4814814814813,0.001,0.5974179104477612
0.0002,"Gamma(k=2,theta=0.5) mean 1",1482.4814814814813,0.01,0.9374004683840749
0.0002,"Gamma(k=2,theta=0.5) mean 1",1482.4814814814813,0.05,0.9873458312777503
0.0002,"Gamma(k=2,theta=0.5) mean 1",1482.4814814814813,0.2,0.9973090818487604
0.001,"uniform[0,3]",267.95057550951475,0.001,0.21149252440392646
0.001,"uniform[0,3]",267.95057550951475,0.01,0.7302088983985446
0.001,"uniform[0,3]",267.95057550951475,0.05,0.9337865067311217
0.001,"uniform[0,3]",267.95057550951475,0.2,0.9852914449895693
0.001,"uniform[0,10]",100.95006007726127,0.001,0.09177694855543757
0.001,"uniform[0,10]",100.95006007726127,0.01,0.5048763678203141
0.001,"uniform[0,10]",100.95006007726127,0.05,0.8416007462792275
0.001,"uniform[0,10]",100.95006007726127,0.2,0.9618866344902012
0.001,"uniform[0,30]",34.33333333323664,0.001,0.033225806451522434
0.001,"uniform[0,30]",34.33333333323664,0.01,0.2574999999994615
0.001,"uniform[0,30]",34.33333333323664,0.05,0.6437499999993541
0.001,"uniform[0,30]",34.33333333323664,0.2,0.8956521739127803
0.001,"log-uniform[0.01,30]",124.65780428934765,0.001,0.11093929469762986
0.001,"log-uniform[0.01,30]",124.65780428934765,0.01,0.5573595103709279
0.001,"log-uniform[0.01,30]",124.65780428934765,0.05,0.8677412612980548
0.001,"log-uniform[0.01,30]",124.65780428934765,0.2,0.9689097756479341
0.001,"Gamma(k=2,theta=0.5) mean 1",297.29629629629625,0.001,0.22934285714285713
0.001,"Gamma(k=2,theta=0.5) mean 1",297.29629629629625,0.01,0.7501869158878504
0.001,"Gamma(k=2,theta=0.5) mean 1",297.29629629629625,0.05,0.9399297423887588
0.001,"Gamma(k=2,theta=0.5) mean 1",297.29629629629625,0.2,0.9867240319606638
0.0106,"uniform[0,3]",26.18401655750139,0.001,0.02554079671025846
0.0106,"uniform[0,3]",26.18401655750139,0.01,0.2091642150295933
0.0106,"uniform[0,3]",26.18401655750139,0.05,0.5794973212303843
0.0106,"uniform[0,3]",26.18401655750139,0.2,0.8674795320105961
0.0106,"uniform[0,10]",10.429250950685026,0.001,0.010331829537199076
0.0106,"uniform[0,10]",10.429250950685026,0.01,0.09530587900473735
0.0106,"uniform[0,10]",10.429250950685026,0.05,0.35438383967575166
0.0106,"uniform[0,10]",10.429250950685026,0.2,0.7227853328165936
0.0106,"uniform[0,30]",4.144654088041192,0.001,0.004131661441997213
0.0106,"uniform[0,30]",4.144654088041192,0.01,0.0401829268291834
0.0106,"uniform[0,30]",4.144654088041192,0.05,0.1790760869561982
0.0106,"uniform[0,30]",4.144654088041192,0.2,0.5088803088797588
0.0106,"log-uniform[0.01,30]",12.665830593334684,0.001,0.012519776995834944
0.0106,"log-uniform[0.01,30]",12.665830593334684,0.01,0.11342619784436284
0.0106,"log-uniform[0.01,30]",12.665830593334684,0.05,0.39998415819229155
0.0106,"log-uniform[0.01,30]",12.665830593334684,0.2,0.7599879599400371
0.0106,"Gamma(k=2,theta=0.5) mean 1",28.95248078266946,0.001,0.028165193745751185
0.0106,"Gamma(k=2,theta=0.5) mean 1",28.95248078266946,0.01,0.22627525942108137
0.0106,"Gamma(k=2,theta=0.5) mean 1",28.95248078266946,0.05,0.6037744097930632
0.0106,"Gamma(k=2,theta=0.5) mean 1",28.95248078266946,0.2,0.8786130845085357
