b,B10,B_mix_A_others_uninformative,B_mix_B_others_excluded,B_mix_C_table_fraction,KR_B,KR_mixB,KR_mixC
0.0002,500.7503003863063,37.045762382515015,36.11788992772039,104.73208896968498,very strong,strong,strong
0.001,100.95006007726127,8.209152476503004,7.281280021708382,21.113738055374906,strong,positive,strong
0.0106,10.429250950685026,1.6801087241983965,0.7522362694037755,2.181281244587718,positive,favours H0,not worth more than a bare mention
