prior,E_s_exp_minus_s,E_numeric,B10_b=0.0002,KR_b=0.0002,B10_b=0.001,KR_b=0.001,B10_b=0.0106,KR_b=0.0106
"uniform[0,3]",0.26695057550951473,0.26695057550951473,1335.7528775475737,very strong,267.95057550951475,very strong,26.18401655750139,strong
"uniform[0,10]",0.09995006007726127,0.09995006007726126,500.7503003863063,very strong,100.95006007726127,strong,10.429250950685026,positive
"uniform[0,30]",0.03333333333323664,0.03333333333323663,167.66666666618318,very strong,34.33333333323664,strong,4.144654088041192,positive
"log-uniform[0.01,30]",0.12365780428934765,0.12365780428934768,619.2890214467383,very strong,124.65780428934765,strong,12.665830593334684,positive
"Gamma(k=2,theta=0.5) mean 1",0.2962962962962963,0.2962962962962962,1482.4814814814813,very strong,297.29629629629625,very strong,28.95248078266946,strong
"Gamma(k=2,theta=1) mean 2",0.25,0.25,1251.0,very strong,251.0,very strong,24.58490566037736,strong
delta(s=1) [= ML bound],0.36787944117144233,0.36787944117144233,1840.3972058572115,very strong,368.87944117144235,very strong,35.70560765768324,strong
