b,prior_s,B10,pi_DM,pi_U,L_U,P_DM,P_U,P_known
0.0002,"uniform[0,10]",500.7503003863063,0.001,0.01,0.1,0.07714829095199668,0.770481037093013,0.1523706719549903
0.0002,"uniform[0,10]",500.7503003863063,0.001,0.01,0.5,0.0188999815155225,0.9437718696956867,0.03732814878879085
0.0002,"uniform[0,10]",500.7503003863063,0.001,0.1,0.1,0.009740375857097248,0.9727726692898051,0.017486954853097654
0.0002,"uniform[0,10]",500.7503003863063,0.001,0.1,0.5,0.001991452724968601,0.994433280323887,0.0035752669511443613
0.0002,"uniform[0,10]",500.7503003863063,0.001,0.3,0.1,0.003311189031638556,0.9920667046384605,0.0046221063299009555
0.0002,"uniform[0,10]",500.7503003863063,0.001,0.3,0.5,0.0006664676339992493,0.9984032066611415,0.0009303257048594571
0.0002,"uniform[0,10]",500.7503003863063,0.01,0.01,0.1,0.45570383486533406,0.45511204326324545,0.08918412187142043
0.0002,"uniform[0,10]",500.7503003863063,0.01,0.01,0.5,0.16157142656234647,0.8068080236528712,0.031620549784782424
0.0002,"uniform[0,10]",500.7503003863063,0.01,0.1,0.1,0.0895676366362391,0.8945132123328466,0.015919151030914232
0.0002,"uniform[0,10]",500.7503003863063,0.01,0.1,0.5,0.01956457026251242,0.9769581542330689,0.0034772755044186936
0.0002,"uniform[0,10]",500.7503003863063,0.01,0.3,0.1,0.03215554613539121,0.9634136373845581,0.004430816480050718
0.0002,"uniform[0,10]",500.7503003863063,0.01,0.3,0.5,0.006625017459977746,0.992462100002786,0.0009128825372362475
0.0002,"uniform[0,10]",500.7503003863063,0.05,0.01,0.1,0.8082219216407459,0.1614344677510845,0.030343610608169563
0.0002,"uniform[0,10]",500.7503003863063,0.05,0.01,0.5,0.4911000323201625,0.4904622740818576,0.018437693597979785
0.0002,"uniform[0,10]",500.7503003863063,0.05,0.1,0.1,0.32988582937182637,0.6589148581265242,0.01119931250164939
0.0002,"uniform[0,10]",500.7503003863063,0.05,0.1,0.5,0.09073617468741643,0.9061834178350522,0.0030804074775314127
0.0002,"uniform[0,10]",500.7503003863063,0.05,0.3,0.1,0.14248730178703425,0.8538135792672509,0.0036991189457149646
0.0002,"uniform[0,10]",500.7503003863063,0.05,0.3,0.5,0.032271595598964774,0.9668906001252058,0.0008378042758294761
0.0002,"uniform[0,10]",500.7503003863063,0.2,0.01,0.1,0.9453375292798017,0.04720549418363992,0.007456976536558321
0.0002,"uniform[0,10]",500.7503003863063,0.2,0.01,0.5,0.7951884704187941,0.1985389532977147,0.006272576283491195
0.0002,"uniform[0,10]",500.7503003863063,0.2,0.1,0.1,0.6638606624050502,0.33149927583837135,0.00464006175657846
0.0002,"uniform[0,10]",500.7503003863063,0.2,0.1,0.5,0.285409066695713,0.7125960633408254,0.001994869963461559
0.0002,"uniform[0,10]",500.7503003863063,0.2,0.3,0.1,0.3995134628888075,0.5984919628564163,0.0019945742547762867
0.0002,"uniform[0,10]",500.7503003863063,0.2,0.3,0.5,0.11771280117488103,0.8816995166955022,0.0005876821296166518
0.001,"uniform[0,10]",100.95006007726127,0.001,0.01,0.1,0.048279505980037385,0.4787298749186651,0.4729906191012974
0.001,"uniform[0,10]",100.95006007726127,0.001,0.01,0.5,0.016562895128124793,0.8211716909713922,0.16226541390048294
0.001,"uniform[0,10]",100.95006007726127,0.001,0.1,0.1,0.009168980210285015,0.9091776438260197,0.08165337596369518
0.001,"uniform[0,10]",100.95006007726127,0.001,0.1,0.5,0.0019774752082048403,0.9804123300993348,0.017610194692460467
0.001,"uniform[0,10]",100.95006007726127,0.001,0.3,0.1,0.0032744137031672695,0.974052839229994,0.022672747066838753
0.001,"uniform[0,10]",100.95006007726127,0.001,0.3,0.5,0.0006687647784116657,0.9947005635830377,0.004630671638550614
0.001,"uniform[0,10]",100.95006007726127,0.01,0.01,0.1,0.33756904501908624,0.3347266783658072,0.3277042766151066
0.001,"uniform[0,10]",100.95006007726127,0.01,0.01,0.5,0.14432770793121816,0.7155622677019385,0.1401100243668434
0.001,"uniform[0,10]",100.95006007726127,0.01,0.1,0.1,0.08476427439320514,0.8405055034036429,0.0747302222031518
0.001,"uniform[0,10]",100.95006007726127,0.01,0.1,0.5,0.01943233530886415,0.9634356506916864,0.017132013999449514
0.001,"uniform[0,10]",100.95006007726127,0.01,0.3,0.1,0.031815821373236235,0.9464378649239968,0.021746313702767014
0.001,"uniform[0,10]",100.95006007726127,0.01,0.3,0.5,0.006648030438099122,0.9888079990097508,0.00454397055214991
0.001,"uniform[0,10]",100.95006007726127,0.05,0.01,0.1,0.7222580629676337,0.1432353149124849,0.13450662211988146
0.001,"uniform[0,10]",100.95006007726127,0.05,0.01,0.5,0.4591767547177021,0.45531043843417945,0.08551280684811849
0.001,"uniform[0,10]",100.95006007726127,0.05,0.1,0.1,0.3173031880360097,0.6292629240348122,0.05343388792917801
0.001,"uniform[0,10]",100.95006007726127,0.05,0.1,0.5,0.09021851694256328,0.8945886759719356,0.015192807085501091
0.001,"uniform[0,10]",100.95006007726127,0.05,0.3,0.1,0.14127774010528055,0.8405290005745861,0.018193259320133267
0.001,"uniform[0,10]",100.95006007726127,0.05,0.3,0.5,0.03238743307854332,0.963441825173519,0.004170741747937805
0.001,"uniform[0,10]",100.95006007726127,0.2,0.01,0.1,0.918520564105312,0.04553932624602399,0.03594010964866395
0.001,"uniform[0,10]",100.95006007726127,0.2,0.01,0.5,0.7769867514523959,0.19261111044200946,0.030402138105594556
0.001,"uniform[0,10]",100.95006007726127,0.2,0.1,0.1,0.6533980872653407,0.32394820352756787,0.022653709207091487
0.001,"uniform[0,10]",100.95006007726127,0.2,0.1,0.5,0.28460673073348014,0.7055257807597789,0.009867488506740916
0.001,"uniform[0,10]",100.95006007726127,0.2,0.3,0.1,0.39806784817583735,0.5920741129118733,0.009858038912289391
0.001,"uniform[0,10]",100.95006007726127,0.2,0.3,0.5,0.11818076404205317,0.878892522394042,0.0029267135639048786
0.0106,"uniform[0,10]",10.429250950685026,0.001,0.01,0.1,0.00952639459660707,0.08709096550003999,0.903382639903353
0.0106,"uniform[0,10]",10.429250950685026,0.001,0.01,0.5,0.0070651512288942816,0.3229505326954159,0.6699843160756898
0.0106,"uniform[0,10]",10.429250950685026,0.001,0.1,0.1,0.005598459602283643,0.511815091356291,0.4825864490414253
0.0106,"uniform[0,10]",10.429250950685026,0.001,0.1,0.5,0.001837210783103704,0.839795471964669,0.1583673172522274
0.0106,"uniform[0,10]",10.429250950685026,0.001,0.3,0.1,0.0029215408998769224,0.8012679355380418,0.19581052356208126
0.0106,"uniform[0,10]",10.429250950685026,0.001,0.3,0.5,0.0006947660061518165,0.95273991107694,0.046565322916908174
0.0106,"uniform[0,10]",10.429250950685026,0.01,0.01,0.1,0.08841064636010992,0.08082563108111149,0.8307637225587786
0.0106,"uniform[0,10]",10.429250950685026,0.01,0.01,0.5,0.0668106081073518,0.3053936254008639,0.6277957664917844
0.0106,"uniform[0,10]",10.429250950685026,0.01,0.1,0.1,0.05354534306551572,0.4895152702647365,0.4569393866697477
0.0106,"uniform[0,10]",10.429250950685026,0.01,0.1,0.5,0.01810150013749791,0.8274258996867918,0.15447260017571024
0.0106,"uniform[0,10]",10.429250950685026,0.01,0.3,0.1,0.028537007214325713,0.7826619458936979,0.1888010468919765
0.0106,"uniform[0,10]",10.429250950685026,0.01,0.3,0.5,0.0069086033739794925,0.9473840265513487,0.04570737007467197
0.0106,"uniform[0,10]",10.429250950685026,0.05,0.01,0.1,0.33495634574910255,0.06124388666840311,0.6037997675824944
0.0106,"uniform[0,10]",10.429250950685026,0.05,0.01,0.5,0.269046525969169,0.2459642152491973,0.48498925878163357
0.0106,"uniform[0,10]",10.429250950685026,0.05,0.1,0.1,0.22429345976178985,0.41010129840634313,0.36560524183186704
0.0106,"uniform[0,10]",10.429250950685026,0.05,0.1,0.5,0.08494660603732065,0.7765878119699862,0.13846558199269324
0.0106,"uniform[0,10]",10.429250950685026,0.05,0.3,0.1,0.1293370583804127,0.7094450586770997,0.1612178829424875
0.0106,"uniform[0,10]",10.429250950685026,0.05,0.3,0.5,0.033701006954672576,0.924290885993117,0.042008107052210385
0.0106,"uniform[0,10]",10.429250950685026,0.2,0.01,0.1,0.7020239660413752,0.03208976091987955,0.26588627303874524
0.0106,"uniform[0,10]",10.429250950685026,0.2,0.01,0.5,0.6221636366312204,0.14219658671426325,0.2356397766545163
0.0106,"uniform[0,10]",10.429250950685026,0.2,0.1,0.1,0.5578184181148302,0.2549807490896304,0.18720083279553923
0.0106,"uniform[0,10]",10.429250950685026,0.2,0.1,0.5,0.27615825906257546,0.6311645284233727,0.09267721251405192
0.0106,"uniform[0,10]",10.429250950685026,0.2,0.3,0.1,0.38299195593444435,0.5252008860670015,0.09180715799855411
0.0106,"uniform[0,10]",10.429250950685026,0.2,0.3,0.5,0.12351377649913503,0.8468786857488314,0.029607537752033446
