E_keV,O1s_d250,O1s_d300,O1s_d350,L10_1000,O4_1000,O6_1000,O1s_el,L10_flip,L10_fig1dig
6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.439225579865846039e-04,1.549275886932469613e-02,6.523384295004939278e-05,2.116425617300430120e-02,8.149212185161660443e-05,1.399226950077983621e-04
6.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.745971418107599803e-04,1.500636066393843532e-02,7.525362891391837255e-05,2.058984089406424439e-02,9.339121767676977141e-05,1.579844786825996726e-04
7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.054406157504287568e-04,1.453720982116960860e-02,8.580458662319481115e-05,2.002924361850683468e-02,1.057885224730507694e-04,1.771796028350357613e-04
7.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.363569682649044561e-04,1.408826157555108025e-02,9.686794053284235621e-05,1.948571945034312594e-02,1.186582332546681995e-04,1.950635311830631780e-04
8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.668523085086028098e-04,1.364764307943443743e-02,1.083554307155837522e-04,1.895165127975395256e-02,1.318751831156384771e-04,2.138997532566579824e-04
8.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.971458093829090090e-04,1.322895073206715143e-02,1.203270633357150381e-04,1.843563514615249171e-02,1.455138602607317100e-04,2.337224065403077753e-04
9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.268054164250761071e-04,1.282100789091379645e-02,1.326662315451447452e-04,1.792492402360963688e-02,1.594289563354583396e-04,2.517078241628931991e-04
9.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.554938636852830258e-04,1.242034294061928647e-02,1.453249881735602111e-04,1.743102449259448586e-02,1.735462000370178830e-04,2.708878757018272788e-04
1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.836371323826091926e-04,1.204040424350643484e-02,1.584049109345358477e-04,1.695246332186297125e-02,1.879966854514542843e-04,2.903148026739271748e-04
1.050000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.108323398155150460e-04,1.167262336997403754e-02,1.718036483169941057e-04,1.648300353014786265e-02,2.026507167560354030e-04,3.069139951995715899e-04
1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.369826787299462455e-04,1.131664402807932256e-02,1.854956256178671482e-04,1.602682475921670194e-02,2.174762380399651021e-04,3.256117239993469754e-04
1.150000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.620045507174206223e-04,1.097211871292408381e-02,1.994562570066835225e-04,1.558150530345606653e-02,2.324432941188553392e-04,3.424073412101063152e-04
