tau_s,z_inj,T_inj_keV,drho_over_rho_gamma,distortion,mu_or_y,deposited_eV_per_baryon,frac_decays_in_window_x_feff,f_eff_at_z_inj
0.06,19979502435.43614,3508.157280357491,3.06246435509643e-14,thermalised (z > 2e6),0.0,0.0,0.0,
460000.0,7215747.335118707,1.6947296977868822,8.479579830460006e-11,thermalised (z > 2e6),0.0,0.0,0.0,
1200000.0,4467551.560449388,1.049273567894306,1.3695756953331345e-10,thermalised (z > 2e6),0.0,0.0,0.0,
100000000.0,488790.7735392219,0.11480028074416097,1.2517909947851893e-09,mu,1.752507392699265e-09,0.0,0.0,
10000000000.0,48378.80565402125,0.01136274293491954,1.264711861013072e-08,y,3.16177965253268e-09,0.0,0.0,
1000000000000.0,4421.56981954949,0.001038708677968768,1.3835058922909394e-07,y,3.4587647307273485e-08,0.002791155762218956,4.409107331529223e-06,0.5
10000000000000.0,1199.2597166706412,0.0002818994915605716,5.097772856517347e-07,y,1.2744432141293368e-07,96.80686106699198,0.15292297429272667,0.5
100000000000000.0,290.7439279167519,6.852055751212406e-05,2.097267781408884e-06,post-recombination (anisotropies),5.24316945352221e-07,281.0201844017852,0.44391938713179074,0.49998518821640703
1000000000000000.0,64.6685127770624,1.542326223756169e-05,9.317481309782307e-06,post-recombination (anisotropies),2.3293703274455767e-06,235.22258793103038,0.3715742600346591,0.3415106974449753
1e+16,13.320855882788276,3.3634737015655633e-06,4.2725458970427766e-05,post-recombination (anisotropies),1.0681364742606942e-05,81.35038108364728,0.12850682377305037,0.05557693964916999
1e+17,2.0695290092976277,7.209261920842001e-07,0.00019933518744671746,post-recombination (anisotropies),4.9833796861679366e-05,15.965118483428679,0.025219631919809752,0.005616546093111852
1e+18,0.001,2.3510027632591496e-07,0.0006112538865549247,post-recombination (anisotropies),0.00015281347163873118,2.1226856197192396,0.003353144548620702,0.0006113211907238236
1e+20,0.001,2.3510027632591496e-07,0.0006112538865549247,post-recombination (anisotropies),0.00015281347163873118,0.022357579662006265,3.5317616357115175e-05,0.0006113211907238236
1e+22,0.001,2.3510027632591496e-07,0.0006112538865549247,post-recombination (anisotropies),0.00015281347163873118,0.00022369969946333735,3.533718892780702e-07,0.0006113211907238236
