delta_keV,mA_GeV,eps2_alphaD,eps_at_thermal_alphaD,tau_nunu_s,f2_today,N_exo_LZ
250,0.3,7.736499111742263e-17,5.6193903045496296e-08,5.725276548269869e+21,0.4999620120118785,125.34047641137794
250,0.5,5.969520919554216e-16,1.560941751263786e-07,7.419958406557754e+20,0.49970695757963585,125.2765342652147
250,1.0,9.551233471286745e-15,6.243767005055144e-07,4.637474004098596e+19,0.4953318747389332,124.17970099705055
250,2.0,1.5281973554058793e-13,2.4975068020220577e-06,2.8984212525616225e+18,0.4303188280800418,107.88093019966647
250,2.6,4.3646844667747324e-13,4.220786495417278e-06,1.0148178469106895e+18,0.3256944735147812,81.65160451015565
250,5.0,5.9695209195542156e-12,1.5609417512637858e-05,7.419958406557752e+16,0.0014219675946990536,0.35648727599105273
250,10.0,9.551233471286745e-11,6.243767005055143e-05,4637474004098595.0,9.155564456507585e-42,2.2953000092464516e-39
250,30.0,7.736499111742265e-09,0.000561939030454963,57252765482698.69,0.0,0.0
300,0.3,5.546760712950309e-16,1.5046541012702932e-07,3.209188950338522e+20,0.4993227177919277,428.5187564090324
300,0.5,4.279907957523387e-15,4.179594725750815e-07,4.159108879638723e+19,0.49479776682489607,424.6354434891258
300,1.0,6.847852732037419e-14,1.671837890300326e-06,2.599443049774202e+18,0.4229544792473351,362.979534090063
300,2.0,1.095656437125987e-12,6.687351561201304e-06,1.624651906108876e+17,0.03436750413204863,29.494192046124134
300,2.6,3.129304350075532e-12,1.1301624138430204e-05,5.6883579220226056e+16,0.00023868990924753197,0.20484368011623194
300,5.0,4.2799079575233866e-11,4.1795947257508146e-05,4159108879638723.5,1.889014137585691e-46,1.6211519328760402e-43
300,10.0,6.847852732037418e-10,0.00016718378903003258,259944304977420.22,0.0,0.0
300,30.0,5.5467607129503094e-08,0.0015046541012702932,3209188950338.522,0.0,0.0
350,0.3,1.9269284848600732e-14,8.868491542488309e-07,4.274006458870865e+18,0.45161500521212183,8189.586504516617
350,0.5,1.486827534614254e-13,2.463469872913419e-06,5.539112370696638e+17,0.227985884352696,4134.296026851789
350,1.0,2.3789240553828064e-12,9.853879491653676e-06,3.4619452316853988e+16,1.7457307982013973e-06,0.03165708229458414
350,2.0,3.80627848861249e-11,3.94155179666147e-05,2163715769803374.2,2.4382953806809892e-88,4.4216048433269055e-84
350,2.6,1.0871111991326136e-10,6.661222536357885e-05,757577035048973.8,2.125685459371523e-250,3.85471801202432e-246
350,5.0,1.486827534614254e-09,0.0002463469872913419,55391123706966.41,0.0,0.0
350,10.0,2.3789240553828065e-08,0.0009853879491653675,3461945231685.4004,0.0,0.0
350,30.0,1.9269284848600736e-06,0.008868491542488309,42740064588.70862,0.0,0.0
365,0.3,1.4757241360639597e-13,2.4542542290213586e-06,4.524509349196661e+17,0.19117282896958887,23407.5835246944
365,0.5,1.1386760309135492e-12,6.817372858392663e-06,5.863764116558871e+16,0.0003000413667252247,36.737665024569964
365,1.0,1.8218816494616787e-11,2.7269491433570652e-05,3664852572849294.5,1.4136701762231324e-52,1.7309260371711277e-47
365,2.0,2.915010639138686e-10,0.00010907796573428261,229053285803080.9,0.0,0.0
365,2.6,8.325561886444002e-10,0.0001843417620909376,80197922272707.84,0.0,0.0
365,5.0,1.1386760309135493e-08,0.0006817372858392663,5863764116558.873,0.0,0.0
365,10.0,1.8218816494616789e-07,0.002726949143357065,366485257284.92957,0.0,0.0
365,30.0,1.4757241360639599e-05,0.024542542290213586,4524509349.196662,0.0,0.0
380,0.3,3.611248308995702e-12,1.2140753278239776e-05,1.511700156582537e+16,1.5918729905612645e-13,4.216521339938866e-07
380,0.5,2.7864570285460665e-11,3.3724314661777155e-05,1959163402930968.2,1.866489861220683e-97,4.94392101460412e-91
380,1.0,4.4583312456737065e-10,0.00013489725864710862,122447712683185.52,0.0,0.0
380,2.0,7.13332999307793e-09,0.0005395890345884345,7652982042699.095,0.0,0.0
380,2.6,2.037350379322988e-08,0.0009119054684544543,2679521740379.921,0.0,0.0
380,5.0,2.786457028546067e-07,0.003372431466177716,195916340293.09668,0.0,0.0
380,10.0,4.458331245673707e-06,0.013489725864710865,12244771268.318542,0.0,0.0
380,30.0,0.0003611248308995702,0.12140753278239777,151170015.6582536,0.0,0.0
