tau_s,f2_excluded_above_gamma_channel,deposited_eV_per_baryon_per_unit_f2
1.0000e+10,inf,0.0000e+00
1.2589e+10,inf,0.0000e+00
1.5849e+10,inf,0.0000e+00
1.9953e+10,7.1035e+255,2.8155e-257
2.5119e+10,1.7020e+202,1.1751e-203
3.1623e+10,4.5627e+159,4.3834e-161
3.9811e+10,7.3091e+125,2.7363e-127
5.0119e+10,1.0960e+99,1.8248e-100
6.3096e+10,5.6663e+77,3.5297e-79
7.9433e+10,7.3346e+60,2.7268e-62
1.0000e+11,2.9607e+47,6.7552e-49
1.2589e+11,7.1242e+36,2.8073e-38
1.5849e+11,2.7454e+28,7.2849e-30
1.9953e+11,5.9647e+21,3.3531e-23
2.5119e+11,3.1875e+16,6.2744e-18
3.1623e+11,2.1666e+12,9.2310e-14
3.9811e+11,1.1070e+09,1.8067e-10
5.0119e+11,2.7892e+06,7.1705e-08
6.3096e+11,2.4694e+04,8.0991e-06
7.9433e+11,5.8584e+02,3.4139e-04
1.0000e+12,3.0081e+01,6.6487e-03
1.2589e+12,2.8330e+00,7.0597e-02
1.5849e+12,4.3079e-01,4.6427e-01
1.9953e+12,9.5838e-02,2.0869e+00
2.5119e+12,2.8879e-02,6.9253e+00
3.1623e+12,1.1090e-02,1.8034e+01
3.9811e+12,5.1701e-03,3.8684e+01
5.0119e+12,2.8142e-03,7.1069e+01
6.3096e+12,1.7336e-03,1.1537e+02
7.9433e+12,1.1788e-03,1.6966e+02
1.0000e+13,8.6731e-04,2.3060e+02
1.2589e+13,6.7944e-04,2.9436e+02
1.5849e+13,5.5955e-04,3.5743e+02
1.9953e+13,4.7951e-04,4.1709e+02
2.5119e+13,4.2415e-04,4.7153e+02
3.1623e+13,3.8475e-04,5.1981e+02
3.9811e+13,3.5610e-04,5.6164e+02
5.0119e+13,3.3493e-04,5.9714e+02
6.3096e+13,3.1914e-04,6.2669e+02
7.9433e+13,3.0737e-04,6.5067e+02
1.0000e+14,2.9877e-04,6.6940e+02
1.2589e+14,2.9281e-04,6.8303e+02
1.5849e+14,2.8922e-04,6.9151e+02
1.9953e+14,2.8791e-04,6.9467e+02
2.5119e+14,2.8892e-04,6.9224e+02
