delta_keV,N,E_lnLR_mod,P_LR_gt10_mod,P_LR_gt10_flat,P_LR_gt3_mod,P_LR_gt3_flat,P_all_MayAug_mod,P_all_MayAug_flat
300,1,0.04386,0,0,0,0,0.519,0.4155
300,2,0.08756,0,0,0,0,0.2697,0.1742
300,3,0.1305,0,0,0,0,0.1413,0.06878
300,5,0.2128,0,0,0.07625,0.0216,0.03682,0.01323
350,1,0.3236,0,0,0,0,0.689,0.4222
350,2,0.6582,0,0,0.4021,0.1058,0.4737,0.1701
350,3,0.9861,0.001075,0.0001,0.5754,0.1069,0.327,0.07035
350,5,1.632,0.3851,0.0216,0.7013,0.07913,0.152,0.01202
366,1,0.589,0,0,0,0,0.7717,0.4219
366,2,1.175,0,0,0.6728,0.1343,0.5941,0.172
366,3,1.754,0.3877,0.02577,0.7883,0.09675,0.4564,0.07165
366,5,2.93,0.7361,0.0247,0.8906,0.05195,0.2738,0.01197
380,1,0.7394,0,0,0.4035,0.1245,0.8182,0.4185
380,2,1.482,0.1602,0.015,0.7493,0.1164,0.6651,0.1738
380,3,2.234,0.5843,0.03097,0.8481,0.07823,0.5474,0.06982
380,5,3.701,0.8302,0.0179,0.9325,0.0346,0.3654,0.01162
