delta_keV,june_dec_ratio,mod_fraction,peak_doy,frac_year_nonzero,eff_survival_peak,frac_gt270_peak,N_new_per_first_event,N_new_over_k,N_dec26_per_first_event,f_MayJul,f_NovJan,f_MayAug,f_MayJul_flat,f_NovJan_flat,KL_nats_per_event,KL_sd
300,2.4009,0.41753,152,1,0.9175,0.044475,2.4999,1.0503,2.7239,0.41032,0.12734,0.51871,0.31222,0.20814,0.043292,0.28338
350,26.473,0.92988,152,1,0.77458,0.19546,2.7232,1.1441,2.7912,0.59243,0.024757,0.68632,0.31222,0.20814,0.32705,0.62344
366,344.77,0.99459,152,1,0.51261,0.47403,2.849,1.1969,2.8652,0.70849,0.0032919,0.77022,0.31222,0.20814,0.58498,0.65938
380,1.0419e+05,0.99998,152,0.76993,0.13097,0.88426,2.9075,1.2215,2.9143,0.78018,0.00060679,0.81751,0.31222,0.20814,0.74245,0.69082
