hypothesis,mean,P0,P1,P2,P3,P_ge4
bkg_only_nb,0.0005,0.9995,0.0005,0.0000,0.0000,0.0000
bkg_only_panel,0.0252,0.9751,0.0246,0.0003,0.0000,0.0000
s=1.0 plug-in,2.3807,0.0925,0.2202,0.2621,0.2080,0.2172
s=0.3,0.7141,0.4894,0.3497,0.1249,0.0298,0.0062
s=2.4,5.7125,0.0033,0.0189,0.0539,0.1026,0.8213
"Poisson-Gamma flat prior (Gamma(2,1))",4.7604,0.0875,0.1233,0.1302,0.1222,0.5368
"Poisson-Gamma Jeffreys (Gamma(1.5,1))",3.5703,0.1609,0.1700,0.1496,0.1229,0.3966
