region,type,vol_t,sim_sci,sim_prompt,eps_sim,untagged_sim,obs_sci,obs_prompt,eps_data,eps_data_68lo,eps_data_68hi,eps_data_90LL
WS ROI,Wall,4.7,0.0048,0.09,0.949367088607595,0.050632911392405,,,,,,
WS ROI,RFR,4.7,0.0001,0.1,0.9990009990009989,0.0009990009990010762,,,,,,
WS ROI,Wall,5.4,0.03,0.1,0.7692307692307693,0.23076923076923073,0.0,1.0,1.0,0.15999999999999998,1.0,0.1
WS ROI,RFR,5.4,0.003,1.9,0.998423541776143,0.0015764582238569913,0.0,2.0,1.0,0.39999999999999997,1.0,0.31622776601683794
HE SB,Wall,4.7,0.1,0.3,0.7499999999999999,0.2500000000000001,0.0,1.0,1.0,0.15999999999999998,1.0,0.1
HE SB,RFR,4.7,0.5,0.5,0.5,0.5,0.0,0.0,,,,
HE SB,Wall,5.4,0.5,2.2,0.8148148148148149,0.18518518518518512,0.0,0.0,,,,
HE SB,RFR,5.4,21.5,5.2,0.1947565543071161,0.8052434456928839,18.0,3.0,0.14285714285714285,0.06641540638606168,0.2620274337767455,0.05366812242397059
