variant,eps_mix,untagged_mix,eps_A,untagged_A,mc_err_A,eps_B,untagged_B,mc_err_B,untagged_side_A,untagged_top_A,untagged_bottom_A
central,0.983392180091501,0.016607819908499022,0.9767289460903389,0.02327105390966111,0.0012505400736793023,0.9900554140926628,0.009944585907337156,0.006386573967768882,0.0219086488258568,0.0010356437248945961,0.0003267613589096798
skin 4 cm,0.9765289128110028,0.023471087188997153,0.9647949625656539,0.03520503743434611,0.002741232690914374,0.988262863056352,0.011737136943647974,0.00840336612035239,0.03294194428405008,0.001965515164288069,0.00029757798600799366
skin 8 cm,0.9889572750363128,0.01104272496368719,0.9861301963592893,0.013869803640710665,0.0016476742063314621,0.9917843537133365,0.008215646286663492,0.009129360907104082,0.013127582361932032,0.0005846992891220628,0.00015752198965642898
PTFE 1 cm,0.9829747007161175,0.017025299283882522,0.9770267090913901,0.02297329090860989,0.0021533265555273707,0.9889226923408444,0.0110773076591556,0.010454901690495932,0.02133803117339852,0.0012703285190882832,0.0003649312161229376
PTFE 3 cm,0.9841029831936373,0.015897016806362685,0.978429872961843,0.021570127038156972,0.0022854486942473474,0.9897760934254317,0.010223906574568287,0.007658392217997982,0.020147164523713512,0.0009068360657519943,0.0005161264486914656
OD top/bottom 30 cm,0.9843329337060304,0.015667066293969634,0.9783752915140019,0.021624708485998068,0.0020718526697696437,0.990290575898059,0.009709424101940978,0.01000446928062399,0.01950539318534432,0.0018500053487145287,0.00026930995193924354
OD top/bottom 60 cm,0.9846941883066225,0.015305811693377525,0.9783256839533525,0.02167431604664749,0.0020580912441928146,0.9910626926598923,0.00893730734010767,0.007131709748406032,0.02072704755461962,0.0006777355908671087,0.0002695329011607234
Xe mu x0.8,0.9793780629784085,0.02062193702159154,0.9727479643992304,0.02725203560076961,0.002060753817808086,0.9860081615575867,0.013991838442413251,0.005338554409995482,0.025390915499420644,0.0012923154642390832,0.0005688046371099101
Xe mu x1.25,0.9830535225278686,0.016946477472131405,0.984547770320642,0.015452229679357998,0.002055256261546954,0.9815592747350954,0.01844072526490459,0.014717256496575619,0.01465928462202099,0.0006750080216344525,0.00011793703570259667
PMT arrays rho 0.4,0.9822260558884789,0.01777394411152111,0.9783408273361228,0.02165917266387718,0.0020901949483238024,0.9861112844408347,0.013888715559165266,0.007845849493282866,0.019713481520330745,0.0013036267084606823,0.0006420644350857949
PMT arrays rho 1.2,0.9829198511737033,0.017080148826296715,0.9771764997029949,0.022823500297005084,0.002139767522365772,0.9886632026444118,0.011336797355588235,0.007932979862455307,0.021149426192992402,0.0013417904994143428,0.00033228360459850646
"no water gap, thin PMT arrays (5 cm)",0.9894021593857071,0.01059784061429292,0.9857143393676951,0.014285660632304853,0.0016908420157748926,0.993089979403719,0.006910020596280986,0.0069328886908558126,0.01262601800833049,0.0010981953894097533,0.0005614472345646504
top corner weakest: PMT rho 1.2 + OD top 30 cm + skin 4 cm,0.9723606043972365,0.027639395602763517,0.9641893062582847,0.035810693741715305,0.0027445796335980118,0.9805319025361885,0.019468097463811507,0.008941563020570193,0.033319280892463825,0.0020126924564246086,0.00047872039282696234
top corner strongest: PMT rho 0.4 + OD top 60 cm + skin 8 cm,0.989944547908861,0.010055452091139006,0.9850984817650951,0.014901518234904931,0.0017517099960166049,0.9947906140526271,0.005209385947372858,0.005310516169974585,0.013692280989014968,0.0009871465860264322,0.00022209065986365456
