thr_skin_keV,thr_od_keV,eps_A,untagged_A,eps_mix,untagged_mix
2.0,20.0,0.9789692287852652,0.021030771214734845,0.9851800224436921,0.014819977556307928
2.0,50.0,0.9767580158763859,0.023241984123614112,0.9834400173432232,0.016559982656776828
2.0,100.0,0.971626540019292,0.02837345998070795,0.9797823335942971,0.020217666405702883
2.0,200.0,0.9622975811294193,0.03770241887058068,0.9734132055430864,0.026586794456913587
5.0,20.0,0.9789401590967558,0.021059840903244198,0.9851323152707011,0.014867684729298891
5.0,50.0,0.9767289460903389,0.02327105390966111,0.983392180091501,0.016607819908499022
5.0,100.0,0.9715934484376828,0.028406551562317195,0.979710046358414,0.020289953641586034
5.0,200.0,0.9622641091194654,0.03773589088053464,0.9733284900690626,0.026671509930937365
10.0,20.0,0.9786542271616753,0.021345772838324728,0.9849695316347512,0.015030468365248795
10.0,50.0,0.976389044530037,0.023610955469962946,0.9831960589085149,0.016803941091485086
10.0,100.0,0.9711489275689024,0.028851072431097635,0.9794096091223371,0.0205903908776629
10.0,200.0,0.9613884923391277,0.03861150766087229,0.9726988558545462,0.027301144145453815
20.0,20.0,0.9783056314613043,0.021694368538695663,0.984773699154231,0.015226300845769036
20.0,50.0,0.9759890871131952,0.02401091288680479,0.9829635829234858,0.017036417076514154
20.0,100.0,0.9703978840355919,0.029602115964408093,0.9789723093528112,0.02102769064718879
20.0,200.0,0.9602690748229024,0.03973092517709764,0.9719828442900148,0.028017155709985198
