category,sim_sci,sim_prompt,eps_sim,obs_sci,obs_prompt,n_obs,eps_data,eps_68lo,eps_68hi,eps_90LL
WS ROI 4.7 t (wall+RFR) [search bin],0.0049,0.19,0.9748589020010262,0.0,0.0,0,,,,
WS ROI 4.7 t wall,0.0048,0.09,0.949367088607595,0.0,0.0,0,,,,
all wall bins,0.6348,2.6900000000000004,0.8090712223291626,0.0,2.0,2,1.0,0.39999999999999997,1.0,0.31622776601683794
wall sidebands (6 bins),0.63,2.6,0.8049535603715171,0.0,2.0,2,1.0,0.39999999999999997,1.0,0.31622776601683794
RFR excl. HE-SB 5.4 t,0.5031,2.5,0.8324731111185109,0.0,2.0,2,1.0,0.39999999999999997,1.0,0.31622776601683794
HE-SB 5.4 t RFR (214Pb),21.5,5.2,0.1947565543071161,18.0,3.0,21,0.14285714285714285,0.06641540638606168,0.2620274337767455,0.05366812242397059
