tag,delta_keV,f2,N_5_55,N_55_125,N_125_200,N_200_270,N_600_1000phd,N_600_1700phd,N_above_670keV_noeff
iso,300.0,0.001,0.03592129723728178,0.24238088140412756,0.5438731912085173,0.09294159647531262,0.07649786029207108,0.08950326476828273,0.0022230602092713414
iso,300.0,0.01,0.35921297237281785,2.423808814041276,5.4387319120851725,0.9294159647531263,0.7649786029207108,0.8950326476828273,0.022230602092713412
iso,300.0,0.1,3.5921297237281786,24.238088140412756,54.38731912085173,9.294159647531263,7.6497860292071085,8.950326476828273,0.22230602092713414
iso,300.0,0.42,15.086944839658349,101.79997018973357,228.42674030757723,39.035470519631296,32.129101322669854,37.591371202678744,0.9336852878939633
iso,350.0,0.001,0.02120670555509058,3.014131606664577,20.4862106720099,4.221315154785381,4.152387381264015,4.916047557245758,0.14461259611953875
iso,350.0,0.01,0.2120670555509058,30.14131606664577,204.862106720099,42.213151547853805,41.52387381264015,49.160475572457585,1.4461259611953876
iso,350.0,0.1,2.120670555509058,301.4131606664577,2048.62106720099,422.13151547853806,415.23873812640153,491.60475572457585,14.461259611953876
iso,350.0,0.42,8.906816333138043,1265.9352747991225,8604.208482244157,1772.9523650098597,1744.0027001308863,2064.7399740432184,60.737290370206274
iso,366.0,0.001,0.010808103569171803,22.707785722671307,221.3058595476984,48.83991515425247,51.24920864005498,60.924352869722966,1.8965607100822994
iso,366.0,0.01,0.10808103569171802,227.07785722671306,2213.058595476984,488.3991515425247,512.4920864005499,609.2435286972296,18.965607100822993
iso,366.0,0.1,1.0808103569171803,2270.7785722671306,22130.58595476984,4883.991515425248,5124.9208640054985,6092.435286972297,189.65607100822993
iso,366.0,0.42,4.539403499052157,9537.270003521948,92948.46101003331,20512.76436478604,21524.667628823092,25588.22820528364,796.5554982345657
iso,380.0,0.001,0.0015242948469318567,469.0382039765112,6180.139848328489,1454.014464585395,1619.9320771754335,1932.983224416296,63.28914002155325
iso,380.0,0.01,0.015242948469318568,4690.3820397651125,61801.39848328489,14540.14464585395,16199.320771754336,19329.83224416296,632.8914002155325
iso,380.0,0.1,0.15242948469318568,46903.82039765112,618013.9848328489,145401.44645853952,161993.20771754335,193298.3224416296,6328.914002155326
iso,380.0,0.42,0.6402038357113797,196996.04567013468,2595658.736297965,610686.0751258659,680371.472413682,811852.9542548443,26581.438809052364
p,300.0,0.001,0.030000450014685584,0.23308343477496035,0.4445995516610671,0.15092124161040169,0.04574688217039091,0.0666431272653603,0.0030975357763280624
p,300.0,0.01,0.3000045001468558,2.3308343477496036,4.4459955166106715,1.509212416104017,0.4574688217039091,0.6664312726536029,0.030975357763280625
p,300.0,0.1,3.0000450014685587,23.308343477496038,44.45995516610671,15.09212416104017,4.574688217039092,6.664312726536029,0.30975357763280625
p,300.0,0.42,12.600189006167945,97.89504260548334,186.73181169764817,63.38692147636871,19.21369051156418,27.99011345145132,1.300965026057786
p,350.0,0.001,0.012326413947526899,1.8212660150041977,11.597741155388608,4.697958321105361,1.703645819114979,2.533243814981515,0.1342776365541194
p,350.0,0.01,0.12326413947526899,18.212660150041977,115.97741155388607,46.97958321105361,17.03645819114979,25.332438149815147,1.342776365541194
p,350.0,0.1,1.23264139475269,182.12660150041978,1159.7741155388608,469.7958321105361,170.3645819114979,253.3243814981515,13.42776365541194
p,350.0,0.42,5.177093857961297,764.931726301763,4871.051285263215,1973.1424948642514,715.5312440282912,1063.9624022922362,56.39660735273014
p,366.0,0.001,0.004701320169070436,9.562637866100468,93.11647470199364,40.2530971490262,15.568624304412861,23.31191887880618,1.2936813519629282
p,366.0,0.01,0.04701320169070436,95.62637866100468,931.1647470199364,402.530971490262,155.68624304412862,233.11918878806176,12.936813519629283
p,366.0,0.1,0.4701320169070436,956.2637866100467,9311.647470199363,4025.3097149026203,1556.862430441286,2331.1918878806177,129.36813519629283
p,366.0,0.42,1.974554471009583,4016.307903762196,39108.91937483732,16906.300802591006,6538.822207853401,9791.005929098594,543.3461678244298
p,380.0,0.001,0.0004448358277099028,121.59353839791575,1726.610459893096,793.0912848074934,325.59256363189866,490.60374063832927,28.385078925397526
p,380.0,0.01,0.004448358277099028,1215.9353839791575,17266.10459893096,7930.912848074933,3255.9256363189866,4906.037406383292,283.8507892539753
p,380.0,0.1,0.044483582770990286,12159.353839791576,172661.0459893096,79309.12848074934,32559.256363189867,49060.374063832925,2838.507892539753
p,380.0,0.42,0.18683104763815916,51069.286127124615,725176.3931551003,333098.3396191472,136748.87672539742,206053.57106809827,11921.733148666961
hig,300.0,0.001,0.03884716998606126,0.25727400637602477,0.6137376177757473,0.05051198632961337,0.133065339321475,0.1464538250416871,0.0033018464274211703
hig,300.0,0.01,0.3884716998606126,2.5727400637602478,6.1373761777574725,0.5051198632961337,1.33065339321475,1.4645382504168711,0.033018464274211706
