m_GeV,delta_for_Estar_248_keV,halfwidth_v250_keV,E_star_at_delta300,E_star_at_delta366
200.0,399.7596268878354,131.6032500780494,186.1118407059029,227.05644566120154
400.0,323.8798134439177,165.048397493072,229.714841468139,280.25210659112963
1000.0,278.3519253775671,195.12549866208047,267.2875350119494,326.0907927145783
2000.0,263.17596268878356,207.8399619124181,282.70059028141975,344.89472014333205
4000.0,255.58798134439178,214.86126276016034,291.0934998142569,355.13406977339343
inf,248.0,222.38998202294437,299.9999999632839,365.9999999552064
