tag,m_GeV,delta_keV,a1_exo_roi,peak_to_peak_exo_roi,day_max_exo_roi,a1_exo_he1700,peak_to_peak_exo_he1700,day_max_exo_he1700,a1_exo_all,peak_to_peak_exo_all,day_max_exo_all,a1_endo_roi,peak_to_peak_endo_roi,day_max_endo_roi
iso,1000.0,250.0,0.0526866204064987,0.05223540616926573,144.578125,-0.011756233463260424,0.011660894075944101,327.203125,0.05017711971983992,0.049748736673070906,144.578125,0.28159835061313937,0.275993518189992,144.578125
iso,1000.0,278.0,0.04149834484812071,0.04114534622874657,144.578125,-0.017188371750920712,0.01705010658564307,327.203125,0.03770376096310048,0.03738451913125754,144.578125,0.3204187913180311,0.31387151178826345,144.578125
iso,1000.0,300.0,0.03203987070677881,0.03177396307762677,144.578125,-0.020770168121288148,0.020602878698911583,327.203125,0.027361886267600027,0.02713583498969496,144.578125,0.4274872001245614,0.41478482510800224,144.578125
iso,1000.0,350.0,0.023376724403105842,0.023198550305351277,144.578125,-0.026540989395815187,0.02632557528066182,327.203125,0.015929948715813463,0.015808238464136575,144.578125,1.1757717146363733,0.9285898494236126,144.578125
iso,1000.0,366.0,0.025158589979532693,0.024970298264248895,144.578125,-0.02767458397553053,0.027449508614412754,327.203125,0.016124277969132544,0.016002593755520322,144.578125,1.5265525063996945,0.9955600877259702,144.578125
iso,1000.0,380.0,0.02813395321178653,0.02792537876710196,144.578125,-0.028379491356776487,0.02814837026422235,327.203125,0.017300063491970885,0.01716989847821104,144.578125,1.679780982366586,0.9999961504746538,144.578125
p,1000.0,250.0,0.04960260419072893,0.04918133489644505,144.578125,-0.006151173631092462,0.006098963772236919,327.203125,0.047851565787158934,0.04744633585059567,144.578125,0.28445025153060494,0.2787022206820624,144.578125
p,1000.0,278.0,0.03925560603969757,0.03892122707490495,144.578125,-0.012112325422872893,0.012014177360222866,327.203125,0.03659486314293106,0.036284575026060084,144.578125,0.31430187383780606,0.3079020167950403,144.578125
p,1000.0,300.0,0.02970337988351748,0.029454301520990208,144.578125,-0.01621253088936089,0.016082014942104008,327.203125,0.026453016932387646,0.026232345750869156,144.578125,0.4048526885711058,0.39385031877430515,144.578125
p,1000.0,350.0,0.018192434807515864,0.018052444910334395,144.578125,-0.023480038874129153,0.02329030399746763,327.203125,0.01324519641091477,0.013143632556856962,144.578125,1.0893131169716024,0.8939472207966698,144.578125
p,1000.0,366.0,0.018805507970907617,0.018664255651790317,144.578125,-0.02518046998125113,0.02497650319341592,327.203125,0.012819449928538824,0.012723235878873747,144.578125,1.4632658421549622,0.9934689623281946,144.578125
p,1000.0,380.0,0.020805702723204453,0.020651544620034542,144.578125,-0.02641409711079603,0.026199709867869188,327.203125,0.013597216258765962,0.013496069830660888,144.578125,1.6961052393114928,0.999999798415165,144.578125
hig,1000.0,300.0,0.03201838437729333,0.031756933242543556,144.578125,-0.02279859998787603,0.022614742121188056,327.203125,0.024792216486984788,0.02459065725041209,144.578125,0.4514060408427005,0.4366040679836884,144.578125
hig,1000.0,350.0,0.027546784792081024,0.027338665370971148,144.578125,-0.027076586816294428,0.02685671293282165,327.203125,0.015837996775201445,0.015717095064204833,144.578125,1.1923064269075014,0.9251099226678416,144.578125
hig,1000.0,366.0,0.030611697965741286,0.030383223703962906,144.578125,-0.027691321489053834,0.027466187638146938,327.203125,0.016400355867075955,0.016275550248034773,144.578125,1.3550632750377127,0.9650818313501703,144.578125
hig,1000.0,380.0,0.0345514463553026,0.03429484929674325,144.578125,-0.027931770499913754,0.027704564994144726,327.203125,0.017589015038145986,0.017454763476700486,144.578125,1.5195841895337094,0.9999948450643851,144.578125
iso,400.0,300.0,0.029844290423909892,0.029589102218022984,144.578125,-0.008146636149936179,0.008079404487817077,327.203125,0.027457595332101927,0.027224296685715306,144.578125,0.8959913792451099,0.7928375601442128,144.578125
iso,400.0,350.0,0.015475925169975046,0.015356499362981982,144.578125,-0.017858604836519767,0.017715068426941594,327.203125,0.011763457298128294,0.011673482524347814,144.578125,1.9588074794007624,1.0,144.578125
iso,400.0,380.0,0.01709589371548816,0.016968967569204546,144.578125,-0.022205245519798092,0.022026228822131136,327.203125,0.011377865451876672,0.01129366783642415,144.578125,,,
iso,4000.0,300.0,0.034144551959698344,0.03386247905110404,144.578125,-0.02526616257551519,0.025061508910952632,327.203125,0.028011789690525854,0.02778089136133601,144.578125,0.3389241528415614,0.33169212821728405,144.578125
iso,4000.0,350.0,0.028323700367971112,0.028109624694704703,144.578125,-0.02886387234935165,0.028628573376302206,327.203125,0.01857846690518173,0.018436976707850678,144.578125,0.7689088094625212,0.6980999326829259,144.578125
iso,4000.0,380.0,0.034526605390644186,0.03426995724250836,144.578125,-0.029372157470220487,0.029132453455065155,327.203125,0.020612741622297287,0.020456150758848303,144.578125,1.347251719493648,0.9731209269034847,144.578125
