tag,m_GeV,delta_keV,halo,Nexo_lo,Nendo_lo,Nexo_mid,Nendo_mid,Nexo_gap,Nendo_gap,Nexo_hi,Nendo_hi,Nexo_roi,Nendo_roi,Nexo_he1000,Nendo_he1000,Nexo_he1700,Nendo_he1700,Nexo_all,Nendo_all,Eexo_peak_keV,Eexo_p16,Eexo_p50,Eexo_p84,frac_exo_below_270,frac_exo_270_670,frac_exo_above_670,pct248_exo_accepted_true,pct248_exo_accepted_obs,obs_p16,obs_p50,obs_p84,R_lo,R_mid,R_gap,R_hi,R_roi,R_he1000,R_he1700,R_all
iso,1000.0,250.0,annual,5993167.919401902,13.771117630838184,10472315.106383398,18621.533807333115,8951623.162317812,74261.14539386975,1319668.0210395877,11682.066414305324,26742249.160118975,104630.39770946758,934348.6600282668,7319.581536377093,1081857.4450488784,7852.248176431697,29012325.161911733,117232.16337966999,56.0,51.463196772087215,76.88795082592105,177.8699613538016,0.9601192332060433,0.03917032991578773,0.000710436878168963,0.9988158161887036,0.9980406936781254,49.96959217542057,74.82498677054589,170.22767297352115,57.279414497146696,100.08864857287837,85.5547083666281,12.612663718472861,255.5877617360827,8.92999243511163,10.339800562097889,277.2839040760573
iso,1000.0,250.0,june16,6918302.166439671,52.61387202658996,11151530.54435,28416.344643090524,8762278.607825136,91568.4767964437,1279912.8597309038,14272.32575497505,28117354.07642233,134373.06736074272,920653.5951272459,9096.342334168652,1069499.9309948676,9775.914482611191,30433139.60042749,150232.85594418677,56.0,50.301541834306036,73.39327667856247,175.08525899302796,0.9623625408653227,0.036913471852884516,0.0007239872817927928,0.9989060650385783,0.9981912259354789,48.82893696358768,71.76547316288539,167.5556516375603,51.485779868867255,82.98932787187334,65.20859261403635,9.525069903292481,209.24843518632704,6.851474132503253,7.959183726331483,226.48243578994592
iso,1000.0,250.0,dec16,5099235.085530725,0.0,9788801.614242367,10362.445886004574,9143467.850236153,57820.3236611135,1360476.0119699698,9214.460019813881,25397603.661464725,77438.219369066,947994.7720571934,5635.773490629715,1094047.031771332,6030.264046678012,27623053.451476756,86994.91708481076,58.5,52.80752001906221,82.16322542499674,180.62682213258273,0.9576999814530087,0.04160572543415786,0.0006942931128334218,0.998716440783622,0.9978748459130178,51.30202414766211,79.10043225750559,172.84389091751626,65.84907461815554,126.40788610581959,118.07435559253916,17.568534285196062,327.9724646097715,12.241949515123869,14.127998302197112,356.71085513765377
iso,1000.0,250.0,sun,5863809.770583515,0.9939429893234978,10390978.545298092,16658.492338199678,8973634.014680186,71700.68125615297,1324021.735991987,11302.364492797045,26557935.281337593,99712.73735792379,936057.082013068,7054.732782435597,1083461.5520754296,7564.980397233901,28821849.882284246,111808.14597021458,56.0,51.647472154710535,77.44877033864432,178.2180532355573,0.9598029020385073,0.03948783592044125,0.0007092620410514838,0.9988038168817648,0.9980207240819774,50.15408572877859,75.30775217570293,170.56165071369696,58.807028329139946,104.20913938004892,89.99486176443922,13.278361130928996,266.34446094892144,9.387537708979394,10.865828988189252,289.0488281234001
iso,1000.0,278.0,annual,1643494.5861815982,0.0,5671605.147933624,1768.6867282269627,8136141.88134337,28400.16633584706,1296902.1461633341,5358.872222260573,16753788.184788795,35554.44604788023,996224.8123606185,3829.65161290231,1160071.3223101767,4107.202121100226,18693455.170786325,41346.52045835963,61.0,61.3936230596288,142.18769944069348,194.56810415621734,0.9335106024626191,0.06518197282217286,0.001307424715208061,0.9980792382985803,0.9968440278050195,59.60639085403424,135.40771679410634,183.2718138207762,46.22472767451777,159.51887255663675,228.8361312221443,36.476511106848086,471.21499691562946,28.019697199585924,32.62802409431269,525.7698332752069
iso,1000.0,278.0,june16,1978889.0106663085,0.0,6168017.91022037,2767.846667888856,8022837.288179968,37332.690347991964,1259843.9625677709,6867.461336267289,17435068.211455803,47001.910765111505,976642.8410627857,4969.38575651384,1140873.10960247,5341.870881982204,19384428.60378063,54566.53880456298,61.0,59.64317037007082,137.8540717462915,192.29798266915688,0.9368467312305317,0.061815802791109986,0.0013374659783582654,0.9982099242890315,0.9970588322787164,57.90657146498517,130.2281063381365,181.4046689034809,42.10230985194744,131.2290885586455,170.6917263060536,26.804100983548217,370.94381755214675,20.778790163308138,24.27290914413878,412.4178844696942
iso,1000.0,278.0,dec16,1324760.4313913733,0.0,5178532.556942054,958.3591715144481,8248870.988992575,20073.321882090462,1334866.7803903357,3941.6973729388383,16092843.68598281,24993.324575107883,1016001.4273036085,2763.0017714007404,1179361.291834185,2952.554560853104,18023743.537077114,29133.73016122551,63.5,63.49774107459903,146.11960703518727,196.84015626413554,0.9299966346554395,0.06873082426541621,0.0012725410791443181,0.997938481950044,0.996612665285175,61.65489506075721,139.85674936564502,185.10641057163667,53.0045703767945,207.19662729861943,330.04296664110234,53.40893230826111,643.8856758580445,40.65091157642532,47.187051418072265,721.1422987331534
iso,1000.0,278.0,sun,1593977.9003287381,0.0,5608906.2229946405,1555.3594900204616,8150362.196718356,26999.53391512605,1300998.5660799094,5127.764373855446,16659907.42907166,33708.28667642886,998533.5775123868,3653.039768117112,1162384.9163778715,3915.4542892873137,18597920.649933968,39222.23831351923,63.5,61.67884956330995,142.73151287315883,194.86346051913947,0.9330474465139443,0.06564773041802774,0.0013048230680279271,0.9980620394041266,0.996815761304186,59.8863854423021,136.03906376809442,183.51002121724508,47.287419726478014,166.39547055106692,241.79105496980497,38.59580816338721,494.2377400842922,29.622792374393498,34.483654643612915,551.7314133601132
iso,1000.0,300.0,annual,486913.28090315644,0.0,3285473.500945681,297.72906350674816,7372202.573234465,10702.70411737133,1259823.5908140654,2540.0603833653813,12410126.017749853,13555.002696222276,1036928.7025142584,2099.5215128199306,1213216.9952547688,2249.842450942525,14227732.47717819,16480.804834893184,158.5,72.91317021329657,156.3131490224176,205.9695430189255,0.9084945589969576,0.0895582664450909,0.0019471745579514588,0.9974062307594699,0.9957635306879342,70.45329553420598,150.1217540108647,190.1868254748016,35.921297237281784,242.38088140412756,543.8731912085173,92.94159647531262,915.5384396351691,76.49786029207108,89.50326476828273,1049.6296309216818
iso,1000.0,300.0,june16,615780.4228501404,0.0,3630954.5540382694,529.700056692691,7320830.264160329,15421.181663479905,1227008.4958675657,3458.2768623532,12800114.398161238,19428.433247119552,1013201.36886139,2865.8179643791295,1189045.8692941791,3080.175403968962,14610093.898415776,23470.181377180525,158.5,69.98761175545611,153.80579435948027,203.85515139909523,0.9125264716098659,0.08547377062816608,0.001999757761968035,0.9975611101125126,0.9960144148887793,67.73929009141706,147.54097380331197,188.77307632965145,31.694806010229136,186.88869595681848,376.81012004638666,63.155298230210164,658.8341033654361,52.150441364673945,61.20132561231958,751.9954755271817
