tag,m_GeV,delta_keV,f2_UL_lomid,f2_UL_lo_Nmax3,f2_UL_gap,f2_UL_hi,f2_UL_he1000,f2_UL_he1700,f2_UL_P011style_roi,f2_UL_joint,f2_UL_joint_mu0p3,f2_UL_joint_mu2p4,f2_UL_joint_he1000,f2_UL_joint_noLE,f2_UL_joint_ROIonly,kappa_hat_f2_0,q_f2_1_profiled,kappa_hat_f2_1,f2_UL_profiled,tau_min_s_higgsino,tau_min_s_darkphoton,tau_min_s_darkphoton_mu0p3,tau_min_s_darkphoton_mu2p4
p,1000.0,366.0,0.0007976832268015657,0.638118633088793,2.4728009735797883e-05,8.127558016281904e-05,0.00014789907238890835,9.877286828959627e-05,6.988625755446154e-06,1.1064056124702094e-05,5.4389066639012726e-05,3.980224679449641e-06,1.1770705264309087e-05,3.669990019928346e-05,1.3484937085334419e-05,0.038361454435415485,0.7825569666731553,5.701126203742654e-07,,4.130141747113935e+16,4.062959460513376e+16,4.771918972631013e+16,3.709172546772829e+16
p,1000.0,380.0,6.276384563648936e-05,6.744061096527578,1.3335869013191553e-06,4.125116347649103e-06,7.071983055476912e-06,4.6933704378163924e-06,3.781576036480145e-07,5.694797511845697e-07,2.7705402178773615e-06,2.0653055503147226e-07,6.097737000370335e-07,1.7367465060375409e-06,7.082560804407273e-07,0.24250860538237157,-1.4394677181826125,6.185087269553883e-07,,3.223251608816834e+16,3.1821870419572396e+16,3.598143667669433e+16,2.962616653622844e+16
hig,1000.0,300.0,0.02577223989099916,0.07722570269794245,0.0037517418295767786,0.06476866308105178,0.017304168799594146,0.0157222598476937,0.0010379762171957103,0.002420783934839034,0.0116887134178788,0.0007943734653176024,0.0024709432932422154,0.016492020344540413,0.0030904492315975253,0.000999223711447231,0.6979597973942475,1.401337749471943e-06,,8.446103353425406e+16,8.169843692529784e+16,1.1594693563349278e+17,6.757296219358017e+16
hig,1000.0,350.0,0.001464995076403001,0.09826307959021635,7.442475461664806e-05,0.0010467330884343868,0.00023696523810494104,0.00021273203792059658,2.5327217884459207e-05,3.459250145685784e-05,0.00015607340162091392,1.3108497386506279e-05,3.5590898970865464e-05,0.00015476874257052252,4.738235409871162e-05,0.02463104861091237,0.9661708716821806,1.880310958016767e-06,,4.630769936124271e+16,4.546479980822615e+16,5.3951051300588344e+16,4.128264671424737e+16
hig,1000.0,366.0,0.00019475253883620655,0.21139098676663026,7.500481681334012e-06,9.784433118081895e-05,2.0850985828278286e-05,1.8638149484368375e-05,2.6181225904455228e-06,3.1887587650435562e-06,1.329678042311566e-05,1.2469079887311936e-06,3.2890228201271582e-06,1.1715475086894118e-05,4.4780751846525145e-06,0.09588772429632605,-0.28846910545223636,2.073833302655402e-06,,3.6942730435479336e+16,3.640430072087827e+16,4.133853198232441e+16,3.375485386870244e+16
hig,1000.0,380.0,2.8074121759094275e-05,4.903358076649231,8.691394630963382e-07,1.056785866382203e-05,2.1294445070735607e-06,1.8958747100755554e-06,3.0739303253332317e-07,3.6083258442539137e-07,1.535859286050663e-06,1.4007336291805944e-07,3.7405880361469626e-07,1.2180892866913253e-06,5.301012924679384e-07,0.4349224696737533,-2.009632166056406,2.2672509269623704e-06,,3.1179489553129976e+16,3.079507693938112e+16,3.430910748818106e+16,2.8863749691962964e+16
iso,400.0,300.0,0.0022803680946030034,0.005867567928855719,0.0004436260667269537,0.003999651265417066,0.004134144127574871,0.0036244022990897027,0.00010685537945090914,0.00027933759833306273,0.0013644522735301342,9.256575789997846e-05,0.0002833009795759892,0.0022524735425441204,0.00031448811461328504,0.00023327940173447872,1.1651355985537748,3.314146571460403e-08,,5.9529709139442344e+16,5.814395661794836e+16,7.376449436583251e+16,5.067167526813978e+16
iso,400.0,350.0,6.91263938783313e-10,1.7365493848273158e-08,3.92305486402932e-11,2.9635803734258587e-10,2.5604012112972703e-10,2.2193093107545224e-10,1.2372524240670902e-11,1e-10,1.0302422755666102e-10,1e-10,1e-10,1.2663439192655257e-10,1e-10,1359.9770699175394,0.6437809152040757,4.298799253487475e-08,,1.965375909671551e+16,1.9500320466664508e+16,1.9526370539463344e+16,1.9500320466664508e+16
iso,4000.0,300.0,0.06614775387005835,0.2216418847002453,0.009131714231565505,0.07304626583387927,0.05750884791817716,0.04855734442767205,0.002424093629549535,0.006044146795943113,0.02840572177590676,0.0019423927458818808,0.006210200082531056,0.03542470608393096,0.007271989678544296,0.00012513989357545367,0.5268412131541993,3.926655306907428e-07,,1.0268285806778342e+17,9.862827034945326e+16,1.5184526580138518e+17,7.84578269131966e+16
iso,4000.0,350.0,0.01871469060630686,1.847013210198359,0.0007444509977164159,0.0049123239898884626,0.0032262161191727516,0.0026915411244638546,0.00023979058174297305,0.0003944274446587746,0.001978362754939042,0.00013789045051796858,0.000409990086107255,0.0017989667498819087,0.0005104444446474662,0.0013961969652439437,0.8652540612812345,5.384381482069219e-07,,6.247617929487956e+16,6.095161064774311e+16,7.871804680890421e+16,5.313567463353612e+16
iso,4000.0,380.0,0.0017118054208981848,inf,3.501530429002017e-05,0.00020165884192811543,0.00011641634341495671,9.634072792685284e-05,1.1556130232200997e-05,1.5185667270685191e-05,6.98834948625872e-05,5.7004656808611885e-06,1.590653289039973e-05,5.178626378134006e-05,2.0519266710245802e-05,0.009809014454897005,-0.6430440602431133,6.586197658641019e-07,,4.25801177679237e+16,4.186641082055978e+16,4.906689398482862e+16,3.8262338702720104e+16
