tag,m_GeV,delta_keV,f2_UL_lomid,f2_UL_lo_Nmax3,f2_UL_gap,f2_UL_hi,f2_UL_he1000,f2_UL_he1700,f2_UL_P011style_roi,f2_UL_joint,f2_UL_joint_mu0p3,f2_UL_joint_mu2p4,f2_UL_joint_he1000,f2_UL_joint_noLE,f2_UL_joint_ROIonly,kappa_hat_f2_0,q_f2_1_profiled,kappa_hat_f2_1,f2_UL_profiled,tau_min_s_higgsino,tau_min_s_darkphoton,tau_min_s_darkphoton_mu0p3,tau_min_s_darkphoton_mu2p4
iso,1000.0,250.0,0.048495900916138375,0.05237483703939469,0.026913598759834397,0.2593896021619726,0.2578484931230842,0.2226914415965189,0.003912550402286435,0.015959102515061246,0.07200614687932125,0.005038823594318041,0.01616076480327943,0.14998684333795279,0.017579582422871966,1.0113896698348359e-05,0.6528539311362351,6.348348048116793e-08,,1.3316968490774416e+17,1.2642906802191637e+17,2.2473018788603923e+17,9.472561040483739e+16
iso,1000.0,278.0,0.03709328496941956,0.06490032826421181,0.010062157058400995,0.08969042610885046,0.08217737246025997,0.0705707794728346,0.002122173544020393,0.006584504241558973,0.030483914794151783,0.0021017309701667863,0.006705898807811418,0.04860189745513655,0.007523713095444775,2.600269913560684e-05,0.5783370816932631,7.978831903764956e-08,,1.0479873477555293e+17,1.005787618947644e+17,1.5567794687697603e+17,7.958828055495576e+16
iso,1000.0,300.0,0.02742237244158249,0.08351591481185089,0.004233680075088092,0.0352005339719598,0.03009999344037517,0.025726269303754407,0.0010922534289204589,0.0027893985249985826,0.013227436352277959,0.0009019181686897778,0.002852129927474155,0.017961735515561832,0.00327891203617702,6.401942379164667e-05,0.663162297672244,9.215639902743353e-08,,8.6848353864417e+16,8.39300766370728e+16,1.1989458245271992e+17,6.893098095356055e+16
iso,1000.0,350.0,0.0025142851336487997,0.14146468871398382,0.00011239682779109922,0.0007750176672851984,0.0005545207808364818,0.00046838137063997626,3.6017559117816706e-05,5.698400486300845e-05,0.0002770239201433373,2.0671467546794784e-05,5.8789215878273986e-05,0.00027619874145038347,7.091546645549319e-05,0.0017830272198141115,1.1506875180467944,1.237808595708547e-07,,4.890321994756902e+16,4.796414236331351e+16,5.807946214736909e+16,4.3145606262608776e+16
iso,1000.0,366.0,0.00033592334333623066,0.2775695089152335,1.04045374022182e-05,6.698606690459341e-05,4.492918337853978e-05,3.77941657897916e-05,3.411549075766918e-06,4.78518901638352e-06,2.1811786200688734e-05,1.8045424800401913e-06,4.950714531129439e-06,1.9510613666908987e-05,6.054693747444509e-06,0.008463707462917318,0.011536277956906815,1.364953904129275e-07,,3.826008999763772e+16,3.768287533309773e+16,4.337636035669164e+16,3.47504726976419e+16
iso,1000.0,380.0,1.6270915945937323e-05,1.9681231659599743,3.725781534890095e-07,2.250042144574057e-06,1.4214084191782524e-06,1.1912080063133441e-06,1.2328690969640246e-07,1.6736019534583318e-07,7.67575826802554e-07,6.291913188302878e-08,1.7387508186392788e-07,6.246550003418276e-07,2.17875271067146e-07,0.04173175829870073,-3.6793321589205163,1.492630713474255e-07,1e-09,2.9553895322498524e+16,2.920829961397223e+16,3.2531466253130548e+16,2.7409839115823024e+16
p,1000.0,250.0,0.04931530608054653,0.05961624312887738,0.031107931253357337,0.14967519695104164,0.40505378079763166,0.2833220720429847,0.003988854685662398,0.01670129375005298,0.074886757073764,0.005253791474347962,0.017086213007595944,0.11265788378672796,0.01805708794542694,4.4161940601670526e-05,0.660798446893267,2.7896885206021524e-07,,1.3504686511663622e+17,1.2811981778900706e+17,2.2937309711365475e+17,9.559428533461283e+16
p,1000.0,278.0,0.03735387591662057,0.0740713998125463,0.011707434867138603,0.052327325001629225,0.13031929808960985,0.09021726792236524,0.002156521533112235,0.006912304870481198,0.03183857788724788,0.0021991948265775306,0.007139535644719979,0.037201267641946034,0.007695420456930823,0.00011114396405251901,0.5794418905499583,3.4671863630440035e-07,,1.0603847457762347e+17,1.0172012599443187e+17,1.5813581842693693e+17,8.025311569373712e+16
p,1000.0,300.0,0.029008641103618477,0.09999849997354919,0.005179009030466617,0.02167749078411994,0.050333158977212106,0.03455097603426709,0.0011639944862480904,0.0031203027205579706,0.014600731008322055,0.001000628279854548,0.003245788856739159,0.014681771254679983,0.003556915511795619,0.00026416961350777033,0.6306555793064774,3.9721643835951917e-07,,8.883436077491042e+16,8.578343427028682e+16,1.2324618120289942e+17,7.008308344876983e+16
p,1000.0,350.0,0.0041621605071589666,0.2433797869170135,0.00019853737569614887,0.0006963863024156552,0.001351563257549763,0.0009089472870225392,5.510693923361099e-05,9.729745038583477e-05,0.0004885284581341677,3.387546125903689e-05,0.0001029367094525663,0.0003627861685595063,0.00011667839285028843,0.006867161490694561,1.2368401341686592,5.215182685124913e-07,,5.20289771163486e+16,5.096731965107471e+16,6.2833218616279e+16,4.536559771449656e+16
