delta_keV,sigma_p_N1_cm2,f2_UL_joint,tau_min_s,tau_at_mA_1GeV_s,mA_min_GeV,eps_min_alphaD_0p1,tau_min_s_P011style
250.0,1.1983659609167153e-42,0.01670129375005298,1.2811981778900706e+17,4.967544110957202e+19,4.437428363281628,6.0845983953384985e-06,7.883328786458114e+16
278.0,3.474350771197481e-42,0.006912304870481198,1.0172012599443187e+17,1.0077054278317674e+19,3.154871516390563,5.236904592935701e-06,7.093606854798279e+16
300.0,8.603248788494162e-42,0.0031203027205579706,8.578343427028682e+16,2.780753449313244e+18,2.386106171079159,4.71395296806706e-06,6.446143821183366e+16
350.0,2.987776585991046e-40,9.729745038583477e-05,5.096731965107471e+16,3.704613447880291e+16,0.9233423939194617,4.159815684884296e-06,4.44099987365175e+16
366.0,2.6937025526486742e-39,1.1064056124702094e-05,4.062959460513376e+16,3286065194074262.0,0.5332838376075207,4.166449654868558e-06,3.6684909979942424e+16
380.0,5.58611284437067e-38,5.694797511845697e-07,3.1821870419572396e+16,131341978027343.64,0.2534658547971436,4.286158760656504e-06,2.9449297503424456e+16
