m_GeV,delta_keV,E_star_keV,halfwidth_v250_keV,E_minus_v250,E_plus_v250,E_minus_vmax810,E_plus_vmax810,lz_E_R_range_minus,lz_E_R_range_plus,vmin_248keV_kms,lz_vmin_248_raw
400.0,250.0,191.4290345567825,146.95265956397685,94.37732080370957,388.28263993166325,26.092188362513802,1404.446218240141,26.092188362513802,1404.446218240141,89.89558693763506,89.89558693763506
400.0,300.0,229.714841468139,159.42421429929252,120.1915729797504,439.0400015783354,35.866885031623205,1471.2431353937448,35.866885031623205,1471.2431353937448,29.056514160417745,29.056514160417745
400.0,350.0,268.0006483794955,170.988526097418,146.9130680929814,488.8901202878174,46.73174314101747,1536.9498911070632,46.73174314101747,1536.9498911070632,31.782558616799637,-31.782558616799637
400.0,366.0,280.25210659112963,174.52734674432543,155.62570565770804,504.6803991463589,50.41917378186669,1557.7653768894822,50.41917378186669,1557.7653768894822,51.251061905509204,-51.251061905509204
400.0,380.0,290.97213252630945,177.56596979201788,163.30710854519543,518.4390481292312,53.72472129375525,1575.8998812479535,53.72472129375525,1575.8998812479535,68.28600228313,-68.28600228313
1000.0,250.0,222.73961250995788,186.17408237400218,104.1252871204697,476.47345186847406,27.009044385151004,1836.9007904760344,27.009044385151004,1836.9007904760344,34.49809702840085,34.49809702840085
1000.0,300.0,267.2875350119494,201.6930404961975,133.15425150026593,536.5403324926609,37.292975193271545,1915.7127046718967,37.292975193271545,1915.7127046718967,26.34097574881646,-26.34097574881646
1000.0,350.0,311.835457513941,216.1003845933639,163.29482990509106,595.4955990918189,48.783665950641826,1993.3178589185102,48.783665950641826,1993.3178589185102,87.18004852603384,-87.18004852603384
1000.0,366.0,326.0907927145783,220.51201823296503,173.13853146612726,614.1625679320573,52.69553861020886,2017.9166566602169,52.69553861020886,2017.9166566602169,106.6485518147434,-106.6485518147434
1000.0,380.0,338.5642110151359,224.30103076775913,181.8229372318908,630.4249987674091,56.20693209014201,2039.3520997813991,56.20693209014201,2039.3520997813991,123.68349219236421,-123.68349219236421
4000.0,250.0,242.57791651188074,212.82955164985543,109.87846441842179,535.5375677181327,27.497138399074068,2140.006160831142,27.497138399074068,2140.006160831142,6.799352073783713,6.799352073783713
4000.0,300.0,291.0934998142569,230.37260057478747,140.8509987958659,601.5961999454408,38.05808421486823,2226.4763816201003,38.05808421486823,2226.4763816201003,54.0397207034336,-54.0397207034336
4000.0,350.0,339.6090831166331,246.67114167592172,173.06804099710777,666.4103243489512,49.89213638171419,2311.6734960580065,49.89213638171419,2311.6734960580065,114.87879348065097,-114.87879348065097
4000.0,366.0,355.13406977339343,251.66384243378815,183.6003268960018,686.9280117635781,53.92776466268462,2338.6878410905574,53.92776466268462,2338.6878410905574,134.34729676936055,-134.34729676936055
4000.0,380.0,368.7184330980587,255.9525783417114,192.89595431274378,704.8011109961666,57.55290585780849,2362.2314265447635,57.55290585780849,2362.2314265447635,151.38223714698134,-151.38223714698134
