delta,window,fisher_per_event_keV2,sigma_delta_1event,N_for_10keV,frac_info_top10pct,E_median_obs,E_for_10keV_60t_tyr,yr_60t
350.0,LZ,0.0014807326061070727,25.987331123191318,6.75341378906388,0.12580621275519308,201.16430568421688,19.179695160941417,0.3995769825196129
350.0,ext300,0.0017218191446156913,24.09940020491199,5.807810902365121,0.21582746962242988,204.2875617569904,14.997444666166539,0.31244676387846954
350.0,ext400,0.0019241047741303163,22.797416905102136,5.197222175450367,0.06395516865034699,252.34821941036225,7.559621341607742,0.15749211128349463
350.0,ext600,0.0018243607572873816,23.412330116538786,5.4813720148578895,0.043141288324850514,294.963294130648,7.243072689084423,0.1508973476892588
366.0,LZ,0.0028728044924491722,18.657221363691367,3.4809190901378146,0.20802712537988854,216.4207571492211,9.885810215991393,0.20595437949982068
366.0,ext300,0.004510978538014733,14.888968790607933,2.2168139164769705,0.15226932636806442,227.89501885988452,4.518269634795093,0.09413061739156443
366.0,ext400,0.002645632827000859,19.441743750550934,3.779814000620863,0.017492929765697975,330.4527269614719,2.219622132152548,0.04624212775317809
366.0,ext600,0.0023388400034031103,20.67758159769459,4.275623807293179,0.008138835119147932,339.08195934800284,2.187297490233544,0.04556869771319883
380.0,LZ,0.011043357677106869,9.515890386175007,0.9055216984169794,0.27015824173927455,235.48625486813916,2.571681623504221,0.053576700489671274
380.0,ext300,0.00821419013918528,11.033609876826342,1.217405469139998,0.029701514418583628,288.89889876808644,0.9043632748692599,0.01884090155977625
380.0,ext400,0.001378518779470876,26.9335535244057,7.254163054520266,0.001194809277129402,341.2525138494431,0.6910849217326588,0.014397602536097058
380.0,ext600,0.001217941295873906,28.65410328440955,8.210576350336103,0.019973019992867866,348.4418651711498,0.6766826209466182,0.014097554603054547
