window,E_thr_inel366,E_top_inel366,f_L10_outside,N_3sigma_counting,KL_L10_vs_inel_floor0.001,KL_inel_vs_L10_floor0.001,N_gauss_reject_inel_floor0.001,N_gauss_reject_L10_floor0.001,N_toy_reject_inel_floor0.001,N_toy_reject_L10_floor0.001,KL_L10_vs_inel_floor0.01,KL_inel_vs_L10_floor0.01,N_gauss_reject_inel_floor0.01,N_gauss_reject_L10_floor0.01,N_toy_reject_inel_floor0.01,N_toy_reject_L10_floor0.01,E_reject_inel_if_L10_true_tyr,E_reject_L10_if_inel_true_tyr,E_counting_if_inel_true_tyr
LZ,159.7844140237396,306.1179826015887,0.2825776749876702,19.897132846869784,1.7334259582396072,0.5328511122647384,0.5026854639944257,15.076990718969691,3,10,1.222922313653453,0.515092567960186,1.012514333583438,13.551487168374832,4,10,11.36,28.4,56.507857285110184
ext300,161.23835947715332,344.520327893747,0.26579030426822087,21.3867096332457,1.7056208227242502,0.6265502623042397,1.0627729858883672,13.71010951581772,3,8,1.2246457535101134,0.6022633446798848,1.7839993642118264,11.897877939892425,4,9,10.576593356404388,18.3436356163719,43.59000094948998
ext400,167.3459218554348,436.8756926284013,0.2511861920550559,22.842904096600982,1.9022099256437421,0.9151706485253279,1.1295030012429408,8.881773130928515,3,5,1.4623586102965647,0.8925651321698229,1.6699149826674742,7.0632540429140525,4,6,8.951656221720839,3.5233831058162517,13.414050396957458
ext600,168.09017299712335,496.82388941335154,0.30198984278014523,18.37900765196209,1.9636372249837961,0.9808906591944822,1.120810460373167,7.814566776751863,3,5,1.514395575369437,0.9542740685572719,1.6720870562093222,6.367474892732434,3,5,4.953892690757582,2.5578694347507187,9.402220382800682
