m_chi_GeV,delta_keV,allowed_E216_June_vesc544,allowed_E248_June_vesc544,allowed_E280_June_vesc544,dmax248_June_vesc544,Emin_June_vesc544,Emax_June_vesc544,allowed_E216_avg_vesc544,allowed_E248_avg_vesc544,allowed_E280_avg_vesc544,dmax248_avg_vesc544,Emin_avg_vesc544,Emax_avg_vesc544,allowed_E216_Dec_vesc544,allowed_E248_Dec_vesc544,allowed_E280_Dec_vesc544,dmax248_Dec_vesc544,Emin_Dec_vesc544,Emax_Dec_vesc544,table_S7_O1s
400,0,1,1,1,341.0872248036917,0.0,1045.4039976412646,1,1,1,329.1154026931708,0.0,1008.1007067009493,1,1,1,316.78805514358476,0.0,970.3978075990938,0
400,50,1,1,1,341.0872248036917,1.515328405149688,967.3170554134019,1,1,1,329.1154026931708,1.5762121298813663,929.952880748355,1,1,1,316.78805514358476,1.642939389016209,892.1832543873644,0
400,100,1,1,1,341.0872248036917,6.620307326226974,885.6404626696117,1,1,1,329.1154026931708,6.913809101044791,848.0436699544787,1,1,1,316.78805514358476,7.238388697293305,810.0161912563744,0.8
400,150,1,1,1,341.0872248036917,16.507162577997686,799.1819935951278,1,1,1,329.1154026931708,17.33420715621832,761.051658076592,1,1,1,316.78805514358476,18.2611130056653,722.4218531252894,2.2
400,200,1,1,1,341.0872248036917,33.224358456451434,705.8931838939611,1,1,1,329.1154026931708,35.18103762089926,666.6332137891982,1,1,1,316.78805514358476,37.42349207961819,626.6878602286234,2.6
400,250,1,1,1,341.0872248036917,60.90894746276724,601.6369810649323,1,1,1,329.1154026931708,65.46344679086587,559.7791907965184,1,1,1,316.78805514358476,70.93436757489944,516.6053709106291,2.9
400,300,1,1,1,341.0872248036917,111.12851449281942,474.84580021216703,1,1,1,329.1154026931708,124.3652992099156,424.3057245547557,1,1,1,316.78805514358476,143.66636375633234,367.30176090648325,2.9
400,350,0,0,0,341.0872248036917,nan,nan,0,0,0,329.1154026931708,nan,nan,0,0,0,316.78805514358476,nan,nan,
1000,0,1,1,1,386.6151128700423,0.0,1415.3487250305886,1,1,1,374.6432907595214,0.0,1364.8446468072932,1,1,1,362.31594320993537,0.0,1313.7995481715789,0
1000,50,1,1,1,386.6151128700423,1.4980261392665672,1324.7548538873389,1,1,1,374.6432907595214,1.5574720632012282,1274.191329740109,1,1,1,362.31594320993537,1.6225557915768245,1223.0811473760189,0
1000,100,1,1,1,386.6151128700423,6.450007531978752,1230.7070274906437,1,1,1,374.6432907595214,6.72760321051643,1179.9253535888106,1,1,1,362.31594320993537,7.033715639826867,1128.5741425237857,0.8
1000,150,1,1,1,386.6151128700423,15.773962792950423,1132.2872272256889,1,1,1,374.6432907595214,16.521806931589563,1081.0353048637542,1,1,1,362.31594320993537,17.354640868410396,1029.157372291219,2.2
1000,200,1,1,1,386.6151128700423,30.885016979740083,1028.0803280349162,1,1,1,374.6432907595214,32.53554833890998,975.9257184524508,1,1,1,362.31594320993537,34.40058765944733,923.015580496199,2.7
1000,250,1,1,1,386.6151128700423,54.18101899229924,915.6884810183735,1,1,1,374.6432907595214,57.56921980754715,861.7962019798304,1,1,1,362.31594320993537,61.49125903838346,806.8290641132797,2.9
1000,300,1,1,1,386.6151128700423,90.38978256482434,790.3838724418655,1,1,1,374.6432907595214,97.496210507563,732.7733662758314,1,1,1,362.31594320993537,106.14253969952058,673.0819384481596,3.0
1000,350,1,1,1,386.6151128700423,152.02117359171712,639.6566364109894,1,1,1,374.6432907595214,170.35382014793558,570.8199116314759,1,1,1,362.31594320993537,197.32119487656294,492.8074382671341,3.3
4000,0,1,1,1,409.37905690321764,0.0,1678.6921579619654,1,1,1,397.4072347926967,0.0,1618.7911607312574,1,1,1,385.0798872431107,0.0,1558.2484794352983,0
4000,50,1,1,1,409.37905690321764,1.489561055233134,1580.17143030198,1,1,1,397.4072347926967,1.5483118901621447,1520.211682236343,1,1,1,385.0798872431107,1.612602238187264,1459.604710592359,0
4000,100,1,1,1,409.37905690321764,6.3690027854158595,1478.260821967045,1,1,1,397.4072347926967,6.639247212170957,1418.0895803095816,1,1,1,385.0798872431107,6.936859266118661,1357.2492869596751,1.0
4000,150,1,1,1,409.37905690321764,15.438324434877222,1372.160333712831,1,1,1,397.4072347926967,16.15182313749181,1311.5458377795087,1,1,1,385.0798872431107,16.9442283121871,1250.2107513088545,2.3
4000,200,1,1,1,409.37905690321764,29.872563401387648,1260.6949281415687,1,1,1,397.4072347926967,31.402758240719955,1199.2637360715282,1,1,1,385.0798872431107,33.1223760555522,1137.001436960737,2.7
4000,250,1,1,1,409.37905690321764,51.526753405645486,1142.0095715325585,1,1,1,397.4072347926967,54.53042169621044,1079.1049060112853,1,1,1,385.0798872431107,57.9672687472768,1015.1253776642601,2.9
4000,300,1,1,1,409.37905690321764,83.660860634363,1012.8442976990887,1,1,1,397.4072347926967,89.46455762483498,947.1396034779085,1,1,1,385.0798872431107,96.31837418520395,879.7431056215809,3.0
4000,350,1,1,1,409.37905690321764,133.127209169825,866.3467825588746,1,1,1,397.4072347926967,145.18670725805868,794.3862872399326,1,1,1,385.0798872431107,160.5183043845519,718.5120088174804,3.3
