halo,m_chi_GeV,delta_keV,peak_keV,peak_rate,onset_keV,R_total_1_420,R_roi_5.4_270,R_5.4_55,R_200_270,R_above_270,f_200_270_of_roi,f_5.4_55_of_roi,ratio_200_270_over_5.4_55,f_above_270_of_total,q16_keV,q50_keV,q84_keV,peak_in_roi_keV,contains_248_68,cdf_at_248,cdf_at_216,cdf_at_280,Emin_kin_keV,Emax_kin_keV
June167,400,0,1.0,27575507.75158535,1.0,462658575.4505524,342027656.1288026,331879661.80426466,89616.23934005848,31429.261415163895,0.00026201459950452174,0.9703299012734913,0.0002700263066825474,6.793186829954904e-05,8.83055140173198,16.97786852250576,33.537122248659244,6.0,0,0.9999954532015836,0.9999023577535788,1.0,0.0,1045.4039976412646
June167,400,25,6.0,12583888.880859321,1.0,298145887.179862,248261970.64379573,240277169.7737987,69402.96269921273,23864.709957081875,0.00027955535243370615,0.9678371969364025,0.00028884543115165683,8.004373356552475e-05,9.240558120224671,17.840368845894798,34.567702071566245,6.0,0,0.9999951854026903,0.9998960456633046,1.0,0.3639922766415536,1006.7541984532666
June167,400,50,12.0,4937999.855123718,2.0,140373574.81056023,134235556.2815199,128428175.997114,52101.48833955613,17709.057704933635,0.0003881347817435826,0.9567373917516563,0.0004056858079236984,0.000126156634030534,11.034478232300518,20.94627628614958,38.17479856241152,12.0,0,0.9999933466240599,0.9998558561202548,1.0,1.515328405149688,967.3170554134019
June167,400,75,19.0,1804583.2571528256,4.0,57508976.65767788,57300552.80639843,53424619.56978486,37832.27300697455,12823.445744161962,0.0006602427228721262,0.9323578386807332,0.0007081430492463665,0.00022298163677113414,14.791901583712693,26.010364518184247,43.68841171648832,19.0,0,0.999988691882453,0.9997547372901647,1.0,3.5578174392467248,926.9887594679484
June167,400,100,25.0,618189.137617101,7.0,21273606.61370828,21264558.553504273,18907171.676078837,26530.599444886953,9039.92223672895,0.001247644026003769,0.8891400979947947,0.001403202969720384,0.00042493604403231783,19.832979057679292,31.951967243545504,49.982717213656514,25.0,0,0.9999785632026281,0.9995358560984743,1.0,6.620307326226974,885.6404626696117
June167,400,125,33.0,197985.89698804985,11.0,7184423.338288249,7178233.600160259,5878677.05211881,17918.689434152446,6184.137474844729,0.002496253316937526,0.8189587271146435,0.0030480819536929894,0.0008607701945801753,25.472347887330088,38.25758466103206,56.8185845843543,33.0,0,0.9999568481634807,0.9990685835046387,1.0,10.866056263572943,843.1089068209092
June167,400,150,39.0,58500.33381094413,16.0,2210548.9054644275,2206457.465498372,1560821.8666901677,11607.778612622074,4087.713407887521,0.0052608213818435105,0.7073881509597219,0.007436965652741131,0.0018491847874447765,31.872600472726607,45.19055329124109,65.10240258418823,39.0,0,0.9999080585181257,0.9980284836231761,1.0,16.507162577997686,799.1819935951278
June167,400,175,47.0,15488.102951224259,23.0,615546.0000353171,612954.3784764854,326535.99639282445,7173.848965311172,2589.243238971302,0.01170372415503739,0.5327247962636934,0.021969550201384216,0.004206417130194565,39.53183422152431,53.542744585635354,80.38393129724692,47.0,0,0.9997927402745023,0.9955872973497732,1.0,23.82785400532019,753.5754952564488
June167,400,200,55.0,3448.7295008185843,32.0,156166.1553346863,154605.24286563473,43346.52684251724,4189.4165338938255,1559.4643176291806,0.027097506243916897,0.280369061482534,0.09664941666755546,0.009985930141438308,49.42248483657696,65.74933050735055,153.8919893923915,55.0,0,0.9995117551710726,0.9897063397674882,1.0,33.224358456451434,705.8931838939611
June167,400,225,65.0,570.146053263348,43.0,39064.33460635632,38190.213417644976,1552.7739339319094,2275.645315986851,873.2946151609615,0.0595871327321632,0.04065894885034822,1.465535495063662,0.0223552922111942,64.18864909985176,132.6445181877935,177.98556330214328,65.0,0,0.9989043602351677,0.977151477895091,1.0,45.278571769257624,655.5531636697983
June167,400,250,155.0,136.33610469269595,58.0,11359.12340228845,10918.984700677433,0.0,1115.6420279926435,439.7060277155399,0.10217452066980433,0.0,inf,0.03870950355438125,125.19171846253532,157.62587447649372,190.69513213157663,155.0,0,0.9980747653775619,0.9603812500776789,1.0,60.90894746276724,601.6369810649323
June167,400,275,162.0,47.467711008464526,77.0,3611.913313880244,3426.751747430741,0.0,462.7580117207249,184.96381742814015,0.13504275939092603,0.0,inf,0.05120937335825352,139.44027075649007,165.76732931131278,196.5551015000584,162.0,0,0.9973746267960895,0.9467969192583767,1.0,81.72903263818,542.531088978163
