delta_keV,KS_1000_4000,KS_100_1000,KS_200_1000,KS_400_1000,KS_400_4000,dpeak_1000_4000_keV,dpeak_100_1000_keV,dpeak_200_1000_keV,dpeak_400_1000_keV,dpeak_400_4000_keV,f200_270_100,f200_270_1000,f200_270_200,f200_270_400,f200_270_4000
0,0.003241252979626741,0.059923693856051674,0.021966816878710715,0.007333224211901523,0.010574477191528264,0.0,0.0,0.0,0.0,0.0,1.6495169163353363e-05,0.00035931773846967907,0.0001325932619965622,0.00026201459950452174,0.0004108636079951567
100,0.003856650059208433,0.07411223565400149,0.027077255460270733,0.008841784719612722,0.012698434778821155,0.0,-2.0,-1.0,-1.0,-1.0,3.188382169822422e-05,0.0017226400136371855,0.0006073024529870254,0.001247644026003769,0.0019715956140664475
200,0.010859659668048666,0.5447562770876544,0.10026754791439799,0.02709831937674073,0.03792178266222643,0.0,25.0,5.0,2.0,2.0,0.0,0.03180354127686596,0.017350664074579452,0.027097506243916897,0.03390354432986785
250,0.02492489024560826,nan,nan,0.05924047880951015,0.08399147808360878,0.0,,,-2.0,-2.0,,0.10668037597684361,,0.10217452066980433,0.107847405744308
300,0.010511182589341944,nan,nan,0.058999631458102275,0.06922623482127585,-1.0,,,3.0,2.0,,0.1787665700521291,,0.19159872993124452,0.1778685890948172
325,0.047467473295500606,nan,nan,0.279832966963878,0.32191019974477453,1.0,,,19.0,20.0,,0.25312557981395234,,0.4426516301120482,0.230927977766625
350,0.14660823576895532,nan,nan,0.9762849916857482,0.978445925968055,8.0,,,75.0,83.0,,0.4712483840505853,,1.0,0.35431821371047095
