delta_keV,mmin_E216_June_vesc544,mmin_E248_June_vesc544,mmin_E280_June_vesc544,mmin_E216_avg_vesc544,mmin_E248_avg_vesc544,mmin_E280_avg_vesc544,mmin_E216_Dec_vesc544,mmin_E248_Dec_vesc544,mmin_E280_Dec_vesc544,mmin_E216_June_vesc500,mmin_E248_June_vesc500,mmin_E280_June_vesc500,mmin_E216_June_vesc600,mmin_E248_June_vesc600,mmin_E280_June_vesc600
0,65.33993889777662,72.79214564567827,80.33511786141091,67.19557306374726,74.94391086163631,82.80445256219538,69.21977196958159,77.2966871130772,85.51093726182071,71.28609583621143,79.70441665284577,88.28766273129929,59.069079139420815,65.5563171053293,72.07261302300527
25,69.64332078764943,77.43489226355173,85.33647107440756,71.75538413102812,79.8744933847199,88.12818119257417,74.06835164391602,82.55256434067077,91.20032405744215,76.43924751542791,85.3046877125062,94.36567366105487,62.563991940013366,69.2982006603302,76.07247714809239
50,74.55352247856993,82.71022248348982,91.00189660817279,76.97909314754986,85.49953350877293,94.18350047135368,79.6473426721537,88.57534703408159,97.70074802087447,82.39547767746451,91.75141710970276,101.34241645629528,66.49847644409408,73.49310761892785,80.54239465807075
75,80.20863128912085,88.75687415109888,97.47306144812707,83.02307719374214,91.97686479478574,101.13234023212802,86.13523810870704,95.54609823311911,105.19894203261771,89.35838090984595,99.25220169190675,109.43314335795941,70.96102843466244,78.22860917391908,85.570397316038
100,86.79207078122461,95.75735554514242,104.93501327193675,90.09700941689233,99.51607032395084,109.18822560132452,93.77384719294818,103.70774736582473,113.94372853955912,97.60672406735691,108.08856721067565,118.92780968656463,76.06560745856514,83.6164014720311,91.26796269069882
125,94.55287020919606,103.95668483586299,113.63416182075635,98.48867911074338,108.40158555675634,118.63860518878931,102.8991022508315,113.39398164499836,124.27416556897333,107.53266883200313,118.65209378631444,130.22655971488598,81.96150539639069,89.80122782584534,97.7783764497104
150,103.83787661827468,113.69165862871792,123.90601272315598,108.60410689652343,119.02939136414825,129.8798731484525,113.99179179926273,125.07599606918137,136.66453000081427,119.7059562926046,131.50401917701896,143.8975640880441,88.84819017744748,96.9740768814691,105.28894860989726
175,115.1450128233741,125.43826463878686,136.21943796776387,121.03521001969882,131.96763779415238,143.47438577136768,127.7650732104159,139.44145993861105,151.79919037529433,134.98725316910782,147.4782833834921,160.77556035486123,96.99831926339695,105.39225506833095,114.04932837573831
200,129.21558372249586,139.89187308225385,151.25025591166164,136.67994521832046,148.06162772730045,160.24747173523238,145.32414788662894,157.53496210906792,170.70342518205416,154.74101920248552,167.8700609310654,182.13895620016868,106.79469866116797,115.41090764550171,124.39979187659749
225,147.20368236964285,158.11008834973825,170.00956730681116,156.96945955567404,168.6262892367671,181.46149734499866,168.47858229980105,181.02410219240687,194.9858941302115,181.26731780778516,194.80579983495446,210.04976752602457,118.7921540774991,127.53440678063606,136.8164707562245
250,171.00997771017535,181.7839358961119,194.08111744105906,184.33282676786894,195.82491727178046,209.14928729152336,200.40978826708476,212.74534818575034,227.32237820549756,218.76964965513596,232.0375974967459,248.06267000395087,133.82638422566708,142.50393010011908,151.9866704172205
275,204.0018759469339,213.79558066590985,226.0935665554605,223.25049442459965,233.48494105782302,246.8077507048239,247.2750331285637,257.94573949468776,272.5165566554281,275.8375924833953,286.8637538472913,302.8740738309032,153.21744935256916,161.45491942431514,170.9405447553355
300,252.76656791357868,259.4912706374133,270.75246866886613,282.9993445398552,289.0791265950409,301.00540653180065,322.748929619225,327.53451482384105,340.1401421769203,373.18649662687835,375.6144401348693,388.7775377401905,179.18014655455204,186.2194489865725,195.29533319904328
325,332.16818747230997,330.03047565638053,337.39633759231265,386.4165639265657,379.4217559904172,385.70391330329636,464.5356475842737,448.54265415968376,452.40117224787264,576.7248655042771,543.8821861857257,542.7031647828177,215.7367372592969,219.95727835518497,227.74307330548677
350,484.3021240118081,453.23678890115144,447.56022743232234,608.9449839025153,551.9011926766098,536.7325931508304,828.5065796737447,711.353212202805,675.2694339876126,1268.6608153611576,985.2580662834471,898.3993338669561,271.0333504798392,268.62465967054953,273.12138018323765
375,893.5508542873212,723.2324854207703,664.5405754386481,1435.7745632340022,1011.8922043717994,882.1547060044808,3827.096199923794,1717.916636477402,1330.9319471567874,inf,5227.622879974921,2607.1974468483113,364.44655644152976,344.9470754628684,341.08289516009614
400,5765.876199608003,1788.8758741876154,1289.886749102858,inf,6076.198615753496,2474.935937531977,inf,inf,45837.77692351682,inf,inf,inf,556.1146880673476,481.85236366372857,454.07044398917515
