A,abundance,dmax248_m1000_June,dmax248_m400_June
124,0.00095,369.35650015097536,326.3885403061754
126,0.00089,374.0833319656163,330.42234051041635
128,0.0191,378.76914325002224,334.4151201844223
129,0.2644,381.09696694756224,336.3964280767622
130,0.0408,383.41489175531257,338.3678370793125
131,0.2118,385.7230316741159,340.3294611929159
132,0.2689,388.02149853331514,342.2814122469151
134,0.1044,392.5898498756532,346.1567319788533
136,0.0887,397.1207991230571,349.99464961585716
