key,name,delta,f,N_June16,N_annual_mean,N_run_mean,boost_June16,boost_per_unit_f,June_Dec_ratio,peak_doy_grid,peak_doy_fit,a1_fit,mod_amp,LR_16June,LR_ratio_to_SHM,frac_year_nonzero,N_pure_June16,N_pure_annual_mean,N_pure_max,pure_peak_doy_fit,pure_a1_fit,boost_annual,boost_f_lo,boost_f_hi
Helmi_m,Helmi streams (-W clump),330,0.005,186.65,98.408,99.451,0.995,-1,6.3931,157,152.58,0.8169,0.73442,1.8768,1,1,4.8864e-52,9.9972e-45,6.2951e-44,361.41,1.7455,0.995,0.998,0.99
Shards,Retrograde shards (Rg-type),330,0.01,185.71,97.914,98.951,0.99,-1,6.3931,157,152.58,0.8169,0.73442,1.8768,1,1,8.2288e-05,2.7406e-05,9.5242e-05,146.54,1.4798,0.99,0.997,0.98
Vesc_retro,Reference: retrograde stream at v_esc,330,0.01,2327.8,1596.7,1614.9,12.409,1140.9,2.7324,157,152.55,0.47286,0.46763,1.4414,0.76801,1,2.1421e+05,1.4988e+05,2.1588e+05,152.55,0.45038,16.144,12.409,12.409
SHM,SHM (Baxter 2021),350,0,27.482,11.179,11.214,1,0,25.761,157,152.64,1.1892,0.92776,2.4507,1,1,,,,,,,,
Sgr_m,Sagittarius stream (-W),350,0.03,26.657,10.843,10.877,0.97,-1,25.761,157,152.64,1.1892,0.92776,2.4507,1,1,5.514e-31,6.1329e-28,2.7874e-27,4.1365,1.6436,0.97,0.99,0.95
Sgr_p,Sagittarius stream (+W),350,0.03,26.657,10.843,10.877,0.97,-1,25.761,157,152.64,1.1892,0.92776,2.4507,1,1,2.694e-26,3.9763e-27,2.694e-26,165.72,1.8216,0.97,0.99,0.95
GSE,Gaia Sausage/Enceladus (SHM++ form),350,0.2,21.986,8.9429,8.9711,0.8,-0.99999,25.761,157,152.64,1.1892,0.92776,2.4507,1,1,0.0002755,0.00017584,0.00066807,123.71,1.4846,0.8,0.9,0.7
S1,S1 stream (retrograde),350,0.1,24.734,10.061,10.092,0.9,-1,25.761,157,152.64,1.1892,0.92776,2.4507,1,1,1.0636e-05,1.167e-05,3.4679e-05,135.03,1.0291,0.9,0.99,0.9
S2,"S2 stream (prograde, vertical)",350,0.01,27.207,11.067,11.102,0.99,-1,25.761,157,152.64,1.1892,0.92776,2.4507,1,1,0,0,0,,,0.99,0.997,0.98
Helmi_p,Helmi streams (+W clump),350,0.005,27.345,11.123,11.158,0.995,-1,25.761,157,152.64,1.1892,0.92776,2.4507,1,1,1.0527e-49,1.3856e-50,1.0527e-49,166.67,1.8414,0.995,0.998,0.99
Helmi_m,Helmi streams (-W clump),350,0.005,27.345,11.123,11.158,0.995,-1,25.761,157,152.64,1.1892,0.92776,2.4507,1,1,2.2469e-57,1.1394e-49,7.3509e-49,361.46,1.7505,0.995,0.998,0.99
Shards,Retrograde shards (Rg-type),350,0.01,27.207,11.067,11.102,0.99,-1,25.761,157,152.64,1.1892,0.92776,2.4507,1,1,7.8517e-07,2.6321e-07,9.6138e-07,143.96,1.5274,0.99,0.997,0.98
Vesc_retro,Reference: retrograde stream at v_esc,350,0.01,782.35,365.69,369.85,28.468,2746.8,14.182,157,152.59,1.0244,0.87102,2.1153,0.86314,1,75514,35462,77194,152.59,1.0192,32.714,28.468,28.468
SHM,SHM (Baxter 2021),366,0,2.8131,0.99336,0.98455,1,0,56.067,157,152.73,1.3401,0.96672,2.8573,1,1,,,,,,,,
Sgr_m,Sagittarius stream (-W),366,0.03,2.7287,0.96356,0.95501,0.97,-1,56.067,157,152.73,1.3401,0.96672,2.8573,1,1,2.5648e-34,4.2775e-31,1.9937e-30,4.1669,1.6551,0.97,0.99,0.95
Sgr_p,Sagittarius stream (+W),366,0.03,2.7287,0.96356,0.95501,0.97,-1,56.067,157,152.73,1.3401,0.96672,2.8573,1,1,2.17e-29,3.1389e-30,2.17e-29,165.73,1.8256,0.97,0.99,0.95
GSE,Gaia Sausage/Enceladus (SHM++ form),366,0.2,2.2505,0.79469,0.78764,0.8,-1,56.067,157,152.73,1.3401,0.96672,2.8573,1,1,1.1875e-05,6.1539e-06,2.4232e-05,129.89,1.5275,0.8,0.9,0.7
S1,S1 stream (retrograde),366,0.1,2.5318,0.89402,0.88609,0.9,-1,56.067,157,152.73,1.3401,0.96672,2.8573,1,1,2.9318e-08,5.7896e-08,3.3057e-07,110.17,1.7207,0.9,0.99,0.9
S2,"S2 stream (prograde, vertical)",366,0.01,2.785,0.98343,0.9747,0.99,-1,56.067,157,152.73,1.3401,0.96672,2.8573,1,1,0,0,0,,,0.99,0.997,0.98
Helmi_p,Helmi streams (+W clump),366,0.005,2.7991,0.98839,0.97962,0.995,-1,56.067,157,152.73,1.3401,0.96672,2.8573,1,1,7.484e-54,9.7067e-55,7.484e-54,166.68,1.8436,0.995,0.998,0.99
Helmi_m,Helmi streams (-W clump),366,0.005,2.7991,0.98839,0.97962,0.995,-1,56.067,157,152.73,1.3401,0.96672,2.8573,1,1,8.1891e-62,8.5824e-54,5.6412e-53,361.51,1.7541,0.995,0.998,0.99
Shards,Retrograde shards (Rg-type),366,0.01,2.785,0.98343,0.9747,0.99,-1,56.067,157,152.73,1.3401,0.96672,2.8573,1,1,1.4481e-08,4.8063e-09,1.8994e-08,141.95,1.6021,0.99,0.997,0.98
Vesc_retro,Reference: retrograde stream at v_esc,366,0.01,131.46,47.458,47.047,46.73,4573,33.639,157,152.71,1.2996,0.94483,2.7942,0.97791,1,12867,4647.4,13480,152.71,1.2988,47.775,46.73,46.73
SHM,SHM (Baxter 2021),380,0,0.3126,0.10213,0.10082,1,0,9.7209e+05,157,152.72,1.4944,1,3.1006,1,0.9697,,,,,,,,
Sgr_m,Sagittarius stream (-W),380,0.03,0.30322,0.09907,0.097792,0.97,-1,9.7209e+05,157,152.72,1.4944,1,3.1006,1,0.9697,2.4429e-37,5.8013e-34,2.7609e-33,4.1944,1.6641,0.97,0.99,0.95
Sgr_p,Sagittarius stream (+W),380,0.03,0.30322,0.09907,0.097792,0.97,-1,9.7209e+05,157,152.72,1.4944,1,3.1006,1,0.9697,3.3326e-32,4.741e-33,3.3326e-32,165.74,1.8288,0.97,0.99,0.95
GSE,Gaia Sausage/Enceladus (SHM++ form),380,0.2,0.25008,0.081707,0.080653,0.8,-1,9.7209e+05,157,152.71,1.4944,1,3.1006,1,0.9697,6.3586e-07,2.4679e-07,9.9171e-07,138.77,1.5963,0.8,0.9,0.7
S1,S1 stream (retrograde),380,0.1,0.28134,0.09192,0.090735,0.9,-1,9.7209e+05,157,152.72,1.4944,1,3.1006,1,0.9697,2.4271e-11,5.1718e-11,3.7785e-10,114.8,1.8853,0.9,0.99,0.9
S2,"S2 stream (prograde, vertical)",380,0.01,0.30947,0.10111,0.099808,0.99,-1,9.7209e+05,157,152.72,1.4944,1,3.1006,1,0.9697,0,0,0,,,0.99,0.997,0.98
Helmi_p,Helmi streams (+W clump),380,0.005,0.31103,0.10162,0.10031,0.995,-1,9.7209e+05,157,152.72,1.4944,1,3.1006,1,0.9697,1.3952e-57,1.7874e-58,1.3952e-57,166.68,1.8455,0.995,0.998,0.99
Helmi_m,Helmi streams (-W clump),380,0.005,0.31103,0.10162,0.10031,0.995,-1,9.7209e+05,157,152.72,1.4944,1,3.1006,1,0.9697,8.5505e-66,1.6832e-57,1.1238e-56,361.55,1.7571,0.995,0.998,0.99
Shards,Retrograde shards (Rg-type),380,0.01,0.30947,0.10111,0.099808,0.99,-1,9.7209e+05,157,152.72,1.4944,1,3.1006,1,0.9697,2.2592e-10,7.0558e-11,3.2631e-10,142.41,1.6954,0.99,0.997,0.98
Vesc_retro,Reference: retrograde stream at v_esc,380,0.01,14.743,5.3954,5.3979,47.164,4616.4,2.3714e+05,157,152.64,1.3879,0.99999,2.7313,0.88089,1,1443.4,529.43,1504.9,152.64,1.3859,52.827,47.164,47.164
