key,f,dRdE_248_June16,a1_fit,peak_doy_fit,June_Dec,LR_16June,LR_ratio_to_SHM,ratio_to_SHM_June16,pure_over_SHM_June16,pure_a1_fit,pure_peak_doy_fit,pure_June_Dec,pure_max_over_min
SHM,0,8.6131,0.042375,152.54,1.087,1.0399,1,,,,,,
Sgr_m,0.03,8.8579,0.040268,152.9,1.0825,1.0378,0.99799,1.0284,1.9478,0.0077987,186.6,1.0125,1.0171
Sgr_p,0.03,8.8449,0.043247,153.49,1.0899,1.0387,0.99884,1.0269,1.8972,0.059102,164.97,1.1403,1.1815
S1,0.1,8.9402,0.03371,152,1.0685,1.0317,0.99207,1.038,1.3799,0.019658,341.72,0.96174,1.04
S2,0.01,8.5301,0.040955,151.75,1.0839,1.0386,0.99878,0.99037,0.036756,0.89312,357.81,0.12276,8.6218
Helmi_p,0.005,8.5784,0.042819,152.69,1.0881,1.0406,1.0007,0.99598,0.19594,1.4332,166.41,166.98,183.71
Helmi_m,0.005,8.5707,0.041821,152.18,1.0858,1.0394,0.99954,0.99508,0.015394,1.064,361.13,0.069022,16.391
Shards,0.01,8.6484,0.041336,152.5,1.0848,1.0389,0.99905,1.0041,1.4103,0.026964,338.4,0.94804,1.0554
