N,E_tyr,LZ_years,LZ_multiples,year_reached,det60t_years,delta,test,sigma,rate
96.85262590175248,275.06145756097703,98.48272607133998,96.85262590175248,2121.715895343681,5.730447032520355,300.0,cosine,3,best
96.85262590175248,116.55146506821062,41.72996867429661,41.039248263454446,2064.9631379466377,2.428155522254388,300.0,cosine,3,hi68
96.85262590175248,916.8715252032569,328.2757535711333,322.84208633917495,2351.5089228434745,19.101490108401183,300.0,cosine,3,lo68
269.16165439245276,764.4190984745658,273.69184089371157,269.16165439245276,2296.9250101660527,15.925397884886786,300.0,cosine,5,best
269.16165439245276,323.90639765871435,115.97111902275915,114.0515484713783,2139.2042882951005,6.748049951223216,300.0,cosine,5,hi68
269.16165439245276,2548.063661581886,912.306136312372,897.2055146415092,2935.539305584713,53.084659616289294,300.0,cosine,5,lo68
96.54697977815071,274.19342256994804,98.17193570107193,96.54697977815073,2121.405104973413,5.712362970207251,300.0,LLR,3,best
96.54697977815071,116.18365363133393,41.59827783943726,40.909737194131665,2064.8314471117783,2.4204927839861234,300.0,LLR,3,hi68
96.54697977815071,913.9780752331602,327.23978567023977,321.82326592716913,2350.472954942581,19.041209900690838,300.0,LLR,3,lo68
268.34854521243545,762.1098684033167,272.86504649452854,268.34854521243545,2296.09821576687,15.877288925069097,300.0,LLR,5,best
268.34854521243545,322.92791034038845,115.62078241293584,113.70701068323538,2138.853951685277,6.727664798758092,300.0,LLR,5,hi68
268.34854521243545,2540.3662280110557,909.5501549817619,894.4951507081182,2932.7833242541033,52.92429641689699,300.0,LLR,5,lo68
194,550.9599999999999,197.2651611657981,193.99999999999997,2220.4983304381394,11.478333333333332,300.0,window May-Aug,3,best
194,233.45762711864404,83.58693269737208,82.20338983050847,2106.8201019697135,4.863700564971751,300.0,window May-Aug,3,hi68
194,1836.533333333333,657.550537219327,646.6666666666666,2680.7837064916685,38.261111111111106,300.0,window May-Aug,3,lo68
539,1530.76,548.071762208068,539.0,2571.3049314804093,31.890833333333333,300.0,window May-Aug,5,best
539,648.6271186440679,232.23379754579153,228.3898305084746,2255.4669668181327,13.513064971751414,300.0,window May-Aug,5,hi68
539,5102.533333333334,1826.9058740268933,1796.666666666667,3850.139043299235,106.30277777777779,300.0,window May-Aug,5,lo68
122,346.47999999999996,124.05334877436788,121.99999999999999,2147.2865180467093,7.218333333333333,300.0,window optimal,3,best
122,146.81355932203388,52.56497829422368,51.69491525423729,2075.7981475665647,3.0586158192090394,300.0,window optimal,3,hi68
122,1154.9333333333332,413.51116258122624,406.66666666666663,2436.7443318535675,24.061111111111106,300.0,window optimal,3,lo68
335,951.4,340.6382937656823,335.0,2363.8714630380236,19.820833333333333,300.0,window optimal,5,best
335,403.135593220339,144.33826007020437,141.9491525423729,2167.571429342546,8.398658192090396,300.0,window optimal,5,hi68
335,3171.3333333333335,1135.460979218941,1116.6666666666667,3158.6941484912822,66.06944444444444,300.0,window optimal,5,lo68
29.60742590587021,84.0850895726714,30.105740427968623,29.607425905870212,2053.33890970031,1.751772699430654,330.0,cosine,3,best
29.60742590587021,35.62927524265737,12.756669672868062,12.54551945163992,2035.9898389452094,0.7422765675553619,330.0,cosine,3,hi68
29.60742590587021,280.2836319089047,100.35246809322877,98.69141968623404,2123.58563736557,5.839242331435514,330.0,cosine,3,lo68
82.41210817732792,234.0503872236113,83.79916392584424,82.41210817732792,2107.0323331981854,4.876049733825235,330.0,cosine,5,best
82.41210817732792,99.17389289136072,35.508120307561114,34.92038482090167,2058.7412895799025,2.066122768570015,330.0,cosine,5,hi68
82.41210817732792,780.1679574120377,279.3305464194808,274.70702725775976,2302.563715691822,16.253499112750784,330.0,cosine,5,lo68
29.405214800353715,83.51081003300455,29.900125962405607,29.405214800353715,2053.133295234747,1.7398085423542613,330.0,LLR,3,best
29.405214800353715,35.38593645466295,12.66954489932441,12.459836779810898,2035.9027141716656,0.7372070094721447,330.0,LLR,3,hi68
29.405214800353715,278.36936677668183,99.66708654135202,98.01738266784572,2122.900255813693,5.799361807847538,330.0,LLR,3,lo68
81.83104874458995,232.40017843463545,83.20832484004029,81.83104874458995,2106.4414941123814,4.841670384054905,330.0,LLR,5,best
81.83104874458995,98.47465187908283,35.25776476272895,34.67417319686015,2058.49093403507,2.0515552474808922,330.0,LLR,5,hi68
81.83104874458995,774.6672614487849,277.36108280013434,272.7701624819665,2300.5942520724757,16.138901280183017,330.0,LLR,5,lo68
60,170.39999999999998,61.00984365952518,59.99999999999999,2084.2430129318664,3.5499999999999994,330.0,window May-Aug,3,best
60,72.20338983050847,25.851628669290335,25.423728813559322,2049.0847979416317,1.5042372881355932,330.0,window May-Aug,3,hi68
60,568.0,203.36614553175065,200.0,2226.599314804092,11.833333333333334,330.0,window May-Aug,3,lo68
170,482.79999999999995,172.86122370198802,170.0,2196.0943929743294,10.058333333333332,330.0,window May-Aug,5,best
170,204.57627118644066,73.24628122965595,72.03389830508475,2096.4794505019972,4.262005649717514,330.0,window May-Aug,5,hi68
170,1609.3333333333333,576.2040790066268,566.6666666666666,2599.437248278968,33.52777777777778,330.0,window May-Aug,5,lo68
39,110.75999999999999,39.65639837869137,39.0,2062.8895676510324,2.3074999999999997,330.0,window optimal,3,best
39,46.932203389830505,16.803558635038716,16.52542372881356,2040.03672790738,0.9777542372881355,330.0,window optimal,3,hi68
39,369.2,132.18799459563792,130.0,2155.421163867979,7.691666666666666,330.0,window optimal,3,lo68
106,301.03999999999996,107.78405713182782,105.99999999999999,2131.017226404169,6.271666666666666,330.0,window optimal,5,best
106,127.5593220338983,45.67121064907959,44.91525423728814,2068.904379921421,2.6574858757062145,330.0,window optimal,5,hi68
106,1003.4666666666666,359.2801904394261,353.3333333333333,2382.5133597117674,20.905555555555555,330.0,window optimal,5,lo68
