N,E_tyr,LZ_years,LZ_multiples,year_reached,det60t_years,delta,test,sigma,rate
11.665642879366272,33.13042577740021,11.86198413763316,11.665642879366272,2035.0951534099745,0.6902172036958377,350.0,cosine,3,best
11.665642879366272,14.038316007372972,5.026264465098796,4.943069016680624,2028.25943373744,0.29246491682027026,350.0,cosine,3,hi68
11.665642879366272,110.43475259133405,39.53994712544387,38.88547626455424,2062.773116397785,2.3007240123194594,350.0,cosine,3,lo68
32.40228542854383,92.02249061706446,32.94763947011283,32.40228542854383,2056.1808087424542,1.917135221188843,350.0,cosine,5,best
32.40228542854383,38.99258076994257,13.960864182251202,13.729781961247385,2037.1940334545925,0.8123454327071369,350.0,cosine,5,hi68
32.40228542854383,306.74163539021487,109.8254649003761,108.00761809514609,2133.0586341727176,6.390450737296143,350.0,cosine,5,lo68
11.534283266707206,32.75736447744846,11.728413647108068,11.534283266707206,2034.9615829194493,0.6824450932801763,350.0,LLR,3,best
11.534283266707206,13.88023918535952,4.969666799622063,4.887408163858986,2028.2028360719632,0.28917164969499,350.0,LLR,3,hi68
11.534283266707206,109.19121492482822,39.0947121570269,38.44761088902402,2062.327881429368,2.274816977600588,350.0,LLR,3,lo68
32.00997107264589,90.90831784631432,32.548722178134156,32.00997107264589,2055.7818914504755,1.8939232884648816,350.0,LLR,5,best
32.00997107264589,38.52047366369251,13.791831431412781,13.563547064680463,2037.0250007037541,0.802509867993594,350.0,LLR,5,hi68
32.00997107264589,303.02772615438107,108.49574059378052,106.6999035754863,2131.7289098661217,6.313077628216273,350.0,LLR,5,lo68
26,73.84,26.437598919127584,26.000000000000004,2049.670768191469,1.5383333333333333,350.0,window May-Aug,3,best
26,31.288135593220343,11.202372423359147,11.016949152542376,2034.4355416957003,0.6518361581920905,350.0,window May-Aug,3,hi68
26,246.13333333333335,88.12532973042528,86.66666666666667,2111.3584990027666,5.127777777777778,350.0,window May-Aug,3,lo68
68,193.12,69.14448948079522,68.0,2092.3776587531365,4.023333333333333,350.0,window May-Aug,5,best
68,81.83050847457628,29.298512491862382,28.813559322033903,2052.5316817642038,1.7048022598870058,350.0,window May-Aug,5,hi68
68,643.7333333333333,230.48163160265074,226.66666666666669,2253.714800874992,13.411111111111111,350.0,window May-Aug,5,lo68
17,48.28,17.286122370198804,17.0,2040.51929164254,1.0058333333333334,350.0,window optimal,3,best
17,20.45762711864407,7.324628122965596,7.203389830508476,2030.5577973953068,0.42620056497175146,350.0,window optimal,3,hi68
17,160.93333333333334,57.620407900662684,56.66666666666667,2080.853577173004,3.352777777777778,350.0,window optimal,3,lo68
43,122.11999999999999,43.723721289326384,43.0,2066.9568905616675,2.5441666666666665,350.0,window optimal,5,best
43,51.74576271186441,18.52700054632474,18.220338983050848,2041.760169818666,1.078036723163842,350.0,window optimal,5,hi68
43,407.06666666666666,145.74573763108796,143.33333333333334,2168.978906903429,8.480555555555556,350.0,window optimal,5,lo68
6.5497128142506025,18.60118439247171,6.659949246870299,6.549712814250602,2029.8931185192116,0.3875246748431606,366.0,cosine,3,best
6.5497128142506025,7.881857793420216,2.8220123927416525,2.7753020399366957,2026.055181665083,0.1642053706962545,366.0,cosine,3,hi68
6.5497128142506025,62.0039479749057,22.199830822901,21.83237604750201,2045.4330000952423,1.2917489161438687,366.0,cosine,3,lo68
17.74984184220782,50.40955083187021,18.048584596239962,17.74984184220782,2041.2817538685813,1.0501989756639627,366.0,cosine,5,best
17.74984184220782,21.359979166046703,7.647705337389816,7.521119424664333,2030.880874609731,0.4449995659593063,366.0,cosine,5,hi68
17.74984184220782,168.03183610623404,60.16194865413321,59.166139474026075,2083.3951179264745,3.5006632522132093,366.0,cosine,5,lo68
6.538180071015325,18.568431401683522,6.648222399174471,6.538180071015325,2029.8813916715158,0.3868423208684067,366.0,LLR,3,best
6.538180071015325,7.867979407493018,2.817043389480708,2.7704152843285277,2026.050212661822,0.16391623765610455,366.0,LLR,3,hi68
6.538180071015325,61.89477133894508,22.160741330581573,21.793933570051085,2045.393910602923,1.2894744028946892,366.0,LLR,3,lo68
17.62998651628231,50.069161706241765,17.92671201796535,17.62998651628231,2041.1598812903067,1.0431075355467034,366.0,LLR,5,best
17.62998651628231,21.215746485695664,7.596064414392098,7.4703332696111495,2030.8292336867332,0.441994718451993,366.0,LLR,5,hi68
17.62998651628231,166.89720568747256,59.755706726551175,58.766621720941046,2082.9888759988926,3.4770251184890117,366.0,LLR,5,lo68
14,39.76,14.235630187222544,14.0,2037.4687994595638,0.8283333333333333,366.0,window May-Aug,3,best
14,16.847457627118644,6.032046689501078,5.932203389830509,2029.2652159618424,0.3509887005649717,366.0,window May-Aug,3,hi68
14,132.53333333333333,47.45210062407515,46.66666666666667,2070.6852698964162,2.761111111111111,366.0,window May-Aug,3,lo68
37,105.08,37.622736923373864,37.0,2060.8559061957153,2.1891666666666665,366.0,window May-Aug,5,best
37,44.525423728813564,15.941837679395709,15.677966101694917,2039.175006951737,0.9276129943502825,366.0,window May-Aug,5,hi68
37,350.26666666666665,125.4091230779129,123.33333333333333,2148.642292350254,7.297222222222222,366.0,window May-Aug,5,lo68
10,28.4,10.168307276587532,10.0,2033.4014765489287,0.5916666666666667,366.0,window optimal,3,best
10,12.033898305084746,4.308604778215056,4.237288135593221,2027.5417740505563,0.2507062146892655,366.0,window optimal,3,hi68
10,94.66666666666667,33.894357588625105,33.333333333333336,2057.1275268609666,1.9722222222222223,366.0,window optimal,3,lo68
22,62.48,22.37027600849257,22.0,2045.6034452808337,1.3016666666666665,366.0,window optimal,5,best
22,26.47457627118644,9.478930512073122,9.322033898305085,2032.7120997844145,0.5515536723163842,366.0,window optimal,5,hi68
22,208.26666666666665,74.56758669497523,73.33333333333333,2097.8007559673165,4.338888888888889,366.0,window optimal,5,lo68
5.275845466664148,14.983401125326179,5.364641784883239,5.275845466664148,2028.5978110572246,0.31215419011096207,380.0,cosine,3,best
5.275845466664148,6.348898781917873,2.273153298679339,2.235527740111927,2025.5063225710205,0.132268724623289,380.0,cosine,3,hi68
5.275845466664148,49.94467041775393,17.88213928294413,17.58615155554716,2041.1153085552853,1.0405139670365402,380.0,cosine,3,lo68
14.128135548871523,40.12390495879512,14.365922350620528,14.128135548871523,2037.5990916229619,0.8359146866415651,380.0,cosine,5,best
14.128135548871523,17.001654643557256,6.087255233313783,5.9864981139286115,2029.320424505655,0.35420113840744283,380.0,cosine,5,hi68
14.128135548871523,133.74634986265042,47.88640783540176,47.09378516290508,2071.119577107743,2.786382288805217,380.0,cosine,5,lo68
5.2859024150206055,15.011962858658519,5.374867998998563,5.2859024150206055,2028.6080372713398,0.3127492262220525,380.0,LLR,3,best
5.2859024150206055,6.361001211295983,2.277486440253629,2.2397891589070364,2025.5106557125948,0.13252085856866633,380.0,LLR,3,hi68
5.2859024150206055,50.0398761955284,17.916226663328544,17.619674716735354,2041.1493959356699,1.042497420740175,380.0,LLR,3,lo68
14.1242214779219,40.112788997298196,14.361942403008715,14.124221477921902,2037.59511167535,0.835683104110379,380.0,LLR,5,best
14.1242214779219,16.996944490380592,6.085568814834202,5.984839609288941,2029.3187380871755,0.35410301021626234,380.0,LLR,5,hi68
14.1242214779219,133.70929665766067,47.87314134336239,47.080738259739675,2071.1063106157035,2.785610347034597,380.0,LLR,5,lo68
12,34.08,12.201968731905037,12.0,2035.4351380042463,0.71,380.0,window May-Aug,3,best
12,14.440677966101696,5.170325733858068,5.084745762711865,2028.4034950061994,0.3008474576271187,380.0,window May-Aug,3,hi68
12,113.6,40.67322910635013,40.0,2063.9063983786914,2.3666666666666667,380.0,window May-Aug,3,lo68
28,79.52,28.471260374445087,28.0,2051.704429646786,1.6566666666666665,380.0,window May-Aug,5,best
28,33.69491525423729,12.064093379002156,11.864406779661017,2035.2972626513433,0.7019774011299434,380.0,window May-Aug,5,hi68
28,265.06666666666666,94.9042012481503,93.33333333333334,2118.1373705204915,5.522222222222222,380.0,window May-Aug,5,lo68
6,17.04,6.1009843659525185,6.0,2029.3341536382939,0.355,380.0,window optimal,3,best
6,7.220338983050848,2.585162866929034,2.5423728813559325,2025.8183321392703,0.15042372881355934,380.0,window optimal,3,hi68
6,56.8,20.336614553175064,20.0,2043.5697838255162,1.1833333333333333,380.0,window optimal,3,lo68
19,53.959999999999994,19.319783825516307,19.0,2042.5529530978577,1.1241666666666665,380.0,window optimal,5,best
19,22.864406779661014,8.186349078608606,8.050847457627118,2031.4195183509498,0.47634180790960445,380.0,window optimal,5,hi68
19,179.86666666666665,64.39927941838769,63.33333333333333,2087.632448690729,3.747222222222222,380.0,window optimal,5,lo68
