delta,peak_day,t1_fundamental,mod_fraction,june_dec,duty10,duty1,zero_frac,peak_over_mean,a1,a2,a3,a4,power_frac_fundamental,KL_nats,N_unit_per_2p84_annualmean,N_unit_per_2p84_avghalo
300.0,152.0,151.89997952174667,0.41855559876997017,2.3582918055501776,1.0,1.0,0.0,1.451699368080256,0.4284086374649478,0.023334117289916786,9.614091970142439e-05,7.341080664268567e-05,0.9970419981179435,0.046566457124338226,12369963455998.723,11454096431273.846
330.0,152.0,151.90053917859052,0.6996043677184204,5.286090437478337,1.0,1.0,0.0,1.858915593259888,0.7636122290685269,0.09389393574260844,0.0015335027330339352,0.00012979024203937106,0.9851020041220595,0.1526341745584425,1832890534548.4678,1498602388180.5356
350.0,152.0,151.90127128823275,0.9316210093151112,24.608065197443647,0.6933607118412046,1.0,0.0,2.497382656739603,1.179311979698533,0.2937046191973215,0.025197744461457675,0.0007829960954789123,0.9411927730573918,0.39061678857069926,238624837619.1825,138758065029.3435
366.0,152.0,151.90180637011463,0.9946927043369859,305.1658798863491,0.49828884325804246,0.7282683093771389,0.0,3.3887064332288004,1.5213105526470825,0.6836584013573606,0.17050107362185268,0.01540980436630361,0.8233063394194807,0.716996971228804,19500374879.171227,4460071492.381608
380.0,152.0,151.90149898335693,0.9999899644092599,47756.020748905445,0.4127310061601643,0.6297056810403833,0.14784394250513347,4.2204502693027175,1.656077789527474,0.96213294571571,0.4199089339178908,0.14491253847694047,0.7092568469319419,0.9033032739624784,671588106.7741215,80677001.54492214
