doy,p_delta300,p_delta330,p_delta350,p_delta366,p_delta380,p_flat
1.00,1.764374e-03,1.069589e-03,3.544280e-04,4.323718e-05,2.386082e-06,2.737851e-03
2.00,1.772940e-03,1.080755e-03,3.625074e-04,4.475807e-05,2.770036e-06,2.737851e-03
3.00,1.781797e-03,1.092348e-03,3.709805e-04,4.638014e-05,3.209257e-06,2.737851e-03
4.00,1.790940e-03,1.104364e-03,3.798559e-04,4.811103e-05,3.711836e-06,2.737851e-03
5.00,1.800363e-03,1.116802e-03,3.891421e-04,4.995837e-05,4.285864e-06,2.737851e-03
6.00,1.810062e-03,1.129660e-03,3.988479e-04,5.192979e-05,4.939436e-06,2.737851e-03
7.00,1.820030e-03,1.142935e-03,4.089817e-04,5.403292e-05,5.680641e-06,2.737851e-03
8.00,1.830264e-03,1.156625e-03,4.195522e-04,5.627539e-05,6.517574e-06,2.737851e-03
9.00,1.840758e-03,1.170729e-03,4.305679e-04,5.866483e-05,7.458324e-06,2.737851e-03
10.00,1.851506e-03,1.185244e-03,4.420373e-04,6.120888e-05,8.510986e-06,2.737851e-03
11.00,1.862504e-03,1.200168e-03,4.539692e-04,6.391517e-05,9.683650e-06,2.737851e-03
12.00,1.873747e-03,1.215499e-03,4.663727e-04,6.679213e-05,1.098456e-05,2.737851e-03
13.00,1.885233e-03,1.231240e-03,4.792621e-04,6.985304e-05,1.242285e-05,2.737851e-03
14.00,1.896961e-03,1.247395e-03,4.926529e-04,7.311304e-05,1.400802e-05,2.737851e-03
15.00,1.908931e-03,1.263967e-03,5.065611e-04,7.658726e-05,1.574956e-05,2.737851e-03
16.00,1.921142e-03,1.280960e-03,5.210025e-04,8.029083e-05,1.765694e-05,2.737851e-03
17.00,1.933594e-03,1.298378e-03,5.359928e-04,8.423887e-05,1.973966e-05,2.737851e-03
18.00,1.946286e-03,1.316225e-03,5.515479e-04,8.844652e-05,2.200721e-05,2.737851e-03
19.00,1.959217e-03,1.334505e-03,5.676835e-04,9.292891e-05,2.446906e-05,2.737851e-03
20.00,1.972387e-03,1.353220e-03,5.844155e-04,9.770117e-05,2.713471e-05,2.737851e-03
21.00,1.985795e-03,1.372377e-03,6.017596e-04,1.027784e-04,3.001365e-05,2.737851e-03
22.00,1.999441e-03,1.391976e-03,6.197316e-04,1.081765e-04,3.311564e-05,2.737851e-03
23.00,2.013321e-03,1.412022e-03,6.383467e-04,1.139182e-04,3.645308e-05,2.737851e-03
24.00,2.027434e-03,1.432513e-03,6.576195e-04,1.200300e-04,4.003985e-05,2.737851e-03
25.00,2.041777e-03,1.453451e-03,6.775651e-04,1.265386e-04,4.388985e-05,2.737851e-03
26.00,2.056346e-03,1.474835e-03,6.981981e-04,1.334704e-04,4.801697e-05,2.737851e-03
27.00,2.071138e-03,1.496667e-03,7.195334e-04,1.408522e-04,5.243509e-05,2.737851e-03
28.00,2.086152e-03,1.518947e-03,7.415857e-04,1.487105e-04,5.715811e-05,2.737851e-03
29.00,2.101383e-03,1.541675e-03,7.643700e-04,1.570718e-04,6.219993e-05,2.737851e-03
30.00,2.116829e-03,1.564852e-03,7.879010e-04,1.659629e-04,6.757442e-05,2.737851e-03
31.00,2.132488e-03,1.588479e-03,8.121934e-04,1.754102e-04,7.329549e-05,2.737851e-03
32.00,2.148356e-03,1.612555e-03,8.372622e-04,1.854409e-04,7.937697e-05,2.737851e-03
33.00,2.164430e-03,1.637081e-03,8.631213e-04,1.960901e-04,8.583176e-05,2.737851e-03
34.00,2.180706e-03,1.662054e-03,8.897840e-04,2.073995e-04,9.267201e-05,2.737851e-03
35.00,2.197182e-03,1.687473e-03,9.172639e-04,2.194109e-04,9.990987e-05,2.737851e-03
36.00,2.213853e-03,1.713336e-03,9.455743e-04,2.321661e-04,1.075574e-04,2.737851e-03
37.00,2.230716e-03,1.739643e-03,9.747285e-04,2.457069e-04,1.156269e-04,2.737851e-03
38.00,2.247767e-03,1.766390e-03,1.004740e-03,2.600752e-04,1.241303e-04,2.737851e-03
39.00,2.265004e-03,1.793577e-03,1.035622e-03,2.753128e-04,1.330799e-04,2.737851e-03
40.00,2.282422e-03,1.821202e-03,1.067389e-03,2.914615e-04,1.424877e-04,2.737851e-03
41.00,2.300018e-03,1.849263e-03,1.100052e-03,3.085632e-04,1.523659e-04,2.737851e-03
42.00,2.317789e-03,1.877760e-03,1.133627e-03,3.266597e-04,1.627270e-04,2.737851e-03
43.00,2.335731e-03,1.906688e-03,1.168122e-03,3.457978e-04,1.735934e-04,2.737851e-03
44.00,2.353838e-03,1.936042e-03,1.203546e-03,3.660297e-04,1.849994e-04,2.737851e-03
45.00,2.372106e-03,1.965819e-03,1.239905e-03,3.874077e-04,1.969796e-04,2.737851e-03
