kind,variant,delta,mod_fraction,a1,duty10,t1,N3_cos,N5_cos,N3_llr,N5_llr,N_unit_per_2p84,cos_null_bias_per_sqrtN
halo,std,300.0,0.41855559876997017,0.4284086374649478,1.0,151.89997952174667,96.85262590175248,269.16165439245276,96.54697977815071,268.34854521243545,12369963455998.723,0.0
halo,std,330.0,0.6996043677184204,0.7636122290685269,1.0,151.90053917859052,29.60742590587021,82.41210817732792,29.405214800353715,81.83104874458995,1832890534548.4678,1.1775693440128312e-16
halo,std,350.0,0.9316210093151112,1.179311979698533,0.6933607118412046,151.90127128823275,11.665642879366272,32.40228542854383,11.534283266707206,32.00997107264589,238624837619.1825,0.0
halo,std,366.0,0.9946927043369859,1.5213105526470825,0.49828884325804246,151.90180637011463,6.5497128142506025,17.74984184220782,6.538180071015325,17.62998651628231,19500374879.171227,7.850462293418875e-17
halo,std,380.0,0.9999899644092599,1.656077789527474,0.4127310061601643,151.90149898335693,5.275845466664148,14.128135548871523,5.2859024150206055,14.1242214779219,671588106.7741215,0.0
halo,vesc528,300.0,0.5014564387157058,0.5195121429790684,1.0,151.90010728928468,65.45456323498954,181.99436396382032,65.15487831132214,181.17637008198807,8943994314545.965,0.0
halo,vesc528,330.0,0.8528983254646981,1.0019351789231068,0.8418891170431212,151.90096264289002,16.657514563656285,46.38211409588497,16.48693891653292,45.880866103162,834030032846.0944,0.0
halo,vesc528,350.0,0.9932190881432083,1.4738593278977403,0.5270362765229295,151.90164097010097,7.049071974412078,19.23394156337114,7.020295948563819,19.0384934237614,52882135610.5678,7.850462293418875e-17
halo,vesc528,366.0,1.0,1.68222216939639,0.39561943874058864,151.90205195211792,5.06408099126885,13.505852364302026,5.069139563700646,13.50537110926899,1241272452.0956461,3.925231146709437e-17
halo,vesc528,380.0,1.0,1.7726364935028112,0.34223134839151265,151.90234107489061,4.455427732332124,11.541610245685305,4.450246671515306,11.489089550873995,20393002.546005853,3.925231146709437e-17
halo,vesc560,300.0,0.3611477131422125,0.3673735087868011,1.0,151.89990989644014,132.16697883999075,367.26705860301195,131.87564527542725,366.4883196195693,15675164869736.854,3.925231146709437e-17
halo,vesc560,330.0,0.5713165199963791,0.6014706313525584,1.0,151.90026627692913,48.53380282112591,134.9524839598147,48.30342955775117,134.29671893187475,3160428560763.4907,7.850462293418875e-17
halo,vesc560,350.0,0.7944103173724086,0.90459853980634,1.0,151.900774846998,20.732698309446647,57.71790858727489,20.560656909751863,57.243518576468624,643705157812.4338,3.925231146709437e-17
halo,vesc560,366.0,0.9541008575870764,1.2530869139263516,0.648186173853525,151.90148464269384,10.183217089832258,28.239765154122054,10.071986494045492,27.91156976536381,103715987221.10977,7.850462293418875e-17
halo,vesc560,380.0,0.9932723762037888,1.524903239316782,0.4928131416837782,151.90175282711104,6.489879481493136,17.62535354796432,6.4863186061039535,17.536246132599334,10493992668.303696,3.925231146709437e-17
halo,v0_220,300.0,0.5247448401685677,0.5465297989871604,1.0,151.43551116732198,59.02133652461336,164.1436693015518,58.77173684083316,163.41664117539776,3828184543570.5405,0.0
halo,v0_220,330.0,0.8720070315635754,1.038966167213884,0.8015058179329226,151.4364149800197,15.402133440936463,42.886266133627345,15.240228351682637,42.41291109601502,317011528479.23706,1.1775693440128312e-16
halo,v0_220,350.0,0.9950557588848726,1.5026082101897742,0.5106091718001369,151.43716967726138,6.749274731627951,18.328229042180165,6.736510052278458,18.166752304514425,17509960697.30885,7.850462293418875e-17
halo,v0_220,366.0,1.0,1.6894010235680035,0.3921971252566735,151.43735648667587,5.005502315631102,13.344144138820905,5.013340353866936,13.348420385250707,335620456.8129106,3.925231146709438e-17
halo,v0_220,380.0,1.0,1.8044150366075793,0.31553730321697465,151.43789168509647,4.187280516969985,10.807710506126861,4.188346796969969,10.767106998219319,5050011.897257789,0.0
halo,v0_250,300.0,0.364638646716714,0.370778412256417,1.0,152.17337865363797,129.70156605131876,360.4526566181687,129.38560627715148,359.54701927530516,23006026131922.207,3.925231146709437e-17
halo,v0_250,330.0,0.5963130617490204,0.63118756066946,1.0,152.17378224924198,43.95218342697541,122.21699729545308,43.71925307749151,121.55299921211267,4489514701258.775,3.925231146709437e-17
halo,v0_250,350.0,0.8309652811848031,0.9653707754252103,0.9048596851471595,152.17435343049365,18.038067217559714,50.21960241328467,17.883812271084526,49.75713756096446,844878052309.8629,3.925231146709437e-17
halo,v0_250,366.0,0.972411780944197,1.3279075215260905,0.6064339493497605,152.17497140426394,8.926070112131526,24.705196763907516,8.839414367097461,24.414437204862544,119653831701.37788,3.925231146709437e-17
halo,v0_250,380.0,0.9953032518637175,1.5728708563727059,0.46269678302532513,152.17527136420838,6.0084962929494665,16.24853979441535,6.005005659324745,16.198955791215393,9741984759.406725,7.850462293418875e-17
efficiency,nominal,300.0,0.41855559876997017,0.4284086374649478,1.0,151.89997952174667,96.85262590175248,269.16165439245276,96.54697977815071,268.34854521243545,12369963455998.723,0.0
efficiency,nominal,330.0,0.6996043677184204,0.7636122290685269,1.0,151.90053917859052,29.60742590587021,82.41210817732792,29.405214800353715,81.83104874458995,1832890534548.4678,1.1775693440128312e-16
efficiency,nominal,350.0,0.9316210093151112,1.179311979698533,0.6933607118412046,151.90127128823275,11.665642879366272,32.40228542854383,11.534283266707206,32.00997107264589,238624837619.1825,0.0
efficiency,nominal,366.0,0.9946927043369859,1.5213105526470825,0.49828884325804246,151.90180637011463,6.5497128142506025,17.74984184220782,6.538180071015325,17.62998651628231,19500374879.171227,7.850462293418875e-17
efficiency,nominal,380.0,0.9999899644092599,1.656077789527474,0.4127310061601643,151.90149898335693,5.275845466664148,14.128135548871523,5.2859024150206055,14.1242214779219,671588106.7741215,0.0
efficiency,sharp5,300.0,0.4186064111648708,0.4284628228273046,1.0,151.8999795681581,96.82895827734376,269.0913783417486,96.51724752771605,268.28391705931034,12366133552369.402,0.0
efficiency,sharp5,330.0,0.7000009754543118,0.7641143474320203,1.0,151.9005396047625,29.566627523255615,82.29679742319053,29.3640018720632,81.71856079620795,1830691901354.0146,0.0
