,L1s,L1v,L2s,L2v,L3s,L3v,L4s,L4v,L5s,L5v,L6s,L6v,L7s,L7v,L8s,L8v,L9s,L9v,L10s,L10v,L11s,L11v,L12s,L12v,L13s,L13v,L14s,L14v,L15s,L15v,L16s,L16v,L17s,L17v,L18s,L18v,L19s,L19v,L20s,L20v,O1s,O1v,O3s,O3v,O4s,O4v,O5s,O5v,O6s,O6v,O7s,O7v,O8s,O8v,O9s,O9v,O10s,O10v,O11s,O11v,O12s,O12v,O13s,O13v,O14s,O14v,O15s,O15v
L1s,0.00000,0.13524,0.63804,0.64156,0.24728,0.24354,0.81027,0.81080,0.00000,0.13524,0.50008,0.59438,0.23494,0.23464,0.63804,0.64156,0.39084,0.71000,0.82044,0.81780,0.57314,0.55969,0.71718,0.74343,0.09389,0.39845,0.57314,0.55969,0.28729,0.28964,0.54777,0.60072,0.24728,0.24354,0.72287,0.81708,0.55855,0.54466,0.81027,0.81080,0.00000,0.13524,0.53527,0.65682,0.28729,0.28964,0.37808,0.70920,0.81027,0.81080,0.23350,0.23340,0.09508,0.43208,0.57314,0.55969,0.63804,0.64156,0.24728,0.24354,0.33733,0.40173,0.54777,0.60072,0.55855,0.54466,0.69583,0.81462
L1v,0.13524,0.00000,0.67474,0.67838,0.35912,0.26611,0.82666,0.82734,0.13524,0.00000,0.55610,0.64257,0.19606,0.18033,0.67474,0.67838,0.45623,0.73223,0.82162,0.81693,0.57958,0.56129,0.76921,0.78360,0.16750,0.43961,0.57958,0.56129,0.32286,0.32614,0.62696,0.66670,0.35912,0.26611,0.75241,0.83559,0.56562,0.54668,0.82666,0.82734,0.13524,0.00000,0.61957,0.69332,0.32286,0.32614,0.44700,0.73446,0.82666,0.82734,0.19423,0.17862,0.17048,0.47557,0.57958,0.56129,0.67474,0.67838,0.35912,0.26611,0.44001,0.46058,0.62696,0.66670,0.56562,0.54668,0.75402,0.83171
L2s,0.63804,0.67474,0.00000,0.00785,0.49868,0.49845,0.24135,0.23870,0.63804,0.67474,0.29004,0.30727,0.52999,0.55575,0.00000,0.00785,0.31582,0.23011,0.36456,0.37418,0.23323,0.26100,0.25984,0.24790,0.55913,0.27641,0.23323,0.26100,0.38183,0.37968,0.28584,0.29202,0.49868,0.49845,0.27720,0.46072,0.23295,0.26200,0.24135,0.23870,0.63804,0.67474,0.31516,0.11416,0.38183,0.37968,0.30518,0.12850,0.24135,0.23870,0.53156,0.55723,0.55434,0.22509,0.23323,0.26100,0.00000,0.00785,0.49868,0.49845,0.44741,0.28382,0.28584,0.29202,0.23295,0.26200,0.24599,0.27275
L2v,0.64156,0.67838,0.00785,0.00000,0.50183,0.50235,0.24184,0.23895,0.64156,0.67838,0.29289,0.31338,0.53408,0.55984,0.00785,0.00000,0.32132,0.23561,0.36813,0.37796,0.23970,0.26741,0.26219,0.24487,0.56310,0.28215,0.23970,0.26741,0.38522,0.38297,0.28913,0.28984,0.50183,0.50235,0.27846,0.46526,0.23939,0.26836,0.24184,0.23895,0.64156,0.67838,0.31564,0.11316,0.38522,0.38297,0.30931,0.13138,0.24184,0.23895,0.53564,0.56131,0.55794,0.22872,0.23970,0.26741,0.00785,0.00000,0.50183,0.50235,0.44941,0.28613,0.28913,0.28984,0.23939,0.26836,0.24620,0.27233
L3s,0.24728,0.35912,0.49868,0.50183,0.00000,0.22975,0.69714,0.69723,0.24728,0.35912,0.33278,0.46090,0.35460,0.37258,0.49868,0.50183,0.23621,0.59642,0.73586,0.73658,0.49392,0.49042,0.56995,0.60650,0.21330,0.29667,0.49392,0.49042,0.25933,0.25899,0.36400,0.43696,0.00000,0.22975,0.59094,0.72692,0.47972,0.47633,0.69714,0.69723,0.24728,0.35912,0.34667,0.51237,0.25933,0.25899,0.21061,0.58588,0.69714,0.69723,0.35448,0.37256,0.20893,0.31959,0.49392,0.49042,0.49868,0.50183,0.00000,0.22975,0.14912,0.24804,0.36400,0.43696,0.47972,0.47633,0.53944,0.69959
L3v,0.24354,0.26611,0.49845,0.50235,0.22975,0.00000,0.67352,0.67399,0.24354,0.26611,0.36057,0.47529,0.25388,0.26604,0.49845,0.50235,0.26875,0.57351,0.68874,0.68526,0.43046,0.41632,0.61161,0.61569,0.18908,0.27650,0.43046,0.41632,0.22465,0.22647,0.45715,0.49362,0.22975,0.00000,0.58996,0.70746,0.41547,0.40092,0.67352,0.67399,0.24354,0.26611,0.45138,0.51767,0.22465,0.22647,0.25105,0.56767,0.67352,0.67399,0.25396,0.26626,0.18658,0.31364,0.43046,0.41632,0.49845,0.50235,0.22975,0.00000,0.29622,0.27199,0.45715,0.49362,0.41547,0.40092,0.59228,0.68512
L4s,0.81027,0.82666,0.24135,0.24184,0.69714,0.67352,0.00000,0.00818,0.81027,0.82666,0.46219,0.38761,0.67553,0.69608,0.24135,0.24184,0.49798,0.17180,0.18389,0.19938,0.30304,0.32884,0.29895,0.32473,0.73313,0.45464,0.30304,0.32884,0.57239,0.57177,0.45083,0.48173,0.69714,0.67352,0.28357,0.35752,0.31609,0.34197,0.00000,0.00818,0.81027,0.82666,0.51243,0.25954,0.57239,0.57177,0.51126,0.13078,0.00000,0.00818,0.67728,0.69774,0.73400,0.43547,0.30304,0.32884,0.24135,0.24184,0.69714,0.67352,0.65825,0.50344,0.45083,0.48173,0.31609,0.34197,0.34419,0.14750
L4v,0.81080,0.82734,0.23870,0.23895,0.69723,0.67399,0.00818,0.00000,0.81080,0.82734,0.46147,0.39155,0.67620,0.69685,0.23870,0.23895,0.49927,0.17770,0.19081,0.20626,0.30520,0.33118,0.30086,0.32189,0.73384,0.45559,0.30520,0.33118,0.57199,0.57130,0.45161,0.47902,0.69723,0.67399,0.28269,0.36452,0.31799,0.34406,0.00818,0.00000,0.81080,0.82734,0.51127,0.25618,0.57199,0.57130,0.51136,0.13084,0.00818,0.00000,0.67795,0.69850,0.73436,0.43467,0.30520,0.33118,0.23870,0.23895,0.69723,0.67399,0.65765,0.50204,0.45161,0.47902,0.31799,0.34406,0.34384,0.14490
L5s,0.00000,0.13524,0.63804,0.64156,0.24728,0.24354,0.81027,0.81080,0.00000,0.13524,0.50008,0.59438,0.23494,0.23464,0.63804,0.64156,0.39084,0.71000,0.82044,0.81780,0.57314,0.55969,0.71718,0.74343,0.09389,0.39845,0.57314,0.55969,0.28729,0.28964,0.54777,0.60072,0.24728,0.24354,0.72287,0.81708,0.55855,0.54466,0.81027,0.81080,0.00000,0.13524,0.53527,0.65682,0.28729,0.28964,0.37808,0.70920,0.81027,0.81080,0.23350,0.23340,0.09508,0.43208,0.57314,0.55969,0.63804,0.64156,0.24728,0.24354,0.33733,0.40173,0.54777,0.60072,0.55855,0.54466,0.69583,0.81462
L5v,0.13524,0.00000,0.67474,0.67838,0.35912,0.26611,0.82666,0.82734,0.13524,0.00000,0.55610,0.64257,0.19606,0.18033,0.67474,0.67838,0.45623,0.73223,0.82162,0.81693,0.57958,0.56129,0.76921,0.78360,0.16750,0.43961,0.57958,0.56129,0.32286,0.32614,0.62696,0.66670,0.35912,0.26611,0.75241,0.83559,0.56562,0.54668,0.82666,0.82734,0.13524,0.00000,0.61957,0.69332,0.32286,0.32614,0.44700,0.73446,0.82666,0.82734,0.19423,0.17862,0.17048,0.47557,0.57958,0.56129,0.67474,0.67838,0.35912,0.26611,0.44001,0.46058,0.62696,0.66670,0.56562,0.54668,0.75402,0.83171
L6s,0.50008,0.55610,0.29004,0.29289,0.33278,0.36057,0.46219,0.46147,0.50008,0.55610,0.00000,0.38682,0.45935,0.48302,0.29004,0.29289,0.23130,0.39302,0.51864,0.52209,0.31877,0.32757,0.44756,0.47793,0.43481,0.24630,0.31877,0.32757,0.32694,0.32623,0.32704,0.39864,0.33278,0.36057,0.28336,0.60459,0.30979,0.31956,0.46219,0.46147,0.50008,0.55610,0.35447,0.25137,0.32694,0.32623,0.21662,0.36953,0.46219,0.46147,0.46049,0.48412,0.43279,0.25066,0.31877,0.32757,0.29004,0.29289,0.33278,0.36057,0.35803,0.18488,0.32704,0.39864,0.30979,0.31956,0.43756,0.43300
L6v,0.59438,0.64257,0.30727,0.31338,0.46090,0.47529,0.38761,0.39155,0.59438,0.64257,0.38682,0.00000,0.53128,0.55263,0.30727,0.31338,0.25388,0.24528,0.40376,0.40555,0.30481,0.31608,0.20373,0.35751,0.51597,0.27718,0.30481,0.31608,0.42142,0.42198,0.20079,0.37159,0.46090,0.47529,0.44407,0.29924,0.30645,0.31861,0.38761,0.39155,0.59438,0.64257,0.31404,0.37587,0.42142,0.42198,0.30249,0.29245,0.38761,0.39155,0.53276,0.55405,0.52484,0.31374,0.30481,0.31608,0.30727,0.31338,0.46090,0.47529,0.41715,0.38044,0.20079,0.37159,0.30645,0.31861,0.25114,0.46459
L7s,0.23494,0.19606,0.52999,0.53408,0.35460,0.25388,0.67553,0.67620,0.23494,0.19606,0.45935,0.53128,0.00000,0.03009,0.52999,0.53408,0.35611,0.58461,0.67236,0.66860,0.41661,0.39879,0.64413,0.66633,0.17862,0.30124,0.41661,0.39879,0.19156,0.19650,0.53017,0.58105,0.35460,0.25388,0.62143,0.71793,0.40248,0.38398,0.67553,0.67620,0.23494,0.19606,0.54024,0.55222,0.19156,0.19650,0.35149,0.58373,0.67553,0.67620,0.00210,0.03129,0.18233,0.33745,0.41661,0.39879,0.52999,0.53408,0.35460,0.25388,0.41291,0.35631,0.53017,0.58105,0.40248,0.38398,0.63651,0.68154
L7v,0.23464,0.18033,0.55575,0.55984,0.37258,0.26604,0.69608,0.69685,0.23464,0.18033,0.48302,0.55263,0.03009,0.00000,0.55575,0.55984,0.38103,0.60529,0.68801,0.68368,0.43704,0.41807,0.66760,0.69000,0.18795,0.32813,0.43704,0.41807,0.22050,0.22533,0.55542,0.60628,0.37258,0.26604,0.64230,0.73292,0.42329,0.40360,0.69608,0.69685,0.23464,0.18033,0.56582,0.57708,0.22050,0.22533,0.37779,0.60684,0.69608,0.69685,0.02893,0.00202,0.19297,0.36588,0.43704,0.41807,0.55575,0.55984,0.37258,0.26604,0.43454,0.38312,0.55542,0.60628,0.42329,0.40360,0.66126,0.70169
L8s,0.63804,0.67474,0.00000,0.00785,0.49868,0.49845,0.24135,0.23870,0.63804,0.67474,0.29004,0.30727,0.52999,0.55575,0.00000,0.00785,0.31582,0.23011,0.36456,0.37418,0.23323,0.26100,0.25984,0.24790,0.55913,0.27641,0.23323,0.26100,0.38183,0.37968,0.28584,0.29202,0.49868,0.49845,0.27720,0.46072,0.23295,0.26200,0.24135,0.23870,0.63804,0.67474,0.31516,0.11416,0.38183,0.37968,0.30518,0.12850,0.24135,0.23870,0.53156,0.55723,0.55434,0.22509,0.23323,0.26100,0.00000,0.00785,0.49868,0.49845,0.44741,0.28382,0.28584,0.29202,0.23295,0.26200,0.24599,0.27275
