gamma,case,E_lab_min_keV,E_lab_max_keV,E_lab_mean_keV,decay_length_gamma_channel_m,decay_length_nunu_channel_m,P_decay_within_10m_gamma,P_decay_within_10m_nunu
1.5,slow,139.79956011753848,958.2004398824615,549.0,19789201.60087314,153282459857610.6,5.053260966101219e-07,6.523903654266344e-14
3.0,typical hadron collider,62.795672342894434,2133.2043276571053,1098.0,50063160.10800756,387777358802702.6,1.9974767830128464e-07,2.578799347872165e-14
4.55,"MuC 10 TeV, 1.1 TeV",40.71756441847495,3289.8824355815245,1665.3,78565871.8846803,608552600869472.9,1.2728172882340171e-07,1.6432433261664556e-14
30.0,extreme tail,6.101695386456639,21953.898304613544,10980.0,530704918.0099992,4110714364924909.5,1.884286288036921e-08,2.432667198997338e-15
