machine,m_GeV,ctau_cm,P_rT_gt_5cm,P_rT_gt_10cm,P_rT_gt_12cm,P_rT_gt_30cm,P_rT_gt_5cm_tripletY1,betagamma,acceptance_theta_gt_10deg
HL-LHC 14 TeV,300,0.9531,0.010415656267375277,0.0012386476445413188,0.0006513032572237938,1.294620866531913e-05,1.2918453202844687e-06,,
HL-LHC 14 TeV,500,0.8109,0.004012004199814869,0.0003243407295517028,0.00015259147689331625,1.4398889445305447e-06,2.9478803548464136e-07,,
HL-LHC 14 TeV,1000,0.7117,0.0012862767168565557,5.862393041628817e-05,2.284885787155657e-05,5.785120492007825e-08,2.3991517466881307e-08,,
HL-LHC 14 TeV,1100,0.7050015974468214,0.001135135545451472,4.724336582784379e-05,1.768114450882349e-05,3.156621833048797e-08,1.3516369411086158e-08,,
HL-LHC 14 TeV,1500,0.6836372062683168,0.0007547381801155133,2.3910557636146145e-05,7.98872217124053e-06,3.484949074816447e-09,1.6322747993317947e-09,,
HL-LHC 14 TeV,2000,0.6644,0.00047096365949268764,9.39924396455176e-06,2.5522823296122586e-06,1.3545444422597097e-10,7.809599672815378e-11,,
FCC-hh 100 TeV,300,0.9531,0.054035396245542835,0.013501503522769598,0.008626906969728416,0.0003772199030407816,4.6680782649354e-05,,
FCC-hh 100 TeV,500,0.8109,0.036524065075531825,0.00782766090056429,0.004751384428329743,0.00014037571556620867,3.747977462067353e-05,,
FCC-hh 100 TeV,1000,0.7117,0.011395433825648855,0.0016495415876216204,0.0009037764093284893,1.5505013086996454e-05,8.250093406805042e-06,,
FCC-hh 100 TeV,1100,0.7050015974468214,0.009939200789661966,0.0013804432252836718,0.0007501099688404784,1.244256958091301e-05,6.988986095443783e-06,,
FCC-hh 100 TeV,1500,0.6836372062683168,0.006174640643457332,0.0006991977073488721,0.00035816872857756397,4.292868784594898e-06,2.8468088011938397e-06,,
FCC-hh 100 TeV,2000,0.6644,0.0040071294092724665,0.00038287398112440415,0.00018799887439347734,1.8737853375014884e-06,1.4875365158435776e-06,,
MuC 10 TeV,300,0.9531,0.6307179657464533,0.4119965954504143,0.34972416217266306,0.08760314349716937,0.030402570753212687,16.63663961795704,0.8888894547734913
MuC 10 TeV,500,0.8109,0.4181979802279622,0.19127751903810689,0.14168642878702628,0.011058130913260213,0.0037573922492698457,9.9498743710662,0.8888894547734913
MuC 10 TeV,1000,0.7117,0.1517374614838171,0.02877391129915209,0.015137242691384422,5.885332886820424e-05,2.1791634767755115e-05,4.898979485566356,0.8888894547734915
MuC 10 TeV,1100,0.7050015974468214,0.12467290088396574,0.019882204432300956,0.009772665003281097,2.0814695134623414e-05,7.66899114620057e-06,4.434090326638981,0.8888894547734912
MuC 10 TeV,1500,0.6836372062683168,0.05545156933285428,0.004288196054560567,0.001584731631856767,2.6644956507754355e-07,1.0372533081476688e-07,3.1797973380564852,0.8888894547734913
MuC 10 TeV,2000,0.6644,0.018506734853967307,0.0005253946650345623,0.00013051429154663536,6.276165054585908e-10,3.0249732927390653e-10,2.29128784747792,0.8888894547734913
MuC 10 TeV,3000,0.6507882385915107,0.0013003003776778464,3.0419130958499995e-06,2.795547079898407e-07,1.7805108036758772e-16,1.0543509318069123e-16,1.3333333333333333,0.8888894547734913
MuC 10 TeV,4000,0.6413,1.0416261271552104e-05,2.3367947111738274e-10,3.357309681302968e-12,1.210216288844235e-28,1.198760890009301e-28,0.75,0.8888894547734913
