m_GeV,sigma_gamma_signal_fb,sigma_gamma_bkg_fb,S_10ab,B_10ab,S_over_sqrtB,frac_of_pair_xsec
500,0.16324174213497136,3862.4053148534845,1632.4174213497135,38624053.14853485,0.2626650549578767,0.09649636333964443
1000,0.14238048023784355,3843.682503209652,1423.8048023784356,38436825.03209652,0.22965542030616076,0.08421278878079738
1100,0.13934135443519735,3838.3282918955992,1393.4135443519735,38383282.91895599,0.2249101054042675,0.0824387549207639
1500,0.12886038192934562,3811.0130759523317,1288.6038192934564,38110130.75952332,0.20873688337299778,0.07640922804763252
2000,0.11753531419690161,3761.551668396308,1175.353141969016,37615516.683963075,0.19163942397865796,0.07018888745434422
