machine,r_min_cm,xsec_factor,case,bkg_events,reach_95CL_GeV,reach_5sigma_GeV,S_at_1100
HL-LHC 14 TeV,12,0.5,xsec_low,30.0,275.0,,0.0005401622911562891
HL-LHC 14 TeV,12,2.0,xsec_high,30.0,325.0,300.0,0.0021606491646251566
HL-LHC 14 TeV,5,0.5,xsec_low,30.0,425.0,375.0,0.02790250598243834
HL-LHC 14 TeV,5,2.0,xsec_high,30.0,550.0,475.0,0.11161002392975336
FCC-hh 100 TeV,10,0.3333333333333333,xsec_low,100.0,1050.0,875.0,18.320417011098993
FCC-hh 100 TeV,10,3.0,xsec_high,100.0,1600.0,1350.0,164.88375309989095
FCC-hh 100 TeV,5,0.3333333333333333,xsec_low,100.0,1650.0,1350.0,132.10690394584964
FCC-hh 100 TeV,5,3.0,xsec_high,100.0,2500.0,2100.0,1188.962135512647
MuC 10 TeV,10,0.9,xsec_low,3.0,2100.0,1900.0,213.85038158116743
MuC 10 TeV,10,1.1,xsec_high,3.0,2150.0,1900.0,261.37268859920465
MuC 10 TeV,5,0.9,xsec_low,3.0,3350.0,3100.0,1340.9653601364582
MuC 10 TeV,5,1.1,xsec_high,3.0,3400.0,3150.0,1638.9576623890046
