m_GeV,sqrt_s_TeV,doublet_chipm_fb,doublet_chi1chi2_fb,doublet_total_fb,tripletY1_Q1_fb,tripletY1_Q2_fb,tripletY1_chi1chi2_fb,tripletY1_total_fb,tripletY1_charged_fb,ratio_triplet_over_doublet_total,ratio_triplet_over_doublet_charged,betagamma_chargino,sigma_point_fb
300,10.0,1.1961589212883952,0.4955845233725661,1.6917434446609612,1.0535077086700513,4.784635685153581,1.9823380934902644,7.820481487313897,5.838143393823632,4.6227349140881016,4.880742257504803,16.63663961795704,0.9962789838553497
500,10.0,1.1961197350941268,0.4955682880119768,1.6916880231061036,1.0534731957328485,4.784478940376507,1.982273152047907,7.820225288157263,5.837952136109356,4.622734914088101,4.880742257504804,9.9498743710662,0.9962789838553497
800,10.0,1.195868226901843,0.4954640848284541,1.6913323117302972,1.0532516818397952,4.783472907607372,1.9818563393138164,7.8185809287609835,5.836724589447167,4.622734914088101,4.880742257504803,6.1694813396265324,0.9962789838553497
1000,10.0,1.1954372522522698,0.4952855263087682,1.690722778561038,1.0528721042540028,4.781749009009079,1.9811421052350728,7.815763218498155,5.834621113263082,4.622734914088101,4.880742257504803,4.898979485566356,0.9962789838553497
1100,10.0,1.195096529156286,0.4951443602060707,1.6902408893623568,1.0525720150252622,4.780386116625144,1.9805774408242829,7.81353557247469,5.832958131650407,4.622734914088101,4.880742257504803,4.434090326638981,0.9962789838553497
1500,10.0,1.1924165181305464,0.49403399605362686,1.6864505141841732,1.0502116160643145,4.7696660725221856,1.9761359842145074,7.796013672801007,5.8198776885865,4.622734914088101,4.880742257504803,3.1797973380564852,0.9962789838553497
2000,10.0,1.1840073419950012,0.49054996272584706,1.6745573047208482,1.0428052992909391,4.736029367980005,1.9621998509033882,7.741034518174333,5.778834667270944,4.6227349140881016,4.880742257504803,2.29128784747792,0.9962789838553497
3000,10.0,1.1291795161074358,0.46783406647121195,1.5970135825786478,0.9945161161446441,4.516718064429743,1.8713362658848478,7.382570446459235,5.511234180574387,4.622734914088101,4.880742257504803,1.3333333333333333,0.9962789838553497
4000,10.0,0.9473624753782723,0.3925048523783898,1.3398673277566622,0.8343821652399979,3.7894499015130894,1.5700194095135591,6.193851476266646,4.623832066753087,4.6227349140881,4.880742257504802,0.75,0.9962789838553497
4500,10.0,0.7325615526227754,0.3035099780107683,1.0360715306335437,0.6451979156182068,2.930246210491102,1.2140399120430732,4.789484038152382,3.575444126109309,4.6227349140881016,4.880742257504803,0.48432210483785265,0.9962789838553497
1100,3.0,11.468387323374005,4.758356580959402,16.226743904333407,10.099571973425808,45.87354929349602,19.03342632383761,75.00654759075944,55.97312126692183,4.622402869791313,4.880644478482308,0.92709445701687,11.069766487281663
1100,14.0,0.6101402854830736,0.25277158330200716,0.8629118687850807,0.5373792202049653,2.4405611419322946,1.0110863332080287,3.989026695345289,2.97794036213726,4.6227509895785275,4.880746990472035,6.284573793710679,0.5083056040078315
1100,30.0,0.13290293175477,0.0550564769911674,0.1879594087459374,0.11705436967449795,0.53161172701908,0.2202259079646696,0.8688920046582476,0.648666096693578,4.622764087498908,4.880750846719352,13.599647540401204,0.11069766487281663
