m_GeV,W_doublet,W_tripletY1
300,2.5746715148744657e-05,0.00010298686059497863
500,9.268817453548076e-06,3.70752698141923e-05
1100,1.915044928419024e-06,7.660179713676096e-06
2000,5.793010908467547e-07,2.317204363387019e-06
