operator,isospin,m_chi_GeV,response,q_v_scaling,dRdE_10keV,dRdE_50keV,dRdE_150keV,dRdE_248keV,R_lo,R_hi,R_5_300,ratio_hi_lo,N_lo_per_hi,frac_hi,N_lo_hardcut,N_lo_sighi15,N_lo_sighi4
O13,v,4000,Sigma'',q^2 v^2,1.4036e-05,7.0293e-05,9.9984e-07,5.554e-06,0.0023596,0.000289,0.0052576,0.12248,8.1645,0.054969,7.7135,8.6275,7.9123
O14,s,200,Sigma',q^2 v^2,2.5117e-08,2.489e-09,2.5934e-09,7.1581e-10,5.4506e-07,6.8022e-08,9.7194e-07,0.1248,8.013,0.069987,8.2855,8.2054,7.9268
O14,s,1000,Sigma',q^2 v^2,5.273e-09,6.414e-10,1.1915e-09,6.3091e-10,1.2131e-07,5.1744e-08,3.2052e-07,0.42654,2.3444,0.16144,2.4013,2.4128,2.3122
O14,s,4000,Sigma',q^2 v^2,1.3277e-09,1.6635e-10,3.3485e-10,1.9329e-10,3.0814e-08,1.5571e-08,8.739e-08,0.50531,1.979,0.17818,2.0242,2.0381,1.9509
O14,v,200,Sigma',q^2 v^2,2.2109e-08,1.3869e-09,1.9494e-09,5.6543e-10,4.5193e-07,5.2691e-08,7.6546e-07,0.11659,8.5769,0.068836,8.8854,8.7912,8.4787
O14,v,1000,Sigma',q^2 v^2,4.6415e-09,3.5742e-10,8.9599e-10,4.9835e-10,1.0007e-07,4.02e-08,2.4881e-07,0.40172,2.4893,0.16157,2.5536,2.5647,2.4529
O14,v,4000,Sigma',q^2 v^2,1.1687e-09,9.27e-11,2.5181e-10,1.5268e-10,2.5399e-08,1.2101e-08,6.7731e-08,0.47646,2.0988,0.17867,2.1501,2.164,2.0672
O15,s,200,Phi''+ v^2 Sigma',"q^6 Phi'', q^4 v^2 Sigma'",0.0018606,0.027134,0.00063724,0.0017646,0.76842,0.13826,1.8229,0.17993,5.5578,0.075848,5.4223,5.7261,5.4793
O15,s,1000,Phi''+ v^2 Sigma',"q^6 Phi'', q^4 v^2 Sigma'",0.0003874,0.0067551,0.00027074,0.0013646,0.18165,0.095295,0.56077,0.52461,1.9062,0.16994,1.8473,1.9741,1.8732
O15,s,4000,Phi''+ v^2 Sigma',"q^6 Phi'', q^4 v^2 Sigma'",9.7419e-05,0.0017422,7.5055e-05,0.00040976,0.046516,0.028211,0.15048,0.60648,1.6489,0.18747,1.5964,1.7088,1.6196
O15,v,200,Phi''+ v^2 Sigma',"q^6 Phi'', q^4 v^2 Sigma'",8.258e-05,0.00075189,0.001046,7.5019e-05,0.02449,0.011693,0.15022,0.47744,2.0945,0.077839,2.0831,2.121,2.085
O15,v,1000,Phi''+ v^2 Sigma',"q^6 Phi'', q^4 v^2 Sigma'",1.72e-05,0.00018745,0.00044395,5.8235e-05,0.005754,0.00763,0.05756,1.326,0.75413,0.13256,0.74796,0.7658,0.7497
O15,v,4000,Phi''+ v^2 Sigma',"q^6 Phi'', q^4 v^2 Sigma'",4.3252e-06,4.8323e-05,0.00012299,1.7466e-05,0.0014722,0.002241,0.015855,1.5222,0.65696,0.14134,0.65133,0.6674,0.65297
