model,R_lo,R_hi,R_5_300,ratio_hi_lo,N_lo_per_hi,frac_hi
"O1s delta=0 keV, 1000 GeV",1.2884e+08,46814,1.3319e+08,0.00036336,2752.1,0.00035148
"O1s delta=100 keV, 1000 GeV",8.0184e+06,16017,9.1364e+06,0.0019975,500.62,0.0017531
"O1s delta=200 keV, 1000 GeV",23590,3095.1,88875,0.13121,7.6215,0.034826
"O1s delta=300 keV, 1000 GeV",0,211.54,1108.9,inf,0,0.19077
