E_keV,L10s_50GeV,L10s_200GeV,L10s_1000GeV
201,,0.057344,0.032909
202,,0.057344,0.032921
203,,0.056979,0.032933
204,,0.056614,0.032946
205,,0.056248,0.032927
206,,0.055518,0.032921
207,,0.055518,0.032921
208,,0.055153,0.032879
209,,0.054422,0.032841
210,,0.054422,0.032799
211,,0.054057,0.032872
212,,0.053327,0.032836
213,,0.052961,0.032763
214,,0.052961,0.03269
215,,0.052231,0.032638
216,,0.051865,0.032568
217,,0.0515,0.032456
218,,0.05077,0.032379
219,,0.050404,0.032288
220,,0.050039,0.032189
221,,0.049309,0.032069
222,,0.048944,0.031959
223,,0.048578,0.03185
224,,0.048213,0.03185
225,,0.047483,0.031704
226,,0.047117,0.031594
227,,0.046752,0.031448
228,,0.046021,0.031302
229,,0.045656,0.031138
230,,0.045291,0.030973
231,,0.04456,0.030816
232,,0.044195,0.030644
233,,0.04383,0.030495
234,,0.043465,0.030316
235,,0.042734,0.030283
236,,0.042004,0.030104
237,,0.041638,0.029922
238,,0.041273,0.029713
239,,0.040543,0.029534
240,,0.040177,0.029344
241,,0.039812,0.029138
242,,0.039447,0.028928
243,,0.038717,0.028855
244,,0.038351,0.028676
245,,0.037621,0.028461
246,,0.037256,0.028246
247,,0.036525,0.028028
248,,0.036178,0.027814
249,,0.035746,0.027606
250,,0.035356,0.027357
251,,0.034626,0.027284
252,,0.034181,0.027065
253,,0.033786,0.026846
254,,0.033359,0.026633
255,,0.03269,0.026389
256,,0.03227,0.026146
257,,0.031838,0.025933
258,,0.031436,0.025823
259,,0.031046,0.025595
260,,0.030389,0.025385
261,,0.029975,0.025141
262,,0.029567,0.024898
263,,0.029165,0.024649
264,,0.028782,0.024545
265,,0.028161,0.024326
266,,0.027759,0.024106
267,,0.027375,0.023861
268,,0.026992,0.023616
269,,0.026634,0.023376
270,,0.026042,0.023266
271,,0.025653,0.023047
272,,0.025275,0.022828
273,,0.024928,0.022588
274,,0.024563,0.022343
275,,0.024216,0.022171
276,,0.023656,0.022006
277,,0.023315,0.021791
278,,0.022967,0.021568
279,,0.022631,0.021343
280,,0.022299,0.021105
281,,0.021988,0.021002
282,,0.021452,0.020783
283,,0.021133,0.020564
284,,0.020828,0.020357
285,,0.020509,0.02012
286,,0.020198,0.019906
287,,0.019906,0.019815
288,,0.019431,0.019619
289,,0.019132,0.019405
290,,0.018835,0.019198
291,,0.018567,0.019029
292,,0.018281,0.018883
293,,0.018019,0.018701
294,,0.017751,0.018492
295,,0.017313,0.018289
296,,0.017048,0.01808
297,,0.016787,0.017995
298,,0.016528,0.017829
299,,0.01629,0.017623
300,,0.016034,0.017447
301,,0.015815,0.017349
302,,0.01556,0.017167
303,,0.015249,0.016996
304,,0.014939,0.016822
305,,0.014738,0.016655
306,,0.014519,0.016582
307,,0.014281,0.0164
308,,0.01408,0.016235
309,,0.013879,0.016071
310,,0.01366,0.015998
311,,0.013478,0.015852
312,,0.013149,0.015669
313,,0.012966,0.015523
314,,0.012777,0.015399
315,,0.012565,0.015304
316,,0.012382,0.015158
317,,0.012199,0.015012
318,,0.012053,0.014866
319,,0.011871,0.014829
320,,0.011688,0.014683
321,,0.011542,0.014537
322,,0.011359,0.01442
323,,0.011104,0.014362
324,,0.010957,0.014245
325,,0.010811,0.014099
326,,0.010665,0.013989
327,,0.010483,0.013953
328,,0.010337,0.013843
329,,0.010227,0.013697
330,,0.010081,0.013587
331,,0.0099348,0.01356
332,,0.0098252,0.013441
333,,0.0096791,0.013332
334,,0.0095695,0.013222
335,,0.0094234,0.013222
336,,0.0092043,0.013112
337,,0.0090947,0.013003
338,,0.0089851,0.012893
339,,0.0088756,0.012893
340,,0.008766,0.012784
341,,0.0086564,0.012711
342,,0.0085468,0.012601
343,,0.0084373,0.012601
344,,0.0083277,0.012528
345,,0.0082181,0.012418
346,,0.0081085,0.012345
347,,0.0080355,0.012345
348,,0.0079259,0.012272
349,,0.0078529,0.012163
