operator,isospin,N_lo_200,N_lo_1000,N_lo_4000,compatible_Nmax3_at_1000,compatible_Nmax5_at_1000,compatible_Nmax10_at_1000,verdict
O1,s,7895,2752,2384,False,False,False,excluded by absent low-energy population (N_lo > 10)
O1,v,1609,476.6,404,False,False,False,excluded by absent low-energy population (N_lo > 10)
O3,s,37.25,12.65,10.93,False,False,False,excluded by absent low-energy population (N_lo > 10)
O3,v,14.19,5.038,4.381,False,False,True,marginal (5 < N_lo <= 10)
O4,s,86.27,28.12,24.12,False,False,False,excluded by absent low-energy population (N_lo > 10)
O4,v,90.19,29.37,25.2,False,False,False,excluded by absent low-energy population (N_lo > 10)
O5,s,43.02,14.2,12.21,False,False,False,excluded by absent low-energy population (N_lo > 10)
O5,v,3.148,1.052,0.9053,True,True,True,lone-event compatible (N_lo <= 5)
O6,s,1.272,0.4348,0.3755,True,True,True,lone-event compatible (N_lo <= 5)
O6,v,1.31,0.4481,0.387,True,True,True,lone-event compatible (N_lo <= 5)
O7,s,112.4,32.33,27.22,False,False,False,excluded by absent low-energy population (N_lo > 10)
O7,v,124.4,35.6,29.95,False,False,False,excluded by absent low-energy population (N_lo > 10)
O8,s,482.8,155.8,133.5,False,False,False,excluded by absent low-energy population (N_lo > 10)
O8,v,28.1,9.192,7.891,False,False,True,marginal (5 < N_lo <= 10)
O9,s,6.35,2.065,1.771,True,True,True,lone-event compatible (N_lo <= 5)
O9,v,6.785,2.191,1.877,True,True,True,lone-event compatible (N_lo <= 5)
O10,s,9.144,3.081,2.655,False,True,True,lone-event compatible (N_lo <= 5)
O10,v,9.353,3.155,2.719,False,True,True,lone-event compatible (N_lo <= 5)
O11,s,723.5,258.3,224.5,False,False,False,excluded by absent low-energy population (N_lo > 10)
O11,v,113.1,33.96,28.84,False,False,False,excluded by absent low-energy population (N_lo > 10)
O12,s,299.9,100.1,86.26,False,False,False,excluded by absent low-energy population (N_lo > 10)
O12,v,118.2,41.13,35.66,False,False,False,excluded by absent low-energy population (N_lo > 10)
O13,s,14.52,4.902,4.228,False,True,True,lone-event compatible (N_lo <= 5)
O13,v,29.46,9.52,8.164,False,False,True,marginal (5 < N_lo <= 10)
O14,s,8.013,2.344,1.979,True,True,True,lone-event compatible (N_lo <= 5)
O14,v,8.577,2.489,2.099,True,True,True,lone-event compatible (N_lo <= 5)
O15,s,5.558,1.906,1.649,True,True,True,lone-event compatible (N_lo <= 5)
O15,v,2.094,0.7541,0.657,True,True,True,lone-event compatible (N_lo <= 5)
