E_keV,nat_el,129_el,129_inel,129_inel_jun,129_el_jun,131_el,131_inel,131_inel_jun,131_el_jun
1.0,42.93317245946817,33.29676893815807,0.0002598382421781861,0.0026377157701354312,32.187480373324775,9.636403521310097,0.0,0.0,9.315364796737088
2.0,40.2635983537887,31.198205170193987,0.9031876821042056,1.0665486765281338,30.170209419879654,9.065393183594711,0.0,0.0,8.76668415155824
3.0,37.76212941393677,29.224557890630873,2.849995592939264,3.18082685326136,28.272397071964356,8.5375715233059,0.0,0.0,8.25941022069605
4.0,35.42748442527964,27.375616976056538,4.6651696505828815,5.069967962324767,26.493311176518418,8.051867449223096,0.0,0.0,7.7923588012983664
5.0,33.24369607159408,25.6397315824444,6.0128813381445925,6.4297944475346585,24.822285786496913,7.603964489149685,0.005271197314460205,0.008779534511310312,7.361534930782335
6.0,31.192440364931493,24.000101735344206,6.9345372494262625,7.333578541583405,23.24417266326482,7.192338629587293,0.027458138793347943,0.036888048732230304,6.965390065683244
7.0,29.273680310738946,22.467214301965218,7.507359925508584,7.87588515743803,21.767649130092135,6.80646600877373,0.06460291662351562,0.08115688644603827,6.594532010224586
8.0,27.48009203932072,21.02257408923118,7.820814060687472,8.155042070573971,20.376127286750446,6.457517950089539,0.11296730675905689,0.13700866682644225,6.2585197183336785
9.0,25.811450389869833,19.67659557921348,7.917101831434727,8.218151189937332,19.078292204476714,6.134854810656356,0.16732649093392638,0.19841677255154422,5.947882758074069
10.0,24.246851167267323,18.410248824187388,7.917234386757096,8.18638162796055,17.857116515053306,5.836602343079938,0.2250249936483885,0.2624828657378335,5.660811396675513
11.0,22.78040064302154,17.21940791341631,7.79689680389825,8.037731505644816,16.708610474469776,5.560992729605234,0.2796968894592499,0.3222937273993138,5.39559937681383
12.0,21.420406567240867,16.1140463245067,7.6342078752772355,7.848806783734765,15.641162779905416,5.30636024273417,0.33403041448302145,0.3810145920167658,5.1506395509859235
13.0,20.137952749214584,15.062257564026215,7.405010172131594,7.596974345852107,14.62647859594627,5.0756951851883665,0.38195390749220887,0.432186181247358,4.928417959569606
14.0,18.950794556708864,14.087843922821001,7.119832594219926,7.292947569422794,13.685111936908019,4.862950633887861,0.4272314391450714,0.4800576159467075,4.723508121734401
15.0,17.84012171698741,13.173378278133445,6.841887011050094,6.99742097074788,12.801483522523004,4.666743438853965,0.4684776245903653,0.5232465701727746,4.534576664926606
16.0,16.801303946864397,12.31552583003754,6.546316826812574,6.686638463779832,11.972382694791007,4.485778116826858,0.5045167871318326,0.5606122316217357,4.360374710893596
17.0,15.841878332212675,11.523035870044504,6.261127859963321,6.387307731313428,11.20524339290546,4.3188424621681705,0.5384417896040875,0.5955204037058505,4.199733604059547
18.0,14.937856833631768,10.768631270912605,5.941996984719789,6.0572091133715436,10.475828272242627,4.169225562719164,0.5657192070752605,0.6232629782940554,4.055453311843356
19.0,14.088787151769207,10.06177364862557,5.65901047472023,5.76301468796009,9.792216081211151,4.02701350314364,0.5899948928072489,0.6477487273338413,3.9187215883354773
20.0,13.310398399795046,9.410369030323528,5.349312090257299,5.444936593035297,9.16115778933784,3.9000293694715173,0.6110621785057639,0.6688055267145531,3.7963436261195365
21.0,12.568761993019457,8.790160140098603,5.074555127791338,5.161462341962625,8.561067597098091,3.7786018529208545,0.6331071178183391,0.6908173085217004,3.679721440652823
22.0,11.890108941669633,8.21951216078405,4.796228631208025,4.875983251937359,8.007944354755086,3.6705967808855835,0.6473554286658189,0.7047025999127031,3.5757192787293173
23.0,11.256341096934555,7.685485281235737,4.533058038963905,4.606190590313202,7.490192379376744,3.5708558156988217,0.6624346449931233,0.7194355893046205,3.4797239289572097
24.0,10.664547217892835,7.185896776916085,4.269166780334697,4.336987579830248,7.005709399203986,3.4786504409767462,0.6783497526640312,0.7350161224317514,3.3910313294332157
25.0,10.099162335246827,6.710140280976513,4.035061749930034,4.097176558249133,6.544950346629383,3.389022054270315,0.6906297010219951,0.7468494298519701,3.3052003254079025
26.0,9.58364930941478,6.273727230453044,3.800597025488629,3.8581696739338733,6.1214784215021885,3.3099220789617347,0.6992099114167127,0.7548960182915393,3.229209164118721
