E_ER_keV,E_NR_at_S1c540_keV,log10S2c,residual_dex,residual_sigma
0.0,266.24826897941665,4.026619213452971,0.05963318833503317,1.905213684825341
1.0,265.6403167180821,4.105404330970906,0.138418305852968,4.422310091149137
2.0,263.518187563829,4.137873200469669,0.17088717535173137,5.459654164592056
5.0,256.03944161130727,4.201072989681093,0.2340869645631556,7.478816759206248
10.0,242.63435929853287,4.274565525148599,0.30757950003066137,9.826821087241576
20.0,214.5893871822825,4.379196911544482,0.41221088642654413,13.169676882637193
30.0,185.6324739824161,4.457630027768599,0.4906440026506611,15.675527241235178
39.58,157.29798210382253,4.519946990465414,0.5529609653474759,17.666484515893796
50.0,126.07163757532852,4.5804033760485465,0.6134173509306087,19.597998432287817
60.0,96.00992071382193,4.635904694996782,0.6689186698788441,21.3712035105062
80.19,33.72166267256074,4.740281693195072,0.7732956680771346,24.705931887448386
100.0,,,,
