E_keV,Nph,Ne,S1c,log10S2c
2.0,57.792003035612,91.0134293016153,6.35712033391732,3.4969245735622985
3.0,108.44932988892064,114.75881861692031,11.92942628778127,3.5976051638316773
4.0,161.42196209592308,136.18890257853153,17.75641583055154,3.6719608153867256
5.0,215.75457658882937,156.2590042542389,23.73300342477123,3.7316641475550405
6.0,271.01111007239956,175.40518693928237,29.811222107963953,3.7818615268957765
7.0,326.9471230022567,193.87189017803885,35.96418353024824,3.825333939605577
8.0,383.40897104459515,211.81275830431406,42.174986814905466,3.863771210874414
9.0,440.29259573977697,229.3318497777459,48.43218553137547,3.8982834691323385
10.0,497.5236615878533,246.50350009828315,54.727602774663865,3.9296421852689924
11.0,555.046872488139,263.38300536661114,61.05515597369529,3.9584068440072606
12.0,612.8197517030637,280.0128423203001,67.41017268733701,3.9849970450617125
13.0,670.8087947098943,296.4265154820831,73.78896741808838,4.009736143950415
14.0,728.9869725506595,312.65105380993157,80.18856698057255,4.032878991909143
15.0,787.3320465412817,328.708695987923,86.60652511954099,4.054630288566562
16.0,845.8253924326142,344.6180662652042,93.04079316758757,4.075157136245706
17.0,904.4511564419977,360.39501842443457,99.48962720861975,4.094597874367726
18.0,963.1956343228687,376.05325671217696,105.95151977551556,4.113068449198734
19.0,1022.0468044067485,391.60480279691086,112.42514848474234,4.130667104597135
20.0,1080.9939694545787,407.0603539176942,118.90933664000366,4.147477900932817
21.0,1140.0274770064366,422.4295625344501,125.40302247070802,4.163573398529729
22.0,1199.138497419047,437.72125829045314,131.90523471609518,4.179016734064835
23.0,1258.3188450157863,452.94362686232756,138.4150729517365,4.193863248375073
24.0,1317.5608319611906,468.1043560855371,144.93169151573096,4.208161777677129
25.0,1376.8571473427762,483.210756872565,151.4542862077054,4.221955688729393
26.0,1436.2007559485808,498.2698644353742,157.98208315434388,4.2352837167312005
27.0,1495.5848126543765,513.2885238981922,164.51432939198142,4.248180649489103
28.0,1555.0025893640548,528.2734633571274,171.05028483004602,4.260677890490438
29.0,1614.4474122013637,543.231356688432,177.58921534215,4.272803925645637
30.0,1673.912607212006,558.1688778464037,184.13038679332064,4.284584712685615
31.0,1733.3914532573226,573.0927479697006,190.6730598583055,4.296044007916525
32.0,1792.8771411023242,588.0097762933126,197.21648552125566,4.3072036418210855
33.0,1852.3627379483066,602.9268956159437,203.75990117431374,4.318083752561219
34.0,1911.841156852382,617.8511928804826,210.30252725376204,4.328702984575154
35.0,1971.3051306263444,632.7899352751333,216.8435643688979,4.33907865802618
36.0,2030.747189924911,647.7505921451805,223.3821908917402,4.3492269137442845
37.0,2090.1596453253824,662.7408529133229,229.91756098579205,4.359162837428336
38.0,2149.534573272216,677.7686411351026,236.4488030599438,4.368900566188621
39.0,2208.8638058143947,692.8421247615378,242.97501863958342,4.378453379964958
40.0,2268.1389241034913,707.9697226410548,249.49528165138403,4.387833779922525
42.0,2386.491875334686,738.4222037470875,262.5141062868155,4.406123842164611
44.0,2504.5210482301477,769.1984631888529,275.49731530531625,4.4238575029469605
46.0,2622.1502672279707,800.374676528257,288.4365293950768,4.441112434385246
48.0,2739.3000173953787,832.0303586980764,301.3230019134917,4.45795826796798
50.0,2855.8881402056945,864.2476682249878,314.1476954226264,4.474457311545298
52.0,2971.8307551096004,897.1104856583092,326.901383062056,4.490665027924351
54.0,3087.043383572721,930.7032895324162,339.5747721929993,4.506630343984791
56.0,3201.442239996486,965.1098654458782,352.1586463996135,4.522395850117565
58.0,3314.9456416122616,1000.4118961673299,364.6440205773488,4.537997942475111
60.0,3427.4754785931655,1036.6874915236535,377.0223026452482,4.553466953524794
62.0,3538.9586778201497,1074.0097246338967,389.28545456021646,4.568827308779194
64.0,3649.328590305666,1112.4452444856079,401.4261449336232,4.584097738903339
66.0,3758.526234105934,1152.0530330225672,413.43788575165274,4.5992915667116225
68.0,3866.5013318918,1192.8833675739295,425.315146508098,4.614417078311742
70.0,3973.213094724251,1234.9770370787046,437.0534404196676,4.6294779775574435
72.0,4078.6307198353834,1278.3648443047996,448.6493791818922,4.644473913884266
74.0,4182.733588674325,1323.0674078030852,460.1006947541757,4.659401066313802
76.0,4285.51117021497,1369.0952585996674,471.4062287236467,4.674252761501588
78.0,4386.96265166544,1416.4492094864247,482.5658916831984,4.689020101437497
80.0,4487.096332725002,1465.1209607640903,493.5805965997502,4.703692576707948
82.0,4585.928829384934,1515.0938964413851,504.4521712323427,4.718258643715378
84.0,4683.484138556007,1566.3440196075396,515.1832552411607,4.7327062483308655
86.0,4779.79261569525,1618.8409748055242,525.7771877264775,4.747023283445834
88.0,4874.889914726145,1672.549108111856,536.237890619876,4.761197973123833
90.0,4968.815933817081,1727.4285213581475,546.5697527198789,4.775219180976543
92.0,5061.613803033522,1783.436084478933,556.7775183336875,4.789076644601022
94.0,5153.328941500866,1840.5263783488178,566.8661835650952,4.802761141191325
96.0,5244.00820334934,1898.6525488375703,576.8409023684274,4.8162645917067435
98.0,5333.699123993922,1957.7670605302162,586.7069036393314,4.829580112292955
100.0,5422.4492716428285,2017.822345218536,596.4694198807111,4.842702022143827
102.0,5510.305703535705,2078.771345662887,606.1336273889276,4.855625816834708
104.0,5597.314522329067,2140.5679592067527,615.7045974561973,4.868348115536043
106.0,5683.52052519449,2203.1673886785566,625.1872577713939,4.880866589599335
108.0,5768.96693642147,2266.5264097888044,634.5863630063617,4.8931798789395105
110.0,5853.695213432332,2330.60356511517,643.9064734775565,4.905287501530328
