E_keV,Nph,Ne,S1c,log10S2c
10.0,87.4756177587933,53.68159915778093,9.622317953467263,3.267644539921529
12.0,110.9189543338187,61.58636716492392,12.201084976720058,3.327303681908141
14.0,135.44976554608255,68.93286372650944,14.89947421006908,3.3762454161437905
16.0,160.90718328205082,75.81291434512488,17.69979016102559,3.417562286867561
18.0,187.1686874919075,82.29665130298724,20.588555624109823,3.453201258958419
20.0,214.13818836476364,88.43897835714557,23.555200720124,3.4844628120598133
22.0,241.73855803372453,94.28374722090734,26.591241383709697,3.512255929903736
24.0,269.90670440437356,99.86657486055518,29.689737484481093,3.5372392501396592
26.0,298.59019108093287,105.21680800735518,32.84492101890262,3.5599042174173317
28.0,327.74484361250643,110.35893027658696,36.051932797375706,3.5806265772281294
30.0,357.3330093313396,115.31359296532109,39.306631026447356,3.599699599261986
32.0,387.32226403321584,120.09838488807996,42.60544904365374,3.617356262018969
34.0,417.684432281972,124.72841708540969,45.945287551016925,3.633784505868572
36.0,448.39483285018844,129.21677358816385,49.323431613520725,3.6491379880198784
38.0,479.4316889730842,133.57486357320005,52.73748578703926,3.6635438343614077
40.0,510.7756613560319,137.81269979398633,56.18532274916351,3.6771083358401664
42.0,542.4094740238189,141.93912111989252,59.66504214262008,3.6899212068442413
44.0,574.3176113618389,145.96197216839002,63.17493724980228,3.7020588177849505
46.0,606.4860704307927,149.88824961906175,66.7134677473872,3.713586683054146
48.0,638.9021566831984,153.72422238312225,70.27923723515183,3.72456139990869
50.0,671.5543141131116,157.47553105919494,73.87097455244228,3.7350321766812393
52.0,704.4319829834064,161.14727083159548,77.48751812817471,3.745042049831246
54.0,737.5254798332583,164.74406102408503,81.1278027816584,3.7546288624306214
56.0,770.8258956316223,168.2701038160683,84.79084851947846,3.763826057745234
58.0,804.3250088204783,171.72923409434017,88.4757509702526,3.772663328062573
60.0,838.0152106611459,175.1249620058649,92.18167317272605,3.7811671491450065
62.0,871.8894408124746,178.4605094630578,95.90783848937221,3.789361223534296
64.0,905.9411314701308,181.73884160908955,99.65352446171438,3.7972668506353573
66.0,940.1641587098597,184.9626940597323,103.41805745808458,3.8049032375422707
68.0,974.5527999251686,188.13459658761175,107.20080799176856,3.812287761572636
70.0,1009.1016964467249,191.2568937950699,111.00118660913974,3.81943619319017
72.0,1043.8058205883774,194.33176322618104,114.81864026472151,3.8263628862363297
74.0,1078.6604464916813,197.36123129151105,118.65264911408495,3.833080941027191
76.0,1114.41827600881,199.5900355518605,122.5860103609691,3.837957950597448
78.0,1150.7055462830263,201.3895065214036,126.57761009113288,3.8418559327974413
80.0,1187.1089643319535,203.17062353152346,130.58198607651488,3.8456800085254317
82.0,1223.6273014612998,204.93241169734083,134.59900316074297,3.8494297460470026
84.0,1260.2591172295727,206.67421015464703,138.628502895253,3.853105381636135
86.0,1297.0028246174618,208.39559981752518,142.6703107079208,3.8567076398584255
88.0,1333.8567384633106,210.09634851243754,146.72424123096417,3.8602375994797984
90.0,1370.819111659218,211.77636892257954,150.79010228251397,3.8636965927753635
92.0,1407.8881622991707,213.4356860888079,154.86769785290878,3.867086129541928
94.0,1445.0620940757217,215.07441211638826,158.9568303483294,3.870407839548696
96.0,1482.3391115976037,216.6927263677082,163.05730227573642,3.873663428860172
98.0,1519.717431859454,218.29085986819115,167.16891750453996,3.876854646669213
100.0,1557.19529277886,219.86908297361347,171.2914822056746,3.8799832601414685
102.0,1594.7709594870857,221.42769558020083,175.42480554357942,3.883051035398298
104.0,1632.4427288923291,222.96701933013486,179.5687001781562,3.8860597232236187
106.0,1670.2089329105331,224.48739139215874,183.72298262015863,3.889011048418915
108.0,1708.067940666458,225.9891594921185,187.8874734733104,3.8919067019831934
110.0,1746.0181598982863,227.47267794015366,192.0619975888115,3.8947483354843966
112.0,1784.058037746467,228.93830445597607,196.24638415211137,3.8975375571323556
114.0,1822.1860610674014,230.38639763567005,200.44046671741415,3.900275929172722
116.0,1860.4007563817613,231.81731493588134,204.64408320199374,3.902964966305107
118.0,1898.700689543522,233.23141107648928,208.85707584978744,3.905606134893248
120.0,1937.0844651972711,234.62903678258868,213.07929117169982,3.908200852785027
122.0,1975.5507260770373,236.01053780213505,217.3105798684741,3.9107504895990894
124.0,2014.0981521885672,237.37625414788855,221.55079674074238,3.9132563673652405
