model,m_GeV,delta_keV,halo,N_roi_unit,N_hi_unit,N_lo_unit,mu_N1_roi_muN,mu_N1_hi_muN,mu_N1_roi_ecm,mu_N1_roi_in_e_over_2mchi,mu_N1_roi_GeVinv,N_lo_per_hi,gA_chi_for_N1
photon_dipole,1000,200,annual,6.8644e+08,1.5226e+08,3.8837e+07,3.8168e-05,8.1043e-05,4.0135e-19,0.040679,6.1592e-06,0.25508,
Z_axial_O4,1000,200,annual,22.106,3.9453,0.59589,,,,,,,0.10634
photon_dipole,1000,210,annual,5.053e+08,1.2442e+08,1.3838e+07,4.4486e-05,8.9649e-05,4.6779e-19,0.047413,7.1789e-06,0.11122,
Z_axial_O4,1000,210,annual,16.525,3.2289,0.24634,,,,,,,0.123
photon_dipole,1000,220,annual,3.7293e+08,1.0076e+08,3.9665e+06,5.1783e-05,9.9622e-05,5.4452e-19,0.055189,8.3563e-06,0.039365,
Z_axial_O4,1000,220,annual,12.227,2.6181,0.082976,,,,,,,0.14299
photon_dipole,1000,230,annual,2.758e+08,8.0852e+07,7.7164e+05,6.0215e-05,0.00011121,6.3319e-19,0.064176,9.717e-06,0.0095439,
Z_axial_O4,1000,230,annual,8.983,2.1038,0.019209,,,,,,,0.16682
photon_dipole,1000,240,annual,2.0266e+08,6.4098e+07,64972,7.0245e-05,0.0001249,7.3866e-19,0.074866,1.1336e-05,0.0010136,
Z_axial_O4,1000,240,annual,6.5143,1.6709,0.0018939,,,,,,,0.1959
photon_dipole,1000,250,annual,1.4759e+08,5.0058e+07,322.14,8.2314e-05,0.00014134,8.6557e-19,0.08773,1.3283e-05,6.4355e-06,
Z_axial_O4,1000,250,annual,4.661,1.307,5.8908e-06,,,,,,,0.2316
photon_dipole,1000,260,annual,1.0627e+08,3.8654e+07,0,9.7005e-05,0.00016084,1.0201e-18,0.10339,1.5654e-05,0,
Z_axial_O4,1000,260,annual,3.2892,1.0113,0,,,,,,,0.27569
photon_dipole,1000,270,annual,7.5155e+07,2.9332e+07,0,0.00011535,0.00018464,1.213e-18,0.12294,1.8614e-05,0,
Z_axial_O4,1000,270,annual,2.2773,0.76954,0,,,,,,,0.33133
photon_dipole,1000,280,annual,5.1856e+07,2.1747e+07,0,0.00013887,0.00021443,1.4603e-18,0.148,2.2409e-05,0,
Z_axial_O4,1000,280,annual,1.5378,0.57223,0,,,,,,,0.4032
photon_dipole,1000,290,annual,3.4782e+07,1.5746e+07,0,0.00016956,0.00025201,1.783e-18,0.18071,2.7362e-05,0,
Z_axial_O4,1000,290,annual,1.0105,0.41582,0,,,,,,,0.4974
photon_dipole,1000,300,annual,2.2529e+07,1.1059e+07,0,0.00021068,0.0003007,2.2154e-18,0.22454,3.3999e-05,0,
Z_axial_O4,1000,300,annual,0.64202,0.2932,0,,,,,,,0.62402
photon_dipole,1000,310,annual,1.3888e+07,7.4456e+06,0,0.00026834,0.00036648,2.8217e-18,0.28599,4.3303e-05,0,
Z_axial_O4,1000,310,annual,0.38928,0.19852,0,,,,,,,0.80138
photon_dipole,1000,320,annual,8.0317e+06,4.7458e+06,0,0.00035286,0.00045903,3.7104e-18,0.37607,5.6941e-05,0,
Z_axial_O4,1000,320,annual,0.22237,0.12744,0,,,,,,,1.0603
photon_dipole,1000,330,annual,4.2429e+06,2.7903e+06,0,0.00048547,0.00059865,5.105e-18,0.51741,7.8342e-05,0,
Z_axial_O4,1000,330,annual,0.11681,0.075679,0,,,,,,,1.4629
photon_dipole,1000,340,annual,1.9766e+06,1.4559e+06,0,0.00071128,0.00082877,7.4794e-18,0.75807,0.00011478,0,
Z_axial_O4,1000,340,annual,0.054729,0.040124,0,,,,,,,2.1373
photon_dipole,1000,350,annual,7.6337e+05,6.2699e+05,0,0.0011445,0.0012629,1.2035e-17,1.2198,0.0001847,0,
Z_axial_O4,1000,350,annual,0.021634,0.017752,0,,,,,,,3.3994
photon_dipole,1000,360,annual,2.2396e+05,2.0178e+05,0,0.0021131,0.0022262,2.222e-17,2.2521,0.00034099,0,
Z_axial_O4,1000,360,annual,0.0066499,0.0059558,0,,,,,,,6.1314
photon_dipole,1000,370,annual,40161,37007,0,0.0049899,0.0051982,5.2471e-17,5.3182,0.00080524,0,
Z_axial_O4,1000,370,annual,0.0013369,0.0012158,0,,,,,,,13.675
photon_dipole,1000,380,annual,2142.5,1756.6,0,0.021604,0.02386,2.2718e-16,23.026,0.0034863,0,
Z_axial_O4,1000,380,annual,0.00010174,8.2577e-05,0,,,,,,,49.57
photon_dipole,1000,390,annual,1.8074,0.16471,0,0.74383,2.464,7.8217e-15,792.77,0.12003,0,
