delta_keV,mu_N1_muN,eps_A_coulombic_massless_Ap,eps_B_heavylight_massless_Ap_alphaD0p1,eps_B_heavylight_mA1GeV_alphaD0p1,mu_natural_C_EWcharged_muN,overshoot_C_events
300,0.0002107,0.05011,2.552e-05,0.0005449,0.002815,178.5
366,0.003397,0.7882,0.0004546,0.009703,0.002815,0.6865
