M_GeV,eta_D,eta_D_over_eta_B,A_sigma_over_m,A_sigmav_cm3s,A_Omega_sym_h2,A_alpha_thermal,A_delta_if_thermal_keV,B_LambdaD_GeV,B_sigma_over_m,B_sigmav_cm3s,B_sym_fraction,B_glueball_GeV,C_sigma_over_m,C_sigmav_cm3s,C_sym_fraction
300,1.458e-12,0.01676,6.64e-07,3.992e-24,0.0006613,0.003674,0.009109,0.2303,0.0001724,8.294e-16,2.652e-11,1.267,9.149e-10,4.401e-21,4.999e-06
1000,4.374e-13,0.005027,3.273e-08,1.968e-25,0.01341,0.01225,3.749,0.4208,1.55e-05,2.485e-16,8.852e-11,2.314,2.47e-11,3.961e-22,5.555e-05
4000,1.093e-13,0.001257,1.023e-09,6.15e-27,0.4293,0.04899,3839,0.8419,9.682e-07,6.209e-17,3.543e-10,4.63,3.86e-13,2.475e-23,0.0008887
