delta_keV,case,mu_muN,mu_ecm,Gamma_GeV,tau_s,decay_length_m,P_decay_in_1m,P_decay_in_1p46m,tau_over_t_universe
300,N_ROI=1,0.0002107,2.215e-18,9.934e-21,6.626e-05,49.69,0.01992,0.02895,1.521e-22
300,N=0.105 (90% low),6.827e-05,7.179e-19,1.043e-21,0.000631,473.3,0.002111,0.00308,1.449e-21
300,N=3.65 (90% high),0.0004025,4.233e-18,3.626e-20,1.815e-05,13.61,0.07082,0.1017,4.168e-23
366,N_ROI=1,0.003397,3.572e-17,4.69e-18,1.403e-07,0.1053,0.9999,1,3.222e-25
366,N=0.105 (90% low),0.001101,1.158e-17,4.925e-19,1.337e-06,1.002,0.6312,0.767,3.069e-24
366,N=3.65 (90% high),0.00649,6.825e-17,1.712e-17,3.845e-08,0.02884,1,1,8.829e-26
