delta_keV,case,mu_muN,tau_s,decay_length_m,P_decay_in_1m
200,N=1,3.817e-05,0.006813,5110,0.0001957
200,N=3.65,7.292e-05,0.001867,1400,0.000714
200,N=0.105,1.237e-05,0.06489,4.867e+04,2.055e-05
210,N=1,4.449e-05,0.004333,3249,0.0003077
210,N=3.65,8.499e-05,0.001187,890.3,0.001123
210,N=0.105,1.442e-05,0.04126,3.095e+04,3.231e-05
220,N=1,5.178e-05,0.002781,2086,0.0004793
220,N=3.65,9.893e-05,0.0007619,571.5,0.001748
220,N=0.105,1.678e-05,0.02649,1.987e+04,5.034e-05
230,N=1,6.021e-05,0.0018,1350,0.0007405
230,N=3.65,0.000115,0.0004931,369.9,0.0027
230,N=0.105,1.951e-05,0.01714,1.286e+04,7.778e-05
240,N=1,7.025e-05,0.001164,873.1,0.001145
240,N=3.65,0.0001342,0.0003189,239.2,0.004172
240,N=0.105,2.276e-05,0.01109,8315,0.0001203
250,N=1,8.231e-05,0.00075,562.5,0.001776
250,N=3.65,0.0001573,0.0002055,154.1,0.006467
250,N=0.105,2.667e-05,0.007143,5357,0.0001866
260,N=1,9.701e-05,0.0004801,360.1,0.002773
260,N=3.65,0.0001853,0.0001315,98.65,0.01009
260,N=0.105,3.143e-05,0.004573,3429,0.0002916
270,N=1,0.0001154,0.0003032,227.4,0.004388
270,N=3.65,0.0002204,8.307e-05,62.3,0.01592
270,N=0.105,3.738e-05,0.002888,2166,0.0004616
280,N=1,0.0001389,0.0001876,140.7,0.007083
280,N=3.65,0.0002653,5.139e-05,38.54,0.02561
280,N=0.105,4.5e-05,0.001786,1340,0.0007461
290,N=1,0.0001696,0.0001132,84.93,0.0117
290,N=3.65,0.0003239,3.103e-05,23.27,0.04206
290,N=0.105,5.494e-05,0.001079,808.9,0.001235
300,N=1,0.0002107,6.626e-05,49.69,0.01992
300,N=3.65,0.0004025,1.815e-05,13.61,0.07082
300,N=0.105,6.827e-05,0.000631,473.3,0.002111
310,N=1,0.0002683,3.702e-05,27.76,0.03538
310,N=3.65,0.0005127,1.014e-05,7.606,0.1232
310,N=0.105,8.695e-05,0.0003525,264.4,0.003775
320,N=1,0.0003529,1.946e-05,14.6,0.06621
320,N=3.65,0.0006741,5.332e-06,3.999,0.2212
320,N=0.105,0.0001143,0.0001854,139,0.007167
330,N=1,0.0004855,9.375e-06,7.031,0.1326
330,N=3.65,0.0009275,2.569e-06,1.926,0.4049
330,N=0.105,0.0001573,8.929e-05,66.97,0.01482
340,N=1,0.0007113,3.993e-06,2.995,0.2839
340,N=3.65,0.001359,1.094e-06,0.8206,0.7044
340,N=0.105,0.0002305,3.803e-05,28.52,0.03445
350,N=1,0.001145,1.414e-06,1.06,0.6106
350,N=3.65,0.002187,3.873e-07,0.2905,0.968
350,N=0.105,0.0003709,1.346e-05,10.1,0.09428
360,N=1,0.002113,3.812e-07,0.2859,0.9697
360,N=3.65,0.004037,1.044e-07,0.07832,1
360,N=0.105,0.0006847,3.63e-06,2.723,0.3074
366,N=1,0.003397,1.403e-07,0.1053,0.9999
366,N=3.65,0.00649,3.845e-08,0.02884,1
366,N=0.105,0.001101,1.337e-06,1.002,0.6312
370,N=1,0.00499,6.296e-08,0.04722,1
370,N=3.65,0.009533,1.725e-08,0.01294,1
370,N=0.105,0.001617,5.996e-07,0.4497,0.8918
380,N=1,0.0216,3.1e-09,0.002325,1
380,N=3.65,0.04127,8.494e-10,0.0006371,1
380,N=0.105,0.007001,2.953e-08,0.02215,1
390,N=1,0.7438,2.419e-12,1.815e-06,1
390,N=3.65,1.421,6.629e-13,4.971e-07,1
390,N=0.105,0.241,2.304e-11,1.728e-05,1
