stratum,variant,prior,n_items,n_unresolved,k,n,mean,median,lo68,hi68,lo95,hi95,up95_onesided
"all, expected process",resolved only,Jeffreys,8,3,4,5,0.7500,0.7789,0.5790,0.9152,0.3714,0.9775,0.9636
"all, expected process",resolved only,uniform,8,3,4,5,0.7143,0.7356,0.5471,0.8780,0.3588,0.9567,0.9372
"all, expected process",unresolved as null,Jeffreys,8,3,4,8,0.5000,0.5000,0.3345,0.6655,0.1990,0.8010,0.7607
"all, expected process",unresolved as null,uniform,8,3,4,8,0.5000,0.5000,0.3429,0.6571,0.2120,0.7880,0.7486
"all, expected process",unresolved as real,Jeffreys,8,3,7,8,0.8333,0.8583,0.7161,0.9472,0.5463,0.9862,0.9775
"all, expected process",unresolved as real,uniform,8,3,7,8,0.8000,0.8204,0.6782,0.9195,0.5175,0.9719,0.9590
"all, expected process, in window",resolved only,Jeffreys,6,2,3,4,0.7000,0.7282,0.4995,0.8937,0.2838,0.9715,0.9540
"all, expected process, in window",resolved only,uniform,6,2,3,4,0.6667,0.6862,0.4769,0.8526,0.2836,0.9473,0.9236
"all, expected process, in window",unresolved as null,Jeffreys,6,2,3,6,0.5000,0.5000,0.3125,0.6875,0.1668,0.8332,0.7911
"all, expected process, in window",unresolved as null,uniform,6,2,3,6,0.5000,0.5000,0.3245,0.6755,0.1841,0.8159,0.7747
"all, expected process, in window",unresolved as real,Jeffreys,6,2,5,6,0.7857,0.8137,0.6372,0.9295,0.4419,0.9814,0.9698
"all, expected process, in window",unresolved as real,uniform,6,2,5,6,0.7500,0.7715,0.6010,0.8959,0.4213,0.9633,0.9466
all items,resolved only,Jeffreys,43,13,4,30,0.1452,0.1375,0.0837,0.2068,0.0467,0.2865,0.2593
all items,resolved only,uniform,43,13,4,30,0.1562,0.1491,0.0937,0.2189,0.0545,0.2983,0.2714
all items,unresolved as null,Jeffreys,43,13,4,43,0.1023,0.0963,0.0581,0.1465,0.0322,0.2062,0.1856
all items,unresolved as null,uniform,43,13,4,43,0.1111,0.1054,0.0656,0.1567,0.0379,0.2167,0.1961
all items,unresolved as real,Jeffreys,43,13,17,43,0.3977,0.3962,0.3244,0.4711,0.2599,0.5444,0.5205
all items,unresolved as real,uniform,43,13,17,43,0.4000,0.3985,0.3274,0.4726,0.2634,0.5450,0.5215
"all items, in window",resolved only,Jeffreys,24,7,3,17,0.1944,0.1830,0.1041,0.2854,0.0523,0.4001,0.3616
"all items, in window",resolved only,uniform,24,7,3,17,0.2105,0.2002,0.1195,0.3021,0.0641,0.4142,0.3767
"all items, in window",unresolved as null,Jeffreys,24,7,3,24,0.1400,0.1304,0.0732,0.2071,0.0365,0.2973,0.2665
"all items, in window",unresolved as null,uniform,24,7,3,24,0.1538,0.1449,0.0853,0.2226,0.0454,0.3122,0.2817
"all items, in window",unresolved as real,Jeffreys,24,7,10,24,0.4200,0.4178,0.3219,0.5181,0.2382,0.6140,0.5832
"all items, in window",unresolved as real,uniform,24,7,10,24,0.4231,0.4211,0.3268,0.5194,0.2440,0.6133,0.5832
