route,new physics (resolved),few-event (resolved),DD (resolved),share_new_physics
calibration_hardware,2,0,1,0.080
independent_expt,13,2,5,0.520
more_data_same,4,1,1,0.160
reanalysis,3,2,1,0.120
theory,3,0,0,0.120
