m_GeV,delta_bestB_exo,B_exo_max,Z5_exo_at_bestB,mu_hi_exo,gap_per_hi,pct248,delta_bestZ_exo,Z5_exo_max,Z4_exo_max,delta_bestB_endo,B_endo_max,Z5_endo_at_bestB,delta_bestZ_endo,Z5_endo_max,Z4_endo_max,B_exo_over_endo_best,B_exo_marg,B_endo_marg
300.0,500.0,2.178044529892517,2.7372728273838223,0.187448473728076,2.531948203389715,0.9847753102776994,500.0,2.7372728273838223,3.100785754514762,320.0,10.244457995106439,2.863426504839584,320.0,2.863426504839584,3.464202559735911,0.2126071023896943,0.7549619246337745,0.5403871494373751
500.0,500.0,2.0914170959206535,2.7386040118962516,0.17934384105706028,2.2762778763413696,0.9823987122680363,500.0,2.7386040118962516,3.0874744735740656,340.0,9.423995701057404,3.018435735330577,340.0,3.018435735330577,3.3050384638244474,0.22192466574300215,0.812351019500676,0.8978824672593522
1000.0,490.0,1.962138679998576,2.729517837673008,0.17245199607743925,2.237007017846668,0.9818063831488802,500.0,2.732914585469637,3.076930920508282,350.0,4.164662569587876,2.878696953696044,350.0,2.878696953696044,3.1862646548932525,0.4711398936199395,0.841806830040376,0.6944523732427618
2000.0,480.0,1.89607647813588,2.7225800007202032,0.1697982873572025,2.288922067854259,0.9821843607322832,500.0,2.727788915868846,3.071971722903136,350.0,3.3258736505147617,2.8274661413280615,360.0,2.83772774633754,3.155723522876229,0.570098770241141,0.8519202773698686,0.6661845517228342
4000.0,480.0,1.8661167303495645,2.7211376652555894,0.16776655753372388,2.2473451539661022,0.9817419531279014,500.0,2.7248378078928535,3.0694720684156573,350.0,2.995204846363369,2.805306447085981,360.0,2.8228506950363856,3.1423235616899174,0.6230347592470385,0.8558563484801719,0.6602083513221476
10000.0,480.0,1.846520781203529,2.7200769648760224,0.166480132018679,2.2231752291581692,0.9814741444216204,500.0,2.7229592691603055,3.0681495016771803,360.0,2.883953384431592,2.8132013748877034,360.0,2.8132013748877034,3.134762399419646,0.6402741428386388,0.8579279621589109,0.6571987275483385
